total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07712388038635254
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011594772338867188
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011202096939086914
40.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.008280038833618164
50.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.0082855224609375
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008351564407348633
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009706974029541016
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010171175003051758
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008354425430297852
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008165836334228516
110.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.010948657989501953
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011066675186157227
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009925365447998047
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012680292129516602
150.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.009238243103027344
160.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2109508514404297,0.012494802474975586
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8275980949401855
180.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.04632234573364258
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04067182540893555
200.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.04342317581176758
210.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.04073739051818848
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029029130935668945
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011296987533569336
240.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.15,0.15,0.2,0.2291276454925537,0.00950932502746582
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525869369506836
260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01115727424621582
270.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,0.13333333333333333,0.1,0.0,0.019913673400878906
280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103663444519043
290.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.02222222222222222,0.02222222222222222,0.1,0.0,0.010833501815795898
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007780551910400391
310.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.007980585098266602
320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007691144943237305
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075397491455078125
340.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.3,0.13999999999999999,0.13999999999999999,0.3,0.0,0.007723569869995117
350.0,0.0,0.0,0.0,0.0,0.0625,0.2,0.08888888888888888,0.08888888888888888,0.2,0.0,0.007588624954223633
360.0,0.0,0.0,0.0,0.0,0.125,0.2,0.13999999999999999,0.13999999999999999,0.2,0.0,0.00773167610168457
370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007641792297363281
380.0,0.0,0.0,0.0,0.0,0.18,0.3,0.21428571428571433,0.21428571428571433,0.3,0.0,0.007797956466674805
390.0,0.0,0.0,0.0,0.0,0.08,0.2,0.1142857142857143,0.1142857142857143,0.2,0.0,0.0077059268951416016
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008630514144897461
410.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0075299739837646484
420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00803232192993164
430.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.007990598678588867
440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008012771606445312
450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007911920547485352
460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007890939712524414
470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007598400115966797
480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008298873901367188
490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008107423782348633
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008052825927734375
510.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.007894039154052734
520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007904291152954102
530.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.007958650588989258
540.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.008917093276977539
550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00927424430847168
560.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.0091552734375
570.0,0.0,0.0,0.0,0.0,0.04444444444444444,0.2,0.07272727272727272,0.07272727272727272,0.2,0.0,0.01046895980834961
580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011510133743286133
590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010631322860717773
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009971857070922852
610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01048898696899414
620.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.009717702865600586
630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010357856750488281
640.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.01018667221069336
650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009186983108520508
660.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.02222222222222222,0.02222222222222222,0.1,0.0,0.01056671142578125
670.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.008875608444213867
680.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.007618904113769531
690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034467697143555
700.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.007593631744384766
710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007826089859008789
720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007291555404663086
730.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.00780487060546875
740.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.02222222222222222,0.02222222222222222,0.1,0.0,0.007550954818725586
750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077970027923583984
760.0,0.0,0.0,0.0,0.0,0.145,0.3,0.17333333333333334,0.17333333333333334,0.3,0.0,0.008159160614013672
761.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005893707275390625
771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1219451427459717,0.010121345520019531
