total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.07929086685180664
20.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.012270927429199219
30.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.01194143295288086
40.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.008250713348388672
50.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.008086919784545898
60.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.0075037479400634766
70.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.009212493896484375
80.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.009529829025268555
90.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.00904536247253418
100.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007592678070068359
110.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.0082244873046875
120.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.01131582260131836
130.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.011474847793579102
140.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.007823467254638672
150.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.012143135070800781
160.0,0.0,2.0,0.0,0.0,0.24000000000000005,0.3,0.2666666666666667,0.2666666666666667,0.3,0.19986987113952637,0.01391911506652832
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816264629364014
180.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.039430856704711914
190.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.0385289192199707
200.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.036725759506225586
210.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.03939533233642578
220.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.0359959602355957
230.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.012543678283691406
240.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.21857333183288574,0.008901357650756836
250.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.01073312759399414
