total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,3.0,0.0,0.0,0.36666666666666664,0.5,0.4,0.4,0.5,0.0,0.16408276557922363
20.0,0.0,3.0,0.0,0.0,0.18,0.3,0.22499999999999995,0.22499999999999995,0.3,0.0,0.03244352340698242
30.0,0.0,4.0,0.0,0.0,0.55,0.7,0.6,0.6,0.7,0.0,0.03140068054199219
40.0,0.0,3.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.029748201370239258
50.0,0.0,4.0,0.0,0.0,0.5,0.7,0.5805555555555555,0.5805555555555555,0.7,0.0,0.029645919799804688
60.0,0.0,3.0,0.0,0.0,0.25999999999999995,0.5,0.33928571428571425,0.33928571428571425,0.5,0.0,0.029682636260986328
70.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.1,0.1,0.2,0.0,0.0300447940826416
80.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.02686023712158203
90.0,0.0,1.0,0.0,0.0,0.3,0.5,0.36666666666666664,0.36666666666666664,0.5,0.0,0.027921438217163086
100.0,0.0,2.0,0.0,0.0,0.4904761904761905,0.7,0.5766666666666665,0.5766666666666665,0.7,0.0,0.027684688568115234
110.0,0.0,1.0,0.0,0.0,0.16190476190476188,0.4,0.22999999999999998,0.22999999999999998,0.4,0.0,0.030362367630004883
120.0,0.0,2.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.029331207275390625
130.0,0.0,2.0,0.0,0.0,0.3125,0.5,0.36363636363636365,0.36363636363636365,0.5,0.0,0.029320240020751953
140.0,0.0,3.0,0.0,0.0,0.31666666666666665,0.4,0.32857142857142857,0.32857142857142857,0.4,0.0,0.030020952224731445
150.0,0.0,1.0,0.0,0.0,0.2125,0.4,0.2636363636363636,0.2636363636363636,0.4,0.0,0.02959918975830078
160.0,0.0,1.0,0.0,0.0,0.1952380952380952,0.4,0.25999999999999995,0.25999999999999995,0.4,0.0,0.031523704528808594
170.0,0.0,4.0,0.0,0.0,0.5,0.7,0.5805555555555555,0.5805555555555555,0.7,0.0,0.02725052833557129
180.0,0.0,2.0,0.0,0.0,0.5166666666666667,0.5,0.4685714285714286,0.4685714285714286,0.5,0.0,0.031862735748291016
190.0,0.0,1.0,0.0,0.0,0.12000000000000002,0.3,0.17142857142857143,0.17142857142857143,0.3,0.0,0.03321671485900879
200.0,0.0,0.0,0.0,0.0,0.5,0.5,0.41666666666666663,0.41666666666666663,0.5,0.0,0.02790522575378418
210.0,0.0,2.0,0.0,0.0,0.3952380952380952,0.5,0.40857142857142853,0.40857142857142853,0.5,0.0,0.0456082820892334
220.0,0.0,3.0,0.0,0.0,0.605,0.6,0.5214285714285715,0.5214285714285715,0.6,0.0,0.028525590896606445
230.0,0.0,4.0,0.0,0.0,0.55,0.7,0.6,0.6,0.7,0.0,0.028476476669311523
240.0,0.0,2.0,0.0,0.0,0.49523809523809526,0.6,0.5194805194805194,0.5194805194805194,0.6,0.0,0.04483771324157715
250.0,0.0,1.0,0.0,0.0,0.15714285714285714,0.3,0.18888888888888888,0.18888888888888888,0.3,0.0,0.8012361526489258
260.0,0.0,1.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.09898781776428223
270.0,0.0,1.0,0.0,0.0,0.2777777777777778,0.5,0.34615384615384615,0.34615384615384615,0.5,0.0,0.09602642059326172
280.0,0.0,3.0,0.0,0.0,0.225,0.4,0.27999999999999997,0.27999999999999997,0.4,0.0,0.09410524368286133
290.0,0.0,1.0,0.0,0.0,0.7133333333333333,0.5,0.4642857142857143,0.4642857142857143,0.5,0.0,0.0975186824798584
300.0,0.0,3.0,0.0,0.0,0.225,0.3,0.2571428571428571,0.2571428571428571,0.3,0.0,0.09597277641296387
310.0,0.0,1.0,0.0,0.0,0.075,0.1,0.08571428571428572,0.08571428571428572,0.1,0.0,0.09670519828796387
320.0,0.0,1.0,0.0,0.0,0.2777777777777778,0.5,0.34615384615384615,0.34615384615384615,0.5,0.0,0.09901952743530273
330.0,0.0,1.0,0.0,0.0,0.1625,0.4,0.2303030303030303,0.2303030303030303,0.4,0.0,0.09305453300476074
340.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.5,0.35714285714285715,0.35714285714285715,0.5,0.0,0.09479665756225586
350.0,0.0,2.0,0.0,0.0,0.6285714285714286,0.7,0.6242424242424243,0.6242424242424243,0.7,0.0,0.09133195877075195
360.0,0.0,3.0,0.0,0.0,0.3,0.5,0.37333333333333335,0.37333333333333335,0.5,0.0,0.08942866325378418
370.0,0.0,2.0,0.0,0.0,0.32857142857142857,0.5,0.38,0.38,0.5,0.0,0.09039449691772461
380.0,0.0,2.0,0.0,0.0,0.5125,0.5,0.4303030303030303,0.4303030303030303,0.5,0.0,0.0940237045288086
390.0,0.0,1.0,0.0,0.0,0.11666666666666667,0.3,0.1619047619047619,0.1619047619047619,0.3,0.0,0.09103608131408691
400.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.4,0.2909090909090909,0.2909090909090909,0.4,0.0,0.09568667411804199
410.0,0.0,1.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.08887410163879395
420.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.2,0.3,0.0,0.0980684757232666
430.0,0.0,5.0,0.0,0.0,0.52,0.6,0.5333333333333333,0.5333333333333333,0.6,0.0,0.09905433654785156
440.0,0.0,1.0,0.0,0.0,0.175,0.4,0.24,0.24,0.4,0.0,0.09767484664916992
450.0,0.0,2.0,0.0,0.0,0.09166666666666666,0.3,0.13999999999999999,0.13999999999999999,0.3,0.0,0.08773303031921387
460.0,0.0,3.0,0.0,0.0,0.26,0.4,0.29999999999999993,0.29999999999999993,0.4,0.0,0.09497475624084473
470.0,0.0,3.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0942075252532959
480.0,0.0,2.0,0.0,0.0,0.2571428571428571,0.4,0.28888888888888886,0.28888888888888886,0.4,0.0,0.0903475284576416
490.0,0.0,3.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.07100558280944824
500.0,0.0,4.0,0.0,0.0,0.32,0.4,0.35555555555555557,0.35555555555555557,0.4,0.0,0.04130125045776367
510.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.0301821231842041
520.0,0.0,1.0,0.0,0.0,0.75,0.4,0.36,0.36,0.4,0.0,0.033457040786743164
530.0,0.0,1.0,0.0,0.0,0.47777777777777775,0.5,0.39615384615384613,0.39615384615384613,0.5,0.0,0.029803037643432617
540.0,0.0,1.0,0.0,0.0,0.6,0.6,0.52,0.52,0.6,0.0,0.029201507568359375
550.0,0.0,1.0,0.0,0.0,0.63,0.5,0.45166666666666655,0.45166666666666655,0.5,0.0,0.030421972274780273
560.0,0.0,2.0,0.0,0.0,0.44000000000000006,0.6,0.5055555555555555,0.5055555555555555,0.6,0.0,0.02945542335510254
570.0,0.0,2.0,0.0,0.0,0.8133333333333332,0.7,0.6683333333333333,0.6683333333333333,0.7,0.0,0.0316004753112793
580.0,0.0,3.0,0.0,0.0,0.95,0.9,0.9111111111111111,0.9111111111111111,0.9,0.0,0.02932596206665039
590.0,0.0,3.0,0.0,0.0,1.0,0.9,0.9444444444444444,0.9444444444444444,0.9,0.0,0.030370235443115234
600.0,0.0,2.0,0.0,0.0,0.9333333333333332,0.9,0.9,0.9,0.9,0.0,0.029616117477416992
