total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,5.0,1.0,4.0,0.0,0.5555555555555556,1.0,0.523809523809524,0.7142857142857143,0.6,0.0,0.1111760139465332
20.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.017414331436157227
30.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.02088785171508789
40.0,4.0,1.0,5.0,0.0,0.4444444444444444,1.0,0.41758241758241754,0.6153846153846153,0.5,0.0,0.017594099044799805
50.0,3.0,0.0,6.0,1.0,0.3333333333333333,0.75,0.18461538461538463,0.46153846153846156,0.3,0.0,0.01466226577758789
60.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.015409231185913086
70.0,2.0,0.0,8.0,0.0,0.2,1.0,0.06666666666666668,0.33333333333333337,0.2,0.0,0.015446901321411133
80.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.01509714126586914
90.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.016641855239868164
100.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.017120838165283203
110.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.018741369247436523
120.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.018201828002929688
130.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.020203351974487305
140.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.015102148056030273
150.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.016803979873657227
160.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.02205348014831543
170.0,7.0,0.0,3.0,0.0,0.7,1.0,0.5764705882352941,0.8235294117647058,0.7,0.0,0.015578269958496094
180.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,0.0,0.03665637969970703
190.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.017534971237182617
200.0,4.0,1.0,5.0,0.0,0.4444444444444444,1.0,0.41758241758241754,0.6153846153846153,0.5,0.0,0.03604435920715332
210.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,1.032170057296753
220.0,2.0,0.0,8.0,0.0,0.2,1.0,0.06666666666666668,0.33333333333333337,0.2,0.0,0.07406878471374512
230.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.07059097290039062
240.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,0.0,0.07269883155822754
250.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.026200056076049805
260.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.02030467987060547
270.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.018144845962524414
280.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.018738508224487305
290.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,0.0,0.019274234771728516
300.0,4.0,3.0,1.0,2.0,0.8,0.6666666666666666,0.7030303030303029,0.7272727272727272,0.7,0.0,0.01851820945739746
310.0,1.0,4.0,3.0,2.0,0.25,0.3333333333333333,0.5164835164835164,0.28571428571428575,0.5,0.0,0.018424034118652344
320.0,4.0,0.0,4.0,2.0,0.5,0.6666666666666666,0.34285714285714286,0.5714285714285715,0.4,0.0,0.0182952880859375
330.0,3.0,4.0,2.0,1.0,0.6,0.75,0.7030303030303029,0.6666666666666665,0.7,0.0,0.01943659782409668
340.0,4.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6,0.0,0.01689314842224121
350.0,0.0,3.0,4.0,3.0,0.0,0.0,0.32307692307692304,0.0,0.3,0.0,0.02176690101623535
360.0,5.0,2.0,2.0,1.0,0.7142857142857143,0.8333333333333334,0.6901098901098901,0.7692307692307692,0.7,0.0,0.04048013687133789
370.0,5.0,3.0,0.0,2.0,1.0,0.7142857142857143,0.8083333333333332,0.8333333333333333,0.8,0.0,0.01952338218688965
380.0,5.0,1.0,3.0,1.0,0.625,0.8333333333333334,0.5619047619047619,0.7142857142857143,0.6,0.0,0.016039371490478516
390.0,3.0,2.0,3.0,2.0,0.5,0.6,0.494949494949495,0.5454545454545454,0.5,0.0,0.01585555076599121
400.0,2.0,2.0,3.0,3.0,0.4,0.4,0.4000000000000001,0.4000000000000001,0.4,0.0,0.016548633575439453
410.0,3.0,4.0,2.0,1.0,0.6,0.75,0.7030303030303029,0.6666666666666665,0.7,0.0,0.015633821487426758
420.0,5.0,3.0,2.0,0.0,0.7142857142857143,1.0,0.7916666666666666,0.8333333333333333,0.8,0.0,0.015918731689453125
430.0,5.0,1.0,0.0,4.0,1.0,0.5555555555555556,0.6761904761904762,0.7142857142857143,0.6,0.0,0.015168905258178711
440.0,5.0,3.0,2.0,0.0,0.7142857142857143,1.0,0.7916666666666666,0.8333333333333333,0.8,0.0,0.015264511108398438
450.0,4.0,3.0,2.0,1.0,0.6666666666666666,0.8,0.6969696969696969,0.7272727272727272,0.7,0.0,0.015254497528076172
460.0,5.0,0.0,4.0,1.0,0.5555555555555556,0.8333333333333334,0.4,0.6666666666666667,0.5,0.0,0.015606403350830078
470.0,1.0,2.0,3.0,4.0,0.25,0.2,0.29292929292929293,0.22222222222222224,0.3,0.0,0.015533447265625
480.0,5.0,1.0,2.0,2.0,0.7142857142857143,0.7142857142857143,0.6,0.7142857142857143,0.6,0.0,0.015770912170410156
486.0,3.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,0.0,0.009979963302612305
490.0,1.0,0.0,3.0,0.0,0.25,1.0,0.1,0.4,0.25,0.0,0.007547616958618164
