total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10184669494628906
20.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.013022661209106445
30.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.014048337936401367
40.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.01078176498413086
50.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.010545015335083008
60.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.010850191116333008
70.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.012743711471557617
80.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.013536691665649414
90.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.014492988586425781
100.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.010970592498779297
110.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.010200262069702148
120.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.013307571411132812
130.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01583409309387207
140.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01019740104675293
150.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.020340681076049805
160.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.018624067306518555
170.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.8688492774963379
180.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.06434774398803711
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05353283882141113
200.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.05847477912902832
210.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.057497501373291016
220.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.05533194541931152
230.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.0504460334777832
240.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.014360189437866211
250.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.013150691986083984
260.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.013131856918334961
270.0,0.0,1.0,0.0,0.0,0.5666666666666667,0.7,0.6212121212121211,0.6212121212121211,0.7,0.41437673568725586,0.013060569763183594
280.0,0.0,3.0,0.0,0.0,0.825,0.9,0.8571428571428571,0.8571428571428571,0.9,0.0,0.01376199722290039
290.0,0.0,3.0,0.0,0.0,0.925,0.9,0.9,0.9,0.9,0.0,0.012840747833251953
300.0,0.0,2.0,0.0,0.0,0.8,0.8,0.7787878787878787,0.7787878787878787,0.8,0.0,0.014195442199707031
310.0,0.0,2.0,0.0,0.0,0.8333333333333333,0.9,0.86,0.86,0.9,0.0,0.011245250701904297
311.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0011758804321289062
312.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012028217315673828
