total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.06301712989807129
20.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0074634552001953125
30.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007582426071166992
40.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.006366729736328125
50.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0069615840911865234
60.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.006818532943725586
70.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.006594181060791016
80.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.008955001831054688
90.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.006144285202026367
100.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.00644993782043457
110.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.010293245315551758
120.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.010660409927368164
130.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.00833749771118164
140.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.009679317474365234
150.0,0.0,0.0,0.0,0.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.11558842658996582,0.010582447052001953
160.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.7,0.6615384615384615,0.6615384615384615,0.7,0.12063837051391602,0.006472110748291016
170.0,1.0,8.0,1.0,0.0,0.95,0.9,0.9137254901960784,0.9137254901960784,0.9,0.13097190856933594,0.00837397575378418
180.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5333333333333333,0.5333333333333333,0.6,0.0,0.01078486442565918
190.0,0.0,0.0,0.0,0.0,0.45,0.5,0.47272727272727266,0.47272727272727266,0.5,0.0,0.013584375381469727
200.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009828329086303711
210.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.009273767471313477
220.0,0.0,0.0,0.0,0.0,0.75,0.7,0.68,0.68,0.7,0.0,0.007683515548706055
230.0,0.0,0.0,0.0,0.0,0.7666666666666666,0.8,0.7644444444444445,0.7644444444444445,0.8,0.0,0.008928537368774414
240.0,4.0,5.0,1.0,0.0,0.9199999999999999,0.9,0.901010101010101,0.901010101010101,0.9,0.0,0.006532430648803711
250.0,5.0,2.0,3.0,0.0,0.8125,0.7,0.6703296703296704,0.6703296703296704,0.7,0.0,0.006579160690307617
260.0,0.0,0.0,0.0,0.0,0.7666666666666666,0.8,0.7644444444444445,0.7644444444444445,0.8,0.0,0.006485462188720703
270.0,0.0,0.0,0.0,0.0,0.78,0.8,0.7704545454545453,0.7704545454545453,0.8,0.0,0.006587505340576172
280.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5599999999999999,0.5599999999999999,0.6,0.0,0.0063817501068115234
290.0,2.0,7.0,1.0,0.0,0.9333333333333333,0.9,0.9066666666666666,0.9066666666666666,0.9,0.0,0.006921291351318359
300.0,0.0,0.0,0.0,0.0,0.72,0.8,0.7555555555555558,0.7555555555555558,0.8,0.0,0.006864786148071289
310.0,2.0,7.0,1.0,0.0,0.9333333333333333,0.9,0.9066666666666666,0.9066666666666666,0.9,0.0,0.006964445114135742
320.0,2.0,6.0,2.0,0.0,0.9,0.8,0.819047619047619,0.819047619047619,0.8,0.0,0.006395101547241211
330.0,5.0,4.0,1.0,0.0,0.9166666666666667,0.9,0.898989898989899,0.898989898989899,0.9,0.0,0.0066335201263427734
340.0,0.0,0.0,0.0,0.0,0.82,0.9,0.8555555555555555,0.8555555555555555,0.9,0.0,0.0066986083984375
350.0,0.0,0.0,0.0,0.0,0.425,0.6,0.49714285714285716,0.49714285714285716,0.6,0.0,0.007052421569824219
360.0,0.0,0.0,0.0,0.0,0.78,0.8,0.7704545454545453,0.7704545454545453,0.8,0.0,0.006478309631347656
370.0,0.0,0.0,0.0,0.0,0.48571428571428565,0.6,0.5333333333333333,0.5333333333333333,0.6,0.0,0.0062868595123291016
380.0,0.0,0.0,0.0,0.0,0.55,0.7,0.6,0.6,0.7,0.0,0.007158994674682617
390.0,0.0,0.0,0.0,0.0,0.725,0.8,0.7571428571428571,0.7571428571428571,0.8,0.0,0.006689786911010742
400.0,3.0,6.0,1.0,0.0,0.925,0.9,0.9032967032967033,0.9032967032967033,0.9,0.0,0.006329059600830078
410.0,0.0,0.0,0.0,0.0,0.7571428571428571,0.8,0.7595238095238095,0.7595238095238095,0.8,0.0,0.006326198577880859
420.0,2.0,6.0,2.0,0.0,0.9,0.8,0.819047619047619,0.819047619047619,0.8,0.0,0.006452083587646484
430.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6,0.5549999999999999,0.5549999999999999,0.6,0.0,0.006519317626953125
440.0,0.0,0.0,0.0,0.0,0.8142857142857143,0.4,0.4613636363636363,0.4613636363636363,0.4,0.0,0.006674528121948242
450.0,3.0,5.0,2.0,0.0,0.8800000000000001,0.8,0.8083333333333332,0.8083333333333332,0.8,0.0,0.006334543228149414
460.0,0.0,0.0,0.0,0.0,0.7166666666666667,0.8,0.7545454545454545,0.7545454545454545,0.8,0.0,0.008048057556152344
470.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.6,0.6090909090909091,0.6090909090909091,0.6,0.0,0.007264852523803711
480.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.6,0.5444444444444445,0.5444444444444445,0.6,0.0,0.010150671005249023
490.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007192134857177734
500.0,4.0,3.0,3.0,0.0,0.8285714285714285,0.7,0.6909090909090909,0.6909090909090909,0.7,0.0,0.007056236267089844
510.0,3.0,4.0,2.0,1.0,0.7200000000000001,0.7,0.7030303030303029,0.7030303030303029,0.7,0.0,0.006276130676269531
520.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.8908722400665283,0.765796422958374
529.0,3.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0069196224212646484
