total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,8.0,0.0,0.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.06189441680908203
20.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.009118080139160156
30.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.0064656734466552734
40.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005970478057861328
50.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.0064656734466552734
60.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.005897998809814453
70.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005995273590087891
80.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007391452789306641
90.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007938385009765625
100.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0062062740325927734
110.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.006395816802978516
120.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.008464336395263672
130.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.009682178497314453
140.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.00741267204284668
150.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.011843681335449219
160.0,0.0,5.0,0.0,0.0,0.8166666666666668,0.9,0.8545454545454545,0.8545454545454545,0.9,0.12196826934814453,0.008009910583496094
170.0,0.0,5.0,0.0,0.0,0.52,0.6,0.5333333333333333,0.5333333333333333,0.6,0.12914228439331055,0.009959697723388672
180.0,0.0,5.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.13815927505493164,0.008537530899047852
190.0,0.0,8.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.008824825286865234
200.0,0.0,5.0,0.0,0.0,0.58,0.7,0.6142857142857143,0.6142857142857143,0.7,0.0,0.012372255325317383
210.0,0.0,4.0,0.0,0.0,0.82,0.9,0.8555555555555555,0.8555555555555555,0.9,0.0,0.0073435306549072266
220.0,0.0,5.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.006299018859863281
230.0,0.0,7.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.0,0.006186246871948242
240.0,0.0,4.0,0.0,0.0,0.85,0.9,0.8666666666666666,0.8666666666666666,0.9,0.0,0.006330251693725586
250.0,0.0,1.0,0.0,0.0,0.22000000000000003,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.006159543991088867
260.0,0.0,3.0,0.0,0.0,0.6799999999999999,0.8,0.725,0.725,0.8,0.0,0.006045341491699219
270.0,0.0,4.0,0.0,0.0,0.52,0.7,0.5888888888888888,0.5888888888888888,0.7,0.0,0.0064544677734375
280.0,0.0,6.0,0.0,0.0,0.8142857142857143,0.9,0.8538461538461538,0.8538461538461538,0.9,0.0,0.0061473846435546875
290.0,0.0,4.0,0.0,0.0,0.545,0.7,0.6126984126984126,0.6126984126984126,0.7,0.0,0.006154298782348633
300.0,0.0,4.0,0.0,0.0,0.6666666666666666,0.8,0.72,0.72,0.8,0.0,0.006181240081787109
310.0,0.0,6.0,0.0,0.0,0.5476190476190476,0.7,0.6038461538461538,0.6038461538461538,0.7,0.0,0.006402254104614258
320.0,0.0,6.0,0.0,0.0,0.8,0.7,0.7333333333333333,0.7333333333333333,0.7,0.0,0.006412029266357422
330.0,0.0,3.0,0.0,0.0,0.67,0.8,0.7222222222222222,0.7222222222222222,0.8,0.0,0.0062770843505859375
340.0,0.0,5.0,0.0,0.0,0.6833333333333333,0.8,0.7266666666666667,0.7266666666666667,0.8,0.0,0.0062372684478759766
350.0,0.0,2.0,0.0,0.0,0.7142857142857142,0.8,0.7538461538461538,0.7538461538461538,0.8,0.0,0.006179332733154297
360.0,0.0,4.0,0.0,0.0,0.58,0.7,0.6142857142857143,0.6142857142857143,0.7,0.0,0.006285905838012695
370.0,0.0,5.0,0.0,0.0,0.82,0.9,0.8555555555555555,0.8555555555555555,0.9,0.0,0.006332874298095703
380.0,0.0,3.0,0.0,0.0,0.5900000000000001,0.7,0.6333333333333332,0.6333333333333332,0.7,0.0,0.0062427520751953125
390.0,0.0,6.0,0.0,0.0,0.85,0.9,0.8666666666666668,0.8666666666666668,0.9,0.0,0.0061397552490234375
400.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00619959831237793
410.0,0.0,6.0,0.0,0.0,0.7,0.8,0.7333333333333333,0.7333333333333333,0.8,0.0,0.006256103515625
420.0,0.0,6.0,0.0,0.0,0.6476190476190475,0.8,0.7138461538461538,0.7138461538461538,0.8,0.0,0.006345987319946289
430.0,0.0,5.0,0.0,0.0,0.6,0.7,0.6333333333333333,0.6333333333333333,0.7,0.0,0.006076335906982422
440.0,0.0,6.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.0,0.006298542022705078
450.0,0.0,8.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.005960702896118164
460.0,0.0,4.0,0.0,0.0,0.5,0.7,0.5805555555555555,0.5805555555555555,0.7,0.0,0.0059511661529541016
470.0,0.0,6.0,0.0,0.0,0.825,0.9,0.8571428571428571,0.8571428571428571,0.9,0.0,0.00589299201965332
480.0,0.0,2.0,0.0,0.0,0.5733333333333333,0.7,0.6266666666666666,0.6266666666666666,0.7,0.0,0.006424427032470703
490.0,0.0,6.0,0.0,0.0,0.5476190476190476,0.7,0.6038461538461538,0.6038461538461538,0.7,0.0,0.0075838565826416016
500.0,0.0,5.0,0.0,0.0,0.65,0.7,0.6714285714285715,0.6714285714285715,0.7,0.0,0.0061740875244140625
510.0,0.0,5.0,0.0,0.0,0.6,0.7,0.6333333333333333,0.6333333333333333,0.7,0.0,0.006582498550415039
520.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.891721248626709,0.7827818393707275
529.0,0.0,4.0,0.0,0.0,0.4666666666666667,0.6666666666666666,0.54320987654321,0.54320987654321,0.6666666666666666,0.0,0.02822589874267578
