total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.0701589584350586
20.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.011249542236328125
30.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.010269880294799805
40.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.007192850112915039
50.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.007881402969360352
60.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.007309436798095703
70.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.009357690811157227
80.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.01058816909790039
90.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.0078051090240478516
100.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.007990598678588867
110.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.01034688949584961
120.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.008324861526489258
130.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.008224725723266602
140.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.012556076049804688
150.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.009215593338012695
160.0,5.0,4.0,1.0,0.0,0.9166666666666667,0.9,0.898989898989899,0.898989898989899,0.9,0.17427802085876465,0.008800983428955078
170.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.8111331462860107
180.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.03619098663330078
190.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.03288078308105469
200.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.009760618209838867
210.0,0.0,7.0,0.0,0.0,0.6625,0.8,0.72,0.72,0.8,0.19942235946655273,0.008995771408081055
220.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009688854217529297
230.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009108304977416992
240.0,4.0,5.0,1.0,0.0,0.9199999999999999,0.9,0.901010101010101,0.901010101010101,0.9,0.0,0.015194177627563477
250.0,0.0,6.0,0.0,0.0,0.8142857142857143,0.9,0.8538461538461538,0.8538461538461538,0.9,0.0,0.010725259780883789
260.0,2.0,7.0,1.0,0.0,0.9333333333333333,0.9,0.9066666666666666,0.9066666666666666,0.9,0.0,0.010242223739624023
270.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00717926025390625
280.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0070188045501708984
290.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007082939147949219
300.0,0.0,7.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.0,0.007147789001464844
310.0,4.0,5.0,0.0,1.0,0.9166666666666667,0.9,0.898989898989899,0.898989898989899,0.9,0.0,0.007044792175292969
320.0,0.0,8.0,0.0,0.0,0.85,0.9,0.8666666666666666,0.8666666666666666,0.9,0.0,0.00690913200378418
330.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007155418395996094
340.0,0.0,5.0,0.0,0.0,0.7571428571428571,0.8,0.7595238095238095,0.7595238095238095,0.8,0.0,0.007126808166503906
350.0,3.0,6.0,0.0,1.0,0.9142857142857143,0.9,0.8967032967032967,0.8967032967032967,0.9,0.0,0.015117168426513672
360.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007384538650512695
370.0,0.0,4.0,0.0,0.0,0.8166666666666668,0.9,0.8545454545454545,0.8545454545454545,0.9,0.0,0.007269859313964844
380.0,0.0,6.0,0.0,0.0,0.825,0.9,0.8571428571428571,0.8571428571428571,0.9,0.0,0.007035017013549805
390.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007067203521728516
400.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006979465484619141
410.0,1.0,8.0,0.0,1.0,0.9111111111111111,0.9,0.8862745098039216,0.8862745098039216,0.9,0.0,0.007019758224487305
420.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007159233093261719
430.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006790876388549805
440.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007121562957763672
450.0,0.0,7.0,0.0,0.0,0.7125,0.8,0.7533333333333333,0.7533333333333333,0.8,0.0,0.007134199142456055
460.0,0.0,1.0,0.0,0.0,0.8111111111111111,0.9,0.8529411764705882,0.8529411764705882,0.9,0.0,0.007203817367553711
470.0,0.0,5.0,0.0,0.0,0.6799999999999999,0.8,0.725,0.725,0.8,0.0,0.006988048553466797
