total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06834554672241211
20.0,0.0,1.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.009758472442626953
30.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.010066747665405273
40.0,0.0,4.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.007060527801513672
50.0,0.0,3.0,0.0,0.0,0.1,0.3,0.15,0.15,0.3,0.0,0.006940126419067383
60.0,0.0,4.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.006596565246582031
70.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.008511543273925781
80.0,0.0,2.0,0.0,0.0,0.04444444444444444,0.2,0.07272727272727272,0.07272727272727272,0.2,0.0,0.0068416595458984375
90.0,0.0,1.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.007541179656982422
100.0,0.0,3.0,0.0,0.0,0.1,0.3,0.15,0.15,0.3,0.0,0.010190725326538086
110.0,0.0,2.0,0.0,0.0,0.05714285714285714,0.2,0.08888888888888889,0.08888888888888889,0.2,0.0,0.009002208709716797
120.0,0.0,4.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.0068511962890625
130.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.013583660125732422
140.0,0.0,2.0,0.0,0.0,0.26666666666666666,0.4,0.3,0.3,0.4,0.12311458587646484,0.00759124755859375
150.0,0.0,1.0,0.0,0.0,0.5785714285714285,0.6,0.5442424242424242,0.5442424242424242,0.6,0.13137197494506836,0.008359670639038086
160.0,0.0,1.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.82137131690979
170.0,0.0,4.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.017017602920532227
180.0,0.0,1.0,0.0,0.0,0.4666666666666667,0.4,0.4228571428571429,0.4228571428571429,0.4,0.1454911231994629,0.008584022521972656
190.0,0.0,2.0,0.0,0.0,0.8333333333333333,0.8,0.8,0.8,0.8,0.0,0.009382009506225586
200.0,0.0,2.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.0,0.010599136352539062
210.0,0.0,1.0,0.0,0.0,0.6,0.5,0.5066666666666666,0.5066666666666666,0.5,0.0,0.012035369873046875
220.0,0.0,0.0,0.0,0.0,0.6533333333333333,0.8,0.7155555555555556,0.7155555555555556,0.8,0.0,0.008614301681518555
230.0,0.0,1.0,0.0,0.0,0.95,0.9,0.9,0.9,0.9,0.0,0.0069119930267333984
240.0,0.0,2.0,0.0,0.0,0.8,0.6,0.65,0.65,0.6,0.0,0.007032632827758789
250.0,0.0,2.0,0.0,0.0,0.8666666666666666,0.8,0.7866666666666667,0.7866666666666667,0.8,0.0,0.007075309753417969
260.0,0.0,1.0,0.0,0.0,0.8166666666666668,0.7,0.7212121212121211,0.7212121212121211,0.7,0.0,0.0068013668060302734
270.0,0.0,1.0,0.0,0.0,0.9,0.5,0.5933333333333334,0.5933333333333334,0.5,0.0,0.006671428680419922
280.0,0.0,2.0,0.0,0.0,0.75,0.4,0.48571428571428577,0.48571428571428577,0.4,0.0,0.006788015365600586
290.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.4,0.35,0.35,0.4,0.0,0.006923198699951172
300.0,0.0,2.0,0.0,0.0,0.78,0.8,0.765,0.765,0.8,0.0,0.007009744644165039
310.0,0.0,0.0,0.0,0.0,0.5285714285714286,0.6,0.5242424242424242,0.5242424242424242,0.6,0.0,0.006933927536010742
320.0,0.0,0.0,0.0,0.0,0.425,0.5,0.45714285714285713,0.45714285714285713,0.5,0.0,0.00712132453918457
330.0,0.0,1.0,0.0,0.0,1.0,0.8,0.8666666666666666,0.8666666666666666,0.8,0.0,0.007055759429931641
340.0,0.0,3.0,0.0,0.0,0.44000000000000006,0.5,0.4666666666666666,0.4666666666666666,0.5,0.0,0.007241487503051758
350.0,0.0,3.0,0.0,0.0,0.8400000000000001,0.6,0.6666666666666666,0.6666666666666666,0.6,0.0,0.007105827331542969
360.0,0.0,1.0,0.0,0.0,0.6333333333333333,0.4,0.44333333333333336,0.44333333333333336,0.4,0.0,0.006970882415771484
370.0,0.0,2.0,0.0,0.0,0.5700000000000001,0.7,0.6222222222222222,0.6222222222222222,0.7,0.0,0.006529569625854492
380.0,0.0,4.0,0.0,0.0,0.6,0.6,0.6000000000000001,0.6000000000000001,0.6,0.0,0.006955623626708984
390.0,0.0,2.0,0.0,0.0,0.31,0.3,0.2977777777777778,0.2977777777777778,0.3,0.0,0.01322793960571289
400.0,0.0,2.0,0.0,0.0,0.75,0.8,0.7666666666666667,0.7666666666666667,0.8,0.0,0.006821393966674805
410.0,0.0,2.0,0.0,0.0,0.8,0.6,0.6257142857142857,0.6257142857142857,0.6,0.0,0.00672602653503418
420.0,0.0,1.0,0.0,0.0,0.65,0.6,0.6111111111111112,0.6111111111111112,0.6,0.0,0.006718635559082031
430.0,0.0,2.0,0.0,0.0,0.5833333333333334,0.5,0.4714285714285714,0.4714285714285714,0.5,0.0,0.007070779800415039
440.0,0.0,2.0,0.0,0.0,0.47000000000000003,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.006780147552490234
450.0,0.0,0.0,0.0,0.0,0.4,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.0066716670989990234
460.0,0.0,2.0,0.0,0.0,0.6333333333333333,0.5,0.55,0.55,0.5,0.0,0.006709098815917969
470.0,0.0,0.0,0.0,0.0,0.25,0.3,0.26666666666666666,0.26666666666666666,0.3,0.0,0.0067141056060791016
480.0,0.0,2.0,0.0,0.0,0.7,0.6,0.6133333333333334,0.6133333333333334,0.6,0.0,0.006891727447509766
490.0,0.0,1.0,0.0,0.0,0.35,0.4,0.35809523809523813,0.35809523809523813,0.4,0.0,0.0067713260650634766
500.0,0.0,3.0,0.0,0.0,0.75,0.8,0.7666666666666667,0.7666666666666667,0.8,0.0,0.007221221923828125
510.0,0.0,1.0,0.0,0.0,0.95,0.5,0.5933333333333334,0.5933333333333334,0.5,0.0,0.0077800750732421875
520.0,0.0,2.0,0.0,0.0,0.7333333333333333,0.6,0.6233333333333333,0.6233333333333333,0.6,0.0,0.007751941680908203
530.0,0.0,4.0,0.0,0.0,0.7333333333333333,0.7,0.6933333333333332,0.6933333333333332,0.7,0.0,0.007133960723876953
540.0,0.0,1.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.007340192794799805
550.0,0.0,0.0,0.0,0.0,0.35,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.013283491134643555
560.0,0.0,3.0,0.0,0.0,0.725,0.6,0.6333333333333332,0.6333333333333332,0.6,0.0,0.009642839431762695
570.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3,0.29333333333333333,0.29333333333333333,0.3,0.0,0.00918269157409668
580.0,0.0,1.0,0.0,0.0,0.7333333333333333,0.6,0.6133333333333334,0.6133333333333334,0.6,0.0,0.008281230926513672
590.0,0.0,4.0,0.0,0.0,0.775,0.8,0.7682539682539683,0.7682539682539683,0.8,0.0,0.009753704071044922
600.0,0.0,2.0,0.0,0.0,0.4533333333333333,0.6,0.5155555555555555,0.5155555555555555,0.6,0.0,0.00945734977722168
610.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.5,0.42000000000000004,0.42000000000000004,0.5,0.0,0.009643793106079102
620.0,0.0,2.0,0.0,0.0,0.675,0.6,0.6171428571428572,0.6171428571428572,0.6,0.0,0.009655237197875977
630.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.010371208190917969
640.0,0.0,1.0,0.0,0.0,0.9,0.6,0.7,0.7,0.6,0.0,0.009199380874633789
