total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.7,0.5878787878787878,0.5878787878787878,0.7,0.0,0.12405061721801758
20.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.18461538461538463,0.18461538461538463,0.3,0.0,0.012953519821166992
30.0,0.0,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.013422489166259766
40.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.4,0.2909090909090909,0.2909090909090909,0.4,0.0,0.009950876235961914
50.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.010128259658813477
60.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.2,0.3,0.0,0.009704351425170898
70.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.5636363636363636,0.5636363636363636,0.6,0.0,0.013223648071289062
80.0,0.0,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.014644384384155273
90.0,0.0,0.0,0.0,0.0,0.35,0.5,0.41142857142857137,0.41142857142857137,0.5,0.0,0.015917539596557617
100.0,0.0,0.0,0.0,0.0,0.32857142857142857,0.5,0.38,0.38,0.5,0.0,0.010520219802856445
101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014412403106689453
102.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991641998291016
