total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,2.0,0.0,0.0,0.3,0.2,0.24000000000000005,0.24000000000000005,0.2,0.0,0.09572291374206543
20.0,0.0,1.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.13333333333333333,0.2,0.0,0.012483835220336914
30.0,0.0,0.0,0.0,0.0,0.225,0.2,0.17333333333333334,0.17333333333333334,0.2,0.0,0.01239323616027832
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009501457214355469
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00947880744934082
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008936405181884766
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010356664657592773
80.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.011270761489868164
90.0,0.0,0.0,0.0,0.0,0.05,0.1,0.06666666666666667,0.06666666666666667,0.1,0.0,0.012106895446777344
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009499549865722656
110.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.02222222222222222,0.02222222222222222,0.1,0.0,0.009108781814575195
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012103796005249023
130.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.012350082397460938
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009344100952148438
150.0,0.0,1.0,0.0,0.0,0.05,0.1,0.06666666666666667,0.06666666666666667,0.1,0.0,0.02095651626586914
160.0,0.0,2.0,0.0,0.0,0.2125,0.3,0.22222222222222224,0.22222222222222224,0.3,0.0,0.009877443313598633
170.0,0.0,1.0,0.0,0.0,0.05,0.1,0.06666666666666667,0.06666666666666667,0.1,0.0,0.899773359298706
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739975929260254
190.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.05219244956970215
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02301192283630371
210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129783630371094
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011518716812133789
230.0,0.0,1.0,0.0,0.0,0.33333333333333337,0.2,0.2,0.2,0.2,0.35313987731933594,0.01768183708190918
240.0,0.0,1.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.011267662048339844
250.0,0.0,1.0,0.0,0.0,0.4333333333333333,0.4,0.3833333333333333,0.3833333333333333,0.4,0.0,0.011654853820800781
260.0,0.0,0.0,0.0,0.0,0.325,0.4,0.33999999999999997,0.33999999999999997,0.4,0.0,0.011194944381713867
270.0,0.0,0.0,0.0,0.0,0.25,0.3,0.26666666666666666,0.26666666666666666,0.3,0.0,0.02739095687866211
280.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.012407541275024414
290.0,0.0,1.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.010791778564453125
300.0,0.0,0.0,0.0,0.0,0.5,0.4,0.44000000000000006,0.44000000000000006,0.4,0.0,0.008815526962280273
310.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.5,0.45999999999999996,0.45999999999999996,0.5,0.0,0.008785247802734375
320.0,0.0,2.0,0.0,0.0,0.4333333333333333,0.5,0.45999999999999996,0.45999999999999996,0.5,0.0,0.008696317672729492
330.0,0.0,0.0,0.0,0.0,0.4333333333333334,0.4,0.3833333333333333,0.3833333333333333,0.4,0.0,0.008673429489135742
340.0,0.0,1.0,0.0,0.0,0.65,0.7,0.6333333333333332,0.6333333333333332,0.7,0.0,0.008837461471557617
350.0,0.0,0.0,0.0,0.0,0.24,0.3,0.2666666666666666,0.2666666666666666,0.3,0.0,0.009101629257202148
360.0,0.0,4.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.008679389953613281
370.0,0.0,1.0,0.0,0.0,0.4833333333333333,0.6,0.5266666666666666,0.5266666666666666,0.6,0.0,0.008793830871582031
380.0,0.0,0.0,0.0,0.0,0.4,0.3,0.34,0.34,0.3,0.0,0.00906515121459961
390.0,0.0,0.0,0.0,0.0,0.35,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.008913040161132812
400.0,0.0,0.0,0.0,0.0,0.25,0.3,0.26666666666666666,0.26666666666666666,0.3,0.0,0.009119749069213867
410.0,0.0,1.0,0.0,0.0,0.325,0.4,0.33999999999999997,0.33999999999999997,0.4,0.0,0.010189056396484375
420.0,0.0,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.13333333333333333,0.2,0.0,0.009229660034179688
430.0,0.0,0.0,0.0,0.0,0.85,0.8,0.8,0.8,0.8,0.0,0.009587764739990234
