total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,1.0,0.0,0.0,0.0625,0.2,0.08888888888888888,0.08888888888888888,0.2,0.0,0.10933732986450195
20.0,0.0,2.0,0.0,0.0,0.1,0.3,0.14666666666666667,0.14666666666666667,0.3,0.0,0.014325380325317383
30.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.015568017959594727
40.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.01225423812866211
50.0,0.0,0.0,0.0,0.0,0.05,0.1,0.06666666666666667,0.06666666666666667,0.1,0.0,0.012377500534057617
60.0,0.0,1.0,0.0,0.0,0.0625,0.2,0.08888888888888888,0.08888888888888888,0.2,0.0,0.014843225479125977
70.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.16,0.16,0.2,0.0,0.014331340789794922
80.0,0.0,3.0,0.0,0.0,0.1625,0.4,0.2303030303030303,0.2303030303030303,0.4,0.0,0.01421666145324707
90.0,0.0,0.0,0.0,0.0,0.18,0.3,0.22499999999999995,0.22499999999999995,0.3,0.0,0.014499902725219727
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014412403106689453
110.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.013584375381469727
120.0,0.0,2.0,0.0,0.0,0.04444444444444444,0.2,0.07272727272727272,0.07272727272727272,0.2,0.0,0.011662960052490234
130.0,0.0,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.13333333333333333,0.2,0.0,0.014834403991699219
140.0,0.0,1.0,0.0,0.0,0.2125,0.3,0.22222222222222224,0.22222222222222224,0.3,0.0,0.017648696899414062
150.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.011799812316894531
160.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.02184152603149414
170.0,0.0,3.0,0.0,0.0,0.2,0.4,0.25,0.25,0.4,0.0,0.02105426788330078
180.0,0.0,1.0,0.0,0.0,0.2125,0.3,0.22222222222222224,0.22222222222222224,0.3,0.0,0.9272177219390869
190.0,0.0,4.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.01665973663330078
200.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.015778303146362305
210.0,0.0,2.0,0.0,0.0,0.1,0.3,0.14666666666666667,0.14666666666666667,0.3,0.0,0.01648688316345215
220.0,0.0,3.0,0.0,0.0,0.2,0.4,0.25,0.25,0.4,0.0,0.011958122253417969
230.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.03318428993225098
240.0,0.0,1.0,0.0,0.0,0.11666666666666667,0.3,0.1619047619047619,0.1619047619047619,0.3,0.0,0.06290793418884277
250.0,0.0,4.0,0.0,0.0,0.3,0.5,0.37435897435897436,0.37435897435897436,0.5,0.0,0.06375479698181152
260.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.06323003768920898
270.0,0.0,4.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.06574678421020508
280.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.059784889221191406
290.0,0.0,2.0,0.0,0.0,0.3571428571428571,0.5,0.3888888888888889,0.3888888888888889,0.5,0.0,0.06919312477111816
300.0,0.0,1.0,0.0,0.0,0.11111111111111112,0.2,0.12,0.12,0.2,0.0,0.0674126148223877
310.0,0.0,2.0,0.0,0.0,0.1,0.3,0.14666666666666667,0.14666666666666667,0.3,0.0,0.060143470764160156
320.0,0.0,2.0,0.0,0.0,0.1,0.3,0.14666666666666667,0.14666666666666667,0.3,0.0,0.024304866790771484
330.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.16,0.16,0.2,0.0,0.016359567642211914
340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816819667816162,0.03205609321594238
