total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,7.0,0.0,3.0,0.0,0.7,1.0,0.5764705882352941,0.8235294117647058,0.7,0.0,0.1058342456817627
20.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.019338130950927734
30.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.012970685958862305
40.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.012994050979614258
50.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.013144493103027344
60.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.012745141983032227
70.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,0.0,0.012789487838745117
80.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.012495279312133789
90.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.014729738235473633
100.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.014148473739624023
110.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.014834165573120117
120.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.016185522079467773
130.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.012173652648925781
140.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.01299428939819336
150.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.015156745910644531
160.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.015025615692138672
170.0,7.0,0.0,3.0,0.0,0.7,1.0,0.5764705882352941,0.8235294117647058,0.7,0.0,0.023291826248168945
180.0,2.0,0.0,8.0,0.0,0.2,1.0,0.06666666666666668,0.33333333333333337,0.2,0.0,0.01402139663696289
190.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.9076433181762695
200.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.020952939987182617
210.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.026454687118530273
220.0,4.0,2.0,4.0,0.0,0.5,1.0,0.5666666666666667,0.6666666666666666,0.6,0.0,0.014652490615844727
230.0,6.0,1.0,2.0,1.0,0.75,0.8571428571428571,0.6799999999999999,0.7999999999999999,0.7,0.0,0.014879703521728516
240.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.01523733139038086
250.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.014966011047363281
260.0,4.0,1.0,5.0,0.0,0.4444444444444444,1.0,0.41758241758241754,0.6153846153846153,0.5,0.0,0.017178058624267578
270.0,5.0,1.0,3.0,1.0,0.625,0.8333333333333334,0.5619047619047619,0.7142857142857143,0.6,0.0,0.028926849365234375
280.0,5.0,1.0,3.0,1.0,0.625,0.8333333333333334,0.5619047619047619,0.7142857142857143,0.6,0.0,0.019018173217773438
290.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.011823654174804688
300.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.012339353561401367
310.0,7.0,0.0,2.0,1.0,0.7777777777777778,0.875,0.6588235294117648,0.823529411764706,0.7,0.0,0.01214456558227539
320.0,2.0,1.0,6.0,1.0,0.25,0.6666666666666666,0.26464646464646463,0.36363636363636365,0.3,0.0,0.012199878692626953
330.0,5.0,1.0,4.0,0.0,0.5555555555555556,1.0,0.523809523809524,0.7142857142857143,0.6,0.0,0.012233257293701172
340.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.011986255645751953
350.0,7.0,0.0,1.0,2.0,0.875,0.7777777777777778,0.7411764705882353,0.823529411764706,0.7,0.0,0.011855363845825195
360.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.011931896209716797
370.0,4.0,2.0,3.0,1.0,0.5714285714285714,0.8,0.5833333333333333,0.6666666666666666,0.6,0.0,0.011820316314697266
380.0,7.0,1.0,2.0,0.0,0.7777777777777778,1.0,0.7625000000000001,0.8750000000000001,0.8,0.0,0.012055397033691406
390.0,4.0,1.0,4.0,1.0,0.5,0.8,0.45054945054945056,0.6153846153846154,0.5,0.0,0.012331247329711914
400.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.012502193450927734
410.0,3.0,2.0,5.0,0.0,0.375,1.0,0.47474747474747475,0.5454545454545454,0.5,0.0,0.0119476318359375
420.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.012305736541748047
430.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.012599706649780273
440.0,3.0,1.0,6.0,0.0,0.3333333333333333,1.0,0.325,0.5,0.4,0.0,0.01235818862915039
450.0,3.0,1.0,5.0,1.0,0.375,0.75,0.35,0.5,0.4,0.0,0.012700557708740234
460.0,7.0,1.0,2.0,0.0,0.7777777777777778,1.0,0.7625000000000001,0.8750000000000001,0.8,0.0,0.012228012084960938
470.0,4.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6,0.0,0.015112876892089844
480.0,6.0,0.0,3.0,1.0,0.6666666666666666,0.8571428571428571,0.525,0.75,0.6,0.0,0.022281885147094727
490.0,5.0,2.0,3.0,0.0,0.625,1.0,0.6703296703296704,0.7692307692307693,0.7,0.0,0.022592782974243164
500.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.012619733810424805
510.0,6.0,0.0,3.0,1.0,0.6666666666666666,0.8571428571428571,0.525,0.75,0.6,0.0,0.016802310943603516
520.0,4.0,1.0,5.0,0.0,0.4444444444444444,1.0,0.41758241758241754,0.6153846153846153,0.5,0.0,0.017475128173828125
530.0,5.0,0.0,4.0,1.0,0.5555555555555556,0.8333333333333334,0.4,0.6666666666666667,0.5,0.0,0.023949384689331055
540.0,6.0,1.0,2.0,1.0,0.75,0.8571428571428571,0.6799999999999999,0.7999999999999999,0.7,0.0,0.01727914810180664
550.0,6.0,1.0,1.0,2.0,0.8571428571428571,0.75,0.72,0.7999999999999999,0.7,0.0,0.016489267349243164
560.0,7.0,0.0,3.0,0.0,0.7,1.0,0.5764705882352941,0.8235294117647058,0.7,0.0,0.02901291847229004
570.0,5.0,1.0,4.0,0.0,0.5555555555555556,1.0,0.523809523809524,0.7142857142857143,0.6,0.0,0.018488645553588867
580.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.017610788345336914
590.0,8.0,0.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8,0.8888888888888888,0.8,0.0,0.021201610565185547
600.0,5.0,1.0,3.0,1.0,0.625,0.8333333333333334,0.5619047619047619,0.7142857142857143,0.6,0.0,0.01858973503112793
610.0,4.0,1.0,4.0,1.0,0.5,0.8,0.45054945054945056,0.6153846153846154,0.5,0.0,0.022962331771850586
620.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.025407791137695312
630.0,4.0,2.0,4.0,0.0,0.5,1.0,0.5666666666666667,0.6666666666666666,0.6,0.0,0.01981377601623535
640.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.012147665023803711
650.0,3.0,2.0,5.0,0.0,0.375,1.0,0.47474747474747475,0.5454545454545454,0.5,0.0,0.013898611068725586
660.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.012972593307495117
670.0,6.0,2.0,2.0,0.0,0.75,1.0,0.7809523809523808,0.8571428571428571,0.8,0.0,0.014784097671508789
680.0,4.0,2.0,4.0,0.0,0.5,1.0,0.5666666666666667,0.6666666666666666,0.6,0.0,0.014874696731567383
690.0,4.0,2.0,3.0,1.0,0.5714285714285714,0.8,0.5833333333333333,0.6666666666666666,0.6,0.0,0.012113094329833984
700.0,3.0,3.0,4.0,0.0,0.42857142857142855,1.0,0.6,0.6,0.6,0.0,0.014351367950439453
710.0,8.0,0.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8,0.8888888888888888,0.8,0.0,0.013356447219848633
720.0,4.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6,0.0,0.03234243392944336
730.0,5.0,1.0,4.0,0.0,0.5555555555555556,1.0,0.523809523809524,0.7142857142857143,0.6,0.0,0.06265783309936523
740.0,4.0,0.0,4.0,2.0,0.5,0.6666666666666666,0.34285714285714286,0.5714285714285715,0.4,0.0,0.0719292163848877
750.0,7.0,1.0,1.0,1.0,0.875,0.875,0.8,0.875,0.8,0.0,0.06785297393798828
760.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.06428408622741699
770.0,2.0,2.0,6.0,0.0,0.25,1.0,0.4,0.4,0.4,0.0,0.059998273849487305
