total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09689140319824219
20.0,0.0,1.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.013223648071289062
30.0,0.0,1.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.011564493179321289
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008702278137207031
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008691549301147461
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008687019348144531
70.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.010651350021362305
80.0,0.0,2.0,0.0,0.0,0.25999999999999995,0.5,0.33928571428571425,0.33928571428571425,0.5,0.0,0.010760068893432617
90.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.16,0.16,0.2,0.0,0.012297630310058594
100.0,0.0,1.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.008597850799560547
110.0,0.0,1.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.008702516555786133
120.0,0.0,1.0,0.0,0.0,0.13333333333333333,0.3,0.18333333333333332,0.18333333333333332,0.3,0.0,0.015221118927001953
130.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.010697603225708008
140.0,0.0,1.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.00902414321899414
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015671730041503906
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937819242477417
170.0,0.0,1.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.016739368438720703
180.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.013092517852783203
190.0,0.0,1.0,0.0,0.0,0.42000000000000004,0.4,0.3666666666666667,0.3666666666666667,0.4,0.31234121322631836,0.016814708709716797
200.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.012206554412841797
210.0,0.0,0.0,0.0,0.0,0.2,0.2,0.18666666666666668,0.18666666666666668,0.2,0.0,0.011750221252441406
220.0,0.0,0.0,0.0,0.0,0.45,0.4,0.39999999999999997,0.39999999999999997,0.4,0.0,0.010961532592773438
230.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4666666666666666,0.4666666666666666,0.5,0.0,0.02363729476928711
240.0,0.0,1.0,0.0,0.0,0.4833333333333333,0.5,0.45,0.45,0.5,0.0,0.011775970458984375
250.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.4,0.35,0.35,0.4,0.0,0.011592864990234375
260.0,0.0,1.0,0.0,0.0,0.95,0.9,0.9,0.9,0.9,0.0,0.00896596908569336
270.0,0.0,4.0,0.0,0.0,0.95,0.9,0.9,0.9,0.9,0.0,0.00884556770324707
280.0,0.0,0.0,0.0,0.0,0.45,0.4,0.4,0.4,0.4,0.0,0.008375883102416992
290.0,0.0,1.0,0.0,0.0,0.4,0.5,0.4333333333333333,0.4333333333333333,0.5,0.0,0.008617639541625977
300.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.008819818496704102
310.0,0.0,0.0,0.0,0.0,0.375,0.3,0.3190476190476191,0.3190476190476191,0.3,0.0,0.008706092834472656
320.0,0.0,0.0,0.0,0.0,0.75,0.6,0.6333333333333333,0.6333333333333333,0.6,0.0,0.008344888687133789
330.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4333333333333333,0.4333333333333333,0.4,0.0,0.008529901504516602
340.0,0.0,1.0,0.0,0.0,0.65,0.5,0.5166666666666666,0.5166666666666666,0.5,0.0,0.008687496185302734
350.0,0.0,1.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.008840560913085938
360.0,0.0,3.0,0.0,0.0,0.53,0.7,0.5916666666666666,0.5916666666666666,0.7,0.0,0.008882999420166016
370.0,0.0,1.0,0.0,0.0,0.7333333333333333,0.5,0.55,0.55,0.5,0.0,0.009144067764282227
380.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.55,0.55,0.6,0.0,0.008753299713134766
390.0,0.0,1.0,0.0,0.0,0.5,0.4,0.44000000000000006,0.44000000000000006,0.4,0.0,0.008692026138305664
400.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6,0.55,0.55,0.6,0.0,0.008627176284790039
410.0,0.0,0.0,0.0,0.0,0.45,0.5,0.4666666666666666,0.4666666666666666,0.5,0.0,0.009102344512939453
420.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.4,0.3333333333333333,0.3333333333333333,0.4,0.0,0.008886575698852539
