total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.05812954902648926
20.0,3.0,4.0,1.0,2.0,0.75,0.6,0.6969696969696969,0.6666666666666665,0.7,0.0,0.00652623176574707
30.0,1.0,4.0,0.0,5.0,1.0,0.16666666666666666,0.41758241758241754,0.2857142857142857,0.5,0.0,0.009752988815307617
40.0,0.0,3.0,2.0,5.0,0.0,0.0,0.23076923076923075,0.0,0.3,0.0,0.009241104125976562
50.0,1.0,2.0,1.0,6.0,0.5,0.14285714285714285,0.26464646464646463,0.22222222222222224,0.3,0.0,0.005545616149902344
60.0,2.0,4.0,1.0,3.0,0.6666666666666666,0.4,0.5833333333333333,0.5,0.6,0.0,0.00619816780090332
70.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0063669681549072266
80.0,3.0,3.0,1.0,3.0,0.75,0.5,0.6,0.6,0.6,0.0,0.006379842758178711
90.0,1.0,3.0,0.0,6.0,1.0,0.14285714285714285,0.325,0.25,0.4,0.0,0.005941629409790039
100.0,2.0,6.0,0.0,2.0,1.0,0.5,0.7809523809523808,0.6666666666666666,0.8,0.0,0.00690770149230957
110.0,2.0,4.0,0.0,4.0,1.0,0.3333333333333333,0.5666666666666667,0.5,0.6,0.0,0.009334802627563477
120.0,1.0,5.0,1.0,3.0,0.5,0.25,0.5619047619047619,0.3333333333333333,0.6,0.0,0.00613856315612793
130.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06526327133178711,0.008453130722045898
140.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06806445121765137,0.00760340690612793
150.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07118654251098633,0.007520437240600586
160.0,5.0,3.0,0.0,2.0,1.0,0.7142857142857143,0.8083333333333332,0.8333333333333333,0.8,0.0810999870300293,0.007744550704956055
170.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0795445442199707,0.007280826568603516
180.0,4.0,1.0,2.0,3.0,0.6666666666666666,0.5714285714285714,0.5164835164835164,0.6153846153846153,0.5,0.0,0.694359540939331
190.0,3.0,2.0,2.0,3.0,0.6,0.5,0.505050505050505,0.5454545454545454,0.5,0.0,0.013653278350830078
200.0,2.0,5.0,1.0,2.0,0.6666666666666666,0.5,0.6901098901098901,0.5714285714285715,0.7,0.0,0.015743017196655273
210.0,3.0,6.0,1.0,0.0,0.75,1.0,0.9032967032967033,0.8571428571428571,0.9,0.08747291564941406,0.007200717926025391
