total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.11373043060302734
20.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.02295374870300293
30.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.017847537994384766
40.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.018950462341308594
50.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.015255928039550781
60.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.014724254608154297
70.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.015359640121459961
80.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.015304088592529297
90.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.0162198543548584
100.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.017199277877807617
110.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.017629146575927734
120.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.017798900604248047
130.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.019640445709228516
140.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.015090227127075195
150.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.01654052734375
160.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.01906132698059082
170.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.015616416931152344
180.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.02393627166748047
190.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.022976398468017578
200.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.018088102340698242
210.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.9861516952514648
220.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.06910943984985352
230.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.0692300796508789
240.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.07862329483032227
250.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.05700349807739258
260.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.02031111717224121
270.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.0240786075592041
280.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.018891572952270508
290.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.018636703491210938
300.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.019047260284423828
310.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.18461538461538463,0.18461538461538463,0.3,0.0,0.032625675201416016
320.0,0.0,2.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.017582178115844727
330.0,0.0,0.0,0.0,0.0,0.5133333333333333,0.5,0.475,0.475,0.5,0.0,0.017292261123657227
340.0,0.0,3.0,0.0,0.0,0.55,0.5,0.5222222222222223,0.5222222222222223,0.5,0.0,0.018160343170166016
350.0,0.0,2.0,0.0,0.0,0.45,0.4,0.40888888888888897,0.40888888888888897,0.4,0.0,0.018702268600463867
360.0,0.0,3.0,0.0,0.0,0.325,0.4,0.33999999999999997,0.33999999999999997,0.4,0.0,0.01581740379333496
370.0,0.0,1.0,0.0,0.0,0.6,0.6,0.5914285714285714,0.5914285714285714,0.6,0.0,0.029990196228027344
380.0,0.0,2.0,0.0,0.0,0.65,0.5,0.5333333333333333,0.5333333333333333,0.5,0.0,0.030512571334838867
390.0,0.0,3.0,0.0,0.0,0.15,0.3,0.2,0.2,0.3,0.0,0.018607378005981445
400.0,0.0,1.0,0.0,0.0,0.6,0.5,0.49000000000000005,0.49000000000000005,0.5,0.0,0.014926910400390625
410.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.2,0.12000000000000002,0.12000000000000002,0.2,0.0,0.01512002944946289
420.0,0.0,1.0,0.0,0.0,0.55,0.5,0.52,0.52,0.5,0.0,0.015146255493164062
430.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.1,0.1142857142857143,0.1142857142857143,0.1,0.0,0.014874935150146484
440.0,0.0,1.0,0.0,0.0,0.7833333333333334,0.4,0.4238095238095239,0.4238095238095239,0.4,0.0,0.014801025390625
450.0,0.0,1.0,0.0,0.0,0.5833333333333333,0.5,0.51,0.51,0.5,0.0,0.014877796173095703
460.0,0.0,1.0,0.0,0.0,0.725,0.6,0.6177777777777778,0.6177777777777778,0.6,0.0,0.014926671981811523
470.0,0.0,1.0,0.0,0.0,0.5,0.3,0.325,0.325,0.3,0.0,0.014995574951171875
480.0,0.0,2.0,0.0,0.0,0.52,0.5,0.4833333333333333,0.4833333333333333,0.5,0.0,0.014827728271484375
490.0,0.0,1.0,0.0,0.0,0.5416666666666666,0.5,0.4976190476190475,0.4976190476190475,0.5,0.0,0.01499629020690918
500.0,0.0,1.0,0.0,0.0,0.4095238095238095,0.5,0.44923076923076916,0.44923076923076916,0.5,0.0,0.015025854110717773
510.0,0.0,3.0,0.0,0.0,0.5966666666666667,0.6,0.5735714285714286,0.5735714285714286,0.6,0.0,0.014885425567626953
520.0,0.0,1.0,0.0,0.0,0.64,0.4,0.4428571428571429,0.4428571428571429,0.4,0.0,0.01485443115234375
530.0,0.0,3.0,0.0,0.0,0.78,0.7,0.675,0.675,0.7,0.0,0.02010655403137207
540.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,0.0,0.026140928268432617
550.0,0.0,2.0,0.0,0.0,0.44333333333333336,0.4,0.37063492063492065,0.37063492063492065,0.4,0.0,0.027968406677246094
560.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.3,0.29333333333333333,0.29333333333333333,0.3,0.0,0.014282941818237305
570.0,0.0,0.0,0.0,0.0,0.5,0.3,0.29333333333333333,0.29333333333333333,0.3,0.0,0.017631053924560547
580.0,0.0,0.0,0.0,0.0,0.3,0.2,0.20952380952380953,0.20952380952380953,0.2,0.0,0.017781972885131836
590.0,0.0,5.0,0.0,0.0,0.6125,0.6,0.5346153846153847,0.5346153846153847,0.6,0.0,0.01819157600402832
600.0,0.0,3.0,0.0,0.0,0.6,0.6,0.5914285714285714,0.5914285714285714,0.6,0.0,0.01844310760498047
610.0,0.0,1.0,0.0,0.0,0.8166666666666667,0.4,0.4,0.4,0.4,0.0,0.017918109893798828
620.0,0.0,3.0,0.0,0.0,0.49000000000000005,0.5,0.48666666666666664,0.48666666666666664,0.5,0.0,0.017989158630371094
630.0,0.0,1.0,0.0,0.0,0.6,0.6,0.6000000000000001,0.6000000000000001,0.6,0.0,0.018286705017089844
640.0,0.0,2.0,0.0,0.0,0.3,0.4,0.3333333333333333,0.3333333333333333,0.4,0.0,0.018941164016723633
650.0,0.0,3.0,0.0,0.0,0.7150000000000001,0.7,0.6999999999999998,0.6999999999999998,0.7,0.0,0.01907944679260254
660.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2333333333333333,0.2333333333333333,0.3,0.0,0.018304824829101562
670.0,0.0,2.0,0.0,0.0,0.8166666666666667,0.4,0.4,0.4,0.4,0.0,0.01848459243774414
680.0,0.0,3.0,0.0,0.0,0.45,0.4,0.40606060606060607,0.40606060606060607,0.4,0.0,0.018628358840942383
690.0,0.0,3.0,0.0,0.0,0.5666666666666667,0.7,0.62,0.62,0.7,0.0,0.018519878387451172
700.0,0.0,2.0,0.0,0.0,0.6866666666666668,0.5,0.5157142857142858,0.5157142857142858,0.5,0.0,0.01792311668395996
710.0,0.0,2.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.01620769500732422
720.0,0.0,1.0,0.0,0.0,0.8800000000000001,0.7,0.6742857142857143,0.6742857142857143,0.7,0.0,0.023839235305786133
730.0,0.0,5.0,0.0,0.0,0.8333333333333333,0.8,0.7933333333333332,0.7933333333333332,0.8,0.0,0.017977237701416016
739.0,0.0,1.0,0.0,0.0,0.2962962962962963,0.2222222222222222,0.25,0.25,0.2222222222222222,0.0,0.013772010803222656
740.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026912689208984375
