total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,2.0,0.0,0.0,0.3125,0.3,0.26222222222222225,0.26222222222222225,0.3,0.0,0.11367940902709961
20.0,0.0,1.0,0.0,0.0,0.15,0.3,0.18,0.18,0.3,0.0,0.014072895050048828
30.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.1,0.08,0.08,0.1,0.0,0.013506412506103516
40.0,0.0,1.0,0.0,0.0,0.11428571428571428,0.2,0.125,0.125,0.2,0.0,0.013473033905029297
50.0,0.0,1.0,0.0,0.0,0.2111111111111111,0.2,0.15333333333333332,0.15333333333333332,0.2,0.0,0.01033329963684082
60.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.02222222222222222,0.02222222222222222,0.1,0.0,0.010682821273803711
70.0,0.0,2.0,0.0,0.0,0.15,0.2,0.17142857142857143,0.17142857142857143,0.2,0.0,0.013391733169555664
80.0,0.0,1.0,0.0,0.0,0.15,0.3,0.18,0.18,0.3,0.0,0.013844490051269531
90.0,0.0,0.0,0.0,0.0,0.01111111111111111,0.1,0.019999999999999997,0.019999999999999997,0.1,0.0,0.01235651969909668
100.0,0.0,1.0,0.0,0.0,0.4111111111111111,0.2,0.18,0.18,0.2,0.0,0.010555028915405273
110.0,0.0,3.0,0.0,0.0,0.36,0.3,0.32727272727272727,0.32727272727272727,0.3,0.0,0.013758659362792969
120.0,0.0,2.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.013184547424316406
130.0,0.0,2.0,0.0,0.0,0.11666666666666667,0.3,0.1619047619047619,0.1619047619047619,0.3,0.0,0.009651422500610352
132.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.00526881217956543
133.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8902771472930908
