total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090232849121094
20.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.02786540985107422
30.0,0.0,0.0,0.0,0.0,0.1,0.3,0.14761904761904762,0.14761904761904762,0.3,0.0,0.02308034896850586
40.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.2,0.3,0.0,0.022125720977783203
50.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.02404189109802246
60.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.01970958709716797
70.0,0.0,1.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.019677400588989258
80.0,0.0,2.0,0.0,0.0,0.19047619047619047,0.4,0.24888888888888888,0.24888888888888888,0.4,0.0,0.019030332565307617
90.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.4,0.32,0.32,0.4,0.0,0.01983475685119629
100.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.021572113037109375
110.0,0.0,2.0,0.0,0.0,0.09047619047619046,0.3,0.1388888888888889,0.1388888888888889,0.3,0.0,0.021533489227294922
120.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.02229142189025879
130.0,0.0,0.0,0.0,0.0,0.1,0.3,0.14761904761904762,0.14761904761904762,0.3,0.0,0.022131681442260742
140.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.022702455520629883
150.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.5,0.34090909090909094,0.34090909090909094,0.5,0.0,0.023880720138549805
160.0,0.0,0.0,0.0,0.0,0.08,0.2,0.1142857142857143,0.1142857142857143,0.2,0.0,0.023360729217529297
170.0,0.0,1.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.02831721305847168
180.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.4,0.24888888888888888,0.24888888888888888,0.4,0.0,0.020263671875
190.0,0.0,0.0,0.0,0.0,0.24166666666666664,0.4,0.2857142857142857,0.2857142857142857,0.4,0.0,0.039845943450927734
200.0,0.0,0.0,0.0,0.0,0.175,0.4,0.24,0.24,0.4,0.0,0.021114587783813477
210.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.3,0.13999999999999999,0.13999999999999999,0.3,0.0,0.029419898986816406
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8763539791107178
230.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.2,0.06857142857142857,0.06857142857142857,0.2,0.0,0.09124350547790527
240.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.07737970352172852
250.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.08720898628234863
260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07792997360229492
270.0,0.0,2.0,0.0,0.0,0.05714285714285714,0.2,0.08888888888888889,0.08888888888888889,0.2,0.0,0.08424830436706543
280.0,0.0,1.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.0731048583984375
290.0,0.0,0.0,0.0,0.0,0.08,0.2,0.1142857142857143,0.1142857142857143,0.2,0.0,0.08092856407165527
300.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.3,0.13999999999999999,0.13999999999999999,0.3,0.0,0.08287882804870605
310.0,0.0,0.0,0.0,0.0,0.16190476190476188,0.4,0.22999999999999998,0.22999999999999998,0.4,0.0,0.07566404342651367
320.0,0.0,2.0,0.0,0.0,0.19047619047619047,0.4,0.24888888888888888,0.24888888888888888,0.4,0.0,0.08514022827148438
330.0,0.0,1.0,0.0,0.0,0.1,0.3,0.14761904761904762,0.14761904761904762,0.3,0.0,0.07539701461791992
340.0,0.0,1.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.03173017501831055
350.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.02448558807373047
360.0,0.0,0.0,0.0,0.0,0.1125,0.3,0.16363636363636364,0.16363636363636364,0.3,0.0,0.02192521095275879
370.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.3,0.1619047619047619,0.1619047619047619,0.3,0.0,0.02174091339111328
380.0,0.0,0.0,0.0,0.0,0.26190476190476186,0.5,0.33999999999999997,0.33999999999999997,0.5,0.0,0.022106647491455078
390.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.021885395050048828
400.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.5,0.36666666666666664,0.36666666666666664,0.5,0.0,0.03308701515197754
410.0,0.0,0.0,0.0,0.0,0.4666666666666666,0.6,0.5,0.5,0.6,0.0,0.02270340919494629
420.0,0.0,0.0,0.0,0.0,0.525,0.6,0.5571428571428572,0.5571428571428572,0.6,0.0,0.02301502227783203
430.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4333333333333333,0.4333333333333333,0.4,0.0,0.022005081176757812
440.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.024232864379882812
450.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.02292943000793457
460.0,0.0,0.0,0.0,0.0,0.625,0.7,0.6571428571428571,0.6571428571428571,0.7,0.0,0.025089740753173828
470.0,0.0,0.0,0.0,0.0,0.7,0.6,0.5833333333333333,0.5833333333333333,0.6,0.0,0.041368722915649414
480.0,0.0,0.0,0.0,0.0,0.525,0.3,0.3,0.3,0.3,0.0,0.02547740936279297
490.0,0.0,0.0,0.0,0.0,0.55,0.5,0.5,0.5,0.5,0.0,0.01981067657470703
500.0,0.0,0.0,0.0,0.0,0.85,0.7,0.7166666666666666,0.7166666666666666,0.7,0.0,0.020157814025878906
510.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.6,0.6,0.6,0.6,0.0,0.01948094367980957
520.0,0.0,1.0,0.0,0.0,0.75,0.7,0.65,0.65,0.7,0.0,0.019294261932373047
530.0,0.0,0.0,0.0,0.0,0.45,0.4,0.4095238095238095,0.4095238095238095,0.4,0.0,0.018918752670288086
540.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7,0.6799999999999999,0.6799999999999999,0.7,0.0,0.019861221313476562
550.0,0.0,0.0,0.0,0.0,0.275,0.4,0.30666666666666664,0.30666666666666664,0.4,0.0,0.01922464370727539
560.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.0,0.01922321319580078
570.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.019208908081054688
