total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.07151317596435547
20.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.01073145866394043
30.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.010578393936157227
40.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0067141056060791016
50.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.007046222686767578
60.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.006993770599365234
70.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.008285760879516602
80.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.007059812545776367
90.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.007155418395996094
100.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.010755062103271484
110.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.011103153228759766
120.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007149934768676758
130.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.11545085906982422,0.01179051399230957
140.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.1234886646270752,0.008376121520996094
150.0,0.0,5.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.7813735008239746
160.0,0.0,2.0,0.0,0.0,0.14500000000000002,0.3,0.19,0.19,0.3,0.13881325721740723,0.008339166641235352
170.0,0.0,8.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.016910552978515625
180.0,0.0,5.0,0.0,0.0,0.375,0.5,0.42857142857142855,0.42857142857142855,0.5,0.0,0.008979082107543945
190.0,0.0,2.0,0.0,0.0,0.32,0.4,0.35,0.35,0.4,0.0,0.006669282913208008
200.0,0.0,3.0,0.0,0.0,0.1,0.3,0.15,0.15,0.3,0.0,0.006901741027832031
210.0,0.0,6.0,0.0,0.0,0.4666666666666666,0.6,0.525,0.525,0.6,0.0,0.00678563117980957
220.0,0.0,4.0,0.0,0.0,0.26666666666666666,0.4,0.32,0.32,0.4,0.0,0.006925106048583984
230.0,0.0,2.0,0.0,0.0,0.25,0.4,0.27999999999999997,0.27999999999999997,0.4,0.0,0.006717681884765625
240.0,0.0,4.0,0.0,0.0,0.3,0.4,0.34285714285714286,0.34285714285714286,0.4,0.0,0.007002830505371094
250.0,0.0,5.0,0.0,0.0,0.37777777777777777,0.6,0.45714285714285713,0.45714285714285713,0.6,0.0,0.006891727447509766
260.0,0.0,3.0,0.0,0.0,0.55,0.7,0.6,0.6,0.7,0.0,0.007169008255004883
270.0,0.0,7.0,0.0,0.0,0.7444444444444445,0.8,0.7458333333333333,0.7458333333333333,0.8,0.0,0.0075299739837646484
280.0,0.0,5.0,0.0,0.0,0.5785714285714285,0.7,0.6282051282051282,0.6282051282051282,0.7,0.0,0.0067331790924072266
290.0,0.0,7.0,0.0,0.0,0.7125,0.8,0.7533333333333333,0.7533333333333333,0.8,0.0,0.00771784782409668
300.0,0.0,6.0,0.0,0.0,0.75,0.8,0.7476190476190475,0.7476190476190475,0.8,0.0,0.007028818130493164
310.0,0.0,8.0,2.0,0.0,1.0,0.8,0.888888888888889,0.888888888888889,0.8,0.0,0.007414102554321289
320.0,0.0,8.0,0.0,0.0,0.8111111111111111,0.9,0.8529411764705882,0.8529411764705882,0.9,0.0,0.0069599151611328125
330.0,0.0,6.0,0.0,0.0,0.7142857142857142,0.8,0.7538461538461538,0.7538461538461538,0.8,0.0,0.007483720779418945
340.0,0.0,5.0,0.0,0.0,0.35714285714285715,0.5,0.41666666666666663,0.41666666666666663,0.5,0.0,0.007359743118286133
350.0,0.0,4.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.006852626800537109
360.0,0.0,8.0,0.0,0.0,0.8111111111111111,0.9,0.8529411764705882,0.8529411764705882,0.9,0.0,0.006989240646362305
370.0,0.0,7.0,0.0,0.0,0.6222222222222222,0.7,0.6588235294117648,0.6588235294117648,0.7,0.0,0.00693058967590332
380.0,0.0,7.0,0.0,0.0,0.85,0.9,0.8666666666666668,0.8666666666666668,0.9,0.0,0.00686192512512207
