total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,5.0,0.0,0.0,0.33333333333333337,0.5,0.4,0.4,0.5,0.0,0.06453657150268555
20.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.007524013519287109
30.0,0.0,6.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.00700831413269043
40.0,0.0,3.0,0.0,0.0,0.7,0.4,0.32142857142857145,0.32142857142857145,0.4,0.0,0.010279417037963867
50.0,0.0,4.0,0.0,0.0,0.47777777777777775,0.5,0.39615384615384613,0.39615384615384613,0.5,0.0,0.006220102310180664
60.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.006484031677246094
70.0,0.0,3.0,0.0,0.0,0.7,0.4,0.32142857142857145,0.32142857142857145,0.4,0.0,0.00632023811340332
80.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.008264303207397461
90.0,1.0,6.0,0.0,3.0,0.8,0.7,0.64,0.64,0.7,0.0,0.006747245788574219
100.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.006225109100341797
110.0,0.0,4.0,0.0,0.0,0.22222222222222224,0.4,0.2857142857142857,0.2857142857142857,0.4,0.0,0.009993791580200195
120.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.010601282119750977
130.0,1.0,6.0,0.0,3.0,0.8,0.7,0.64,0.64,0.7,0.0,0.007891654968261719
140.0,0.0,3.0,0.0,0.0,0.35,0.4,0.3333333333333333,0.3333333333333333,0.4,0.0,0.009157657623291016
150.0,0.0,4.0,0.0,0.0,0.4666666666666666,0.4,0.43076923076923074,0.43076923076923074,0.4,0.11829757690429688,0.011442899703979492
160.0,0.0,4.0,0.0,0.0,0.5666666666666667,0.6,0.5444444444444445,0.5444444444444445,0.6,0.1215977668762207,0.007697582244873047
170.0,0.0,6.0,0.0,0.0,0.4,0.6,0.4800000000000001,0.4800000000000001,0.6,0.0,0.7574310302734375
180.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13166022300720215,0.007639169692993164
190.0,0.0,4.0,0.0,0.0,0.56,0.6,0.5506493506493506,0.5506493506493506,0.6,0.0,0.012276172637939453
200.0,0.0,4.0,0.0,0.0,0.55,0.7,0.6,0.6,0.7,0.0,0.008332490921020508
210.0,0.0,5.0,0.0,0.0,0.78,0.8,0.7704545454545453,0.7704545454545453,0.8,0.0,0.008006095886230469
220.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006896257400512695
230.0,0.0,4.0,0.0,0.0,0.78,0.7,0.7050000000000001,0.7050000000000001,0.7,0.0,0.006369352340698242
240.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006673336029052734
250.0,0.0,4.0,0.0,0.0,0.58,0.7,0.625,0.625,0.7,0.0,0.006691694259643555
260.0,0.0,4.0,0.0,0.0,0.8166666666666668,0.9,0.8545454545454545,0.8545454545454545,0.9,0.0,0.006539344787597656
270.0,0.0,5.0,0.0,0.0,0.6799999999999999,0.8,0.725,0.725,0.8,0.0,0.0066874027252197266
280.0,0.0,6.0,0.0,0.0,0.7,0.8,0.7333333333333333,0.7333333333333333,0.8,0.0,0.006758451461791992
290.0,0.0,4.0,0.0,0.0,0.8166666666666668,0.9,0.8545454545454545,0.8545454545454545,0.9,0.0,0.006500720977783203
300.0,0.0,4.0,0.0,0.0,0.75,0.7,0.68,0.68,0.7,0.0,0.006520986557006836
310.0,0.0,4.0,0.0,0.0,0.6166666666666667,0.5,0.5085714285714287,0.5085714285714287,0.5,0.0,0.0067479610443115234
320.0,0.0,1.0,0.0,0.0,0.47777777777777775,0.6,0.4904761904761905,0.4904761904761905,0.6,0.0,0.0067331790924072266
330.0,0.0,5.0,0.0,0.0,0.7666666666666667,0.7,0.7133333333333333,0.7133333333333333,0.7,0.0,0.006275653839111328
340.0,3.0,6.0,0.0,1.0,0.9142857142857143,0.9,0.8967032967032967,0.8967032967032967,0.9,0.0,0.006926059722900391
350.0,0.0,5.0,0.0,0.0,0.62,0.6,0.5787878787878787,0.5787878787878787,0.6,0.0,0.006914377212524414
360.0,0.0,3.0,0.0,0.0,0.8666666666666666,0.8,0.7961904761904761,0.7961904761904761,0.8,0.0,0.006948947906494141
370.0,0.0,1.0,0.0,0.0,0.6,0.7,0.6133333333333334,0.6133333333333334,0.7,0.0,0.00669407844543457
380.0,0.0,5.0,0.0,0.0,0.78,0.8,0.7704545454545453,0.7704545454545453,0.8,0.0,0.007170200347900391
390.0,0.0,4.0,0.0,0.0,0.6666666666666667,0.6,0.5800000000000001,0.5800000000000001,0.6,0.0,0.0070803165435791016
400.0,0.0,3.0,0.0,0.0,0.7285714285714285,0.6,0.58,0.58,0.6,0.0,0.007089376449584961
410.0,0.0,2.0,0.0,0.0,0.8285714285714285,0.7,0.6809090909090909,0.6809090909090909,0.7,0.0,0.006273031234741211
420.0,0.0,4.0,0.0,0.0,0.7166666666666667,0.5,0.5376623376623376,0.5376623376623376,0.5,0.0,0.0064733028411865234
