total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.06479740142822266
20.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.010060787200927734
30.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01092672348022461
40.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.007646083831787109
50.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.007653713226318359
60.0,0.0,7.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.0074100494384765625
70.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.010236024856567383
80.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.007185935974121094
90.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.006647586822509766
100.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.00619959831237793
110.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.009410858154296875
120.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.009864091873168945
130.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.006699323654174805
140.0,0.0,4.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.11241531372070312,0.010034561157226562
150.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6,0.5,0.5,0.6,0.12021708488464355,0.00908803939819336
160.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.6,0.4533333333333333,0.4533333333333333,0.6,0.12212157249450684,0.008733034133911133
170.0,0.0,0.0,0.0,0.0,0.58,0.7,0.6142857142857143,0.6142857142857143,0.7,0.13248395919799805,0.006460905075073242
180.0,0.0,6.0,0.0,0.0,0.7,0.8,0.7333333333333333,0.7333333333333333,0.8,0.0,0.011013269424438477
190.0,0.0,0.0,0.0,0.0,0.6799999999999999,0.8,0.725,0.725,0.8,0.0,0.012582063674926758
200.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.008657455444335938
210.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.5,0.3888888888888889,0.3888888888888889,0.5,0.0,0.00873565673828125
220.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.5,0.4333333333333333,0.4333333333333333,0.5,0.0,0.007258176803588867
230.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.4,0.325,0.325,0.4,0.0,0.0067462921142578125
240.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.00643467903137207
250.0,0.0,0.0,0.0,0.0,0.47857142857142854,0.6,0.5282051282051282,0.5282051282051282,0.6,0.0,0.006249189376831055
260.0,0.0,3.0,0.0,0.0,0.225,0.3,0.2571428571428571,0.2571428571428571,0.3,0.0,0.0065386295318603516
270.0,0.0,0.0,0.0,0.0,0.2125,0.3,0.22222222222222224,0.22222222222222224,0.3,0.0,0.006827116012573242
280.0,0.0,0.0,0.0,0.0,0.25,0.4,0.27999999999999997,0.27999999999999997,0.4,0.0,0.006246328353881836
290.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.4,0.325,0.325,0.4,0.0,0.006598711013793945
300.0,0.0,0.0,0.0,0.0,0.625,0.7,0.64,0.64,0.7,0.0,0.006696462631225586
310.0,0.0,0.0,0.0,0.0,0.52,0.6,0.5333333333333333,0.5333333333333333,0.6,0.0,0.006604433059692383
320.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.0,0.006533622741699219
330.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6,0.5,0.5,0.6,0.0,0.006635189056396484
340.0,0.0,0.0,0.0,0.0,0.34500000000000003,0.5,0.39555555555555555,0.39555555555555555,0.5,0.0,0.006621360778808594
350.0,0.0,2.0,0.0,0.0,0.19047619047619047,0.4,0.24888888888888888,0.24888888888888888,0.4,0.0,0.007129669189453125
360.0,0.0,0.0,0.0,0.0,0.24166666666666664,0.4,0.2857142857142857,0.2857142857142857,0.4,0.0,0.0067746639251708984
370.0,0.0,6.0,0.0,0.0,0.5142857142857142,0.6,0.5538461538461539,0.5538461538461539,0.6,0.0,0.006282806396484375
380.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.4,0.24888888888888888,0.24888888888888888,0.4,0.0,0.006095409393310547
390.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0061571598052978516
400.0,0.0,5.0,0.0,0.0,0.58,0.7,0.6142857142857143,0.6142857142857143,0.7,0.0,0.00637054443359375
410.0,0.0,2.0,0.0,0.0,0.525,0.5,0.49714285714285716,0.49714285714285716,0.5,0.0,0.0061910152435302734
420.0,0.0,0.0,0.0,0.0,0.14444444444444443,0.3,0.1727272727272727,0.1727272727272727,0.3,0.0,0.006884098052978516
430.0,0.0,5.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0063419342041015625
440.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.006451129913330078
450.0,0.0,5.0,0.0,0.0,0.52,0.6,0.5333333333333333,0.5333333333333333,0.6,0.0,0.006239652633666992
460.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.4,0.325,0.325,0.4,0.0,0.006448507308959961
470.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.4,0.32,0.32,0.4,0.0,0.0065250396728515625
480.0,0.0,0.0,0.0,0.0,0.37,0.5,0.4222222222222222,0.4222222222222222,0.5,0.0,0.006396770477294922
490.0,0.0,0.0,0.0,0.0,0.14444444444444443,0.3,0.1727272727272727,0.1727272727272727,0.3,0.0,0.008867979049682617
500.0,0.0,0.0,0.0,0.0,0.6799999999999999,0.8,0.725,0.725,0.8,0.0,0.006106853485107422
510.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.010231733322143555
520.0,0.0,0.0,0.0,0.0,0.58,0.7,0.625,0.625,0.7,0.0,0.008737325668334961
530.0,0.0,0.0,0.0,0.0,0.24500000000000002,0.4,0.29047619047619044,0.29047619047619044,0.4,0.0,0.006539106369018555
540.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.8636636734008789,0.774789571762085
543.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.010712385177612305
