total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.2,0.12000000000000002,0.12000000000000002,0.2,0.0,0.11516284942626953
20.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.011609792709350586
30.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.010794639587402344
40.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.2,0.12444444444444444,0.12444444444444444,0.2,0.0,0.011040210723876953
50.0,0.0,0.0,0.0,0.0,0.15,0.2,0.17142857142857143,0.17142857142857143,0.2,0.0,0.010637760162353516
60.0,0.0,0.0,0.0,0.0,0.16,0.3,0.20714285714285716,0.20714285714285716,0.3,0.0,0.011622190475463867
70.0,0.0,0.0,0.0,0.0,0.02,0.1,0.03333333333333334,0.03333333333333334,0.1,0.0,0.010986328125
80.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.1,0.125,0.125,0.1,0.0,0.0137786865234375
90.0,0.0,0.0,0.0,0.0,0.2,0.4,0.26428571428571435,0.26428571428571435,0.4,0.0,0.013317346572875977
100.0,0.0,0.0,0.0,0.0,0.3125,0.3,0.26222222222222225,0.26222222222222225,0.3,0.0,0.013767480850219727
110.0,0.0,2.0,0.0,0.0,0.4444444444444445,0.3,0.23272727272727273,0.23272727272727273,0.3,0.0,0.012772083282470703
120.0,0.0,0.0,0.0,0.0,0.16,0.3,0.20714285714285716,0.20714285714285716,0.3,0.0,0.01080465316772461
130.0,0.0,1.0,0.0,0.0,0.1125,0.2,0.12222222222222223,0.12222222222222223,0.2,0.0,0.01127934455871582
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010954618453979492
150.0,0.0,0.0,0.0,0.0,0.29166666666666663,0.5,0.3571428571428571,0.3571428571428571,0.5,0.0,0.011336803436279297
160.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.08,0.08,0.1,0.0,0.020580053329467773
170.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.1,0.025,0.025,0.1,0.0,0.012674808502197266
180.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.8905453681945801
190.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.08,0.08,0.1,0.0,0.01399683952331543
200.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.1,0.1,0.2,0.0,0.014735937118530273
210.0,0.0,0.0,0.0,0.0,0.04,0.1,0.05714285714285715,0.05714285714285715,0.1,0.0,0.01846456527709961
220.0,0.0,1.0,0.0,0.0,0.11904761904761904,0.3,0.17,0.17,0.3,0.0,0.04739785194396973
230.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.1,0.02857142857142857,0.02857142857142857,0.1,0.0,0.061491966247558594
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05191469192504883
250.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.1,0.044444444444444446,0.044444444444444446,0.1,0.0,0.058057308197021484
260.0,0.0,0.0,0.0,0.0,0.02,0.1,0.03333333333333334,0.03333333333333334,0.1,0.0,0.05822610855102539
270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057981014251708984
280.0,0.0,0.0,0.0,0.0,0.08,0.2,0.1142857142857143,0.1142857142857143,0.2,0.0,0.05824875831604004
290.0,0.0,0.0,0.0,0.0,0.375,0.6,0.45714285714285713,0.45714285714285713,0.6,0.0,0.058524370193481445
300.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.2,0.08888888888888889,0.08888888888888889,0.2,0.0,0.048200130462646484
310.0,0.0,3.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.015325307846069336
320.0,0.0,0.0,0.0,0.0,0.05,0.2,0.08,0.08,0.2,0.0,0.012940406799316406
330.0,0.0,0.0,0.0,0.0,0.12000000000000002,0.2,0.15,0.15,0.2,0.0,0.013887405395507812
340.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.05,0.05,0.1,0.0,0.014338970184326172
350.0,0.0,1.0,0.0,0.0,0.33999999999999997,0.3,0.29047619047619044,0.29047619047619044,0.3,0.5262908935546875,0.02350759506225586
360.0,0.0,1.0,0.0,0.0,0.7,0.6,0.62,0.62,0.6,0.0,0.01379704475402832
370.0,0.0,0.0,0.0,0.0,0.205,0.4,0.26499999999999996,0.26499999999999996,0.4,0.0,0.014281988143920898
380.0,0.0,0.0,0.0,0.0,0.65,0.7,0.6666666666666667,0.6666666666666667,0.7,0.0,0.01341700553894043
390.0,0.0,3.0,0.0,0.0,0.525,0.5,0.4666666666666666,0.4666666666666666,0.5,0.0,0.013448953628540039
400.0,0.0,0.0,0.0,0.0,0.205,0.4,0.26499999999999996,0.26499999999999996,0.4,0.0,0.021642684936523438
410.0,0.0,1.0,0.0,0.0,0.4866666666666667,0.6,0.5355555555555556,0.5355555555555556,0.6,0.0,0.01849079132080078
420.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.6,0.51,0.51,0.6,0.0,0.010784149169921875
430.0,0.0,1.0,0.0,0.0,0.6333333333333333,0.6,0.5795238095238096,0.5795238095238096,0.6,0.0,0.011535882949829102
431.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0013933181762695312
432.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015265941619873047
