total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.08725953102111816
20.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.007753610610961914
30.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.006929874420166016
40.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.00719904899597168
50.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.007195711135864258
60.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.00712275505065918
70.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.0102081298828125
80.0,0.0,9.0,0.0,1.0,0.0,0.0,0.8526315789473685,0.0,0.9,0.0,0.007283210754394531
90.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.006840705871582031
100.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.007725238800048828
110.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.006552696228027344
120.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.007672309875488281
130.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.006926774978637695
140.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.10845255851745605,0.012183904647827148
150.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.12616515159606934,0.008350372314453125
160.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.12141823768615723,0.008743524551391602
170.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.7752079963684082
180.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.13913846015930176,0.00812673568725586
190.0,1.0,2.0,1.0,6.0,0.5,0.14285714285714285,0.26464646464646463,0.22222222222222224,0.3,0.0,0.010325908660888672
200.0,1.0,8.0,0.0,1.0,1.0,0.5,0.8862745098039216,0.6666666666666666,0.9,0.0,0.008781909942626953
210.0,1.0,5.0,0.0,4.0,1.0,0.2,0.523809523809524,0.33333333333333337,0.6,0.0,0.0069580078125
220.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.00688624382019043
230.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.006285190582275391
240.0,0.0,6.0,1.0,3.0,0.0,0.0,0.525,0.0,0.6,0.0,0.006519794464111328
250.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.006572723388671875
260.0,2.0,5.0,0.0,3.0,1.0,0.4,0.6703296703296704,0.5714285714285715,0.7,0.0,0.006655454635620117
270.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.0067920684814453125
280.0,1.0,6.0,0.0,3.0,1.0,0.25,0.64,0.4,0.7,0.0,0.006331443786621094
290.0,1.0,5.0,0.0,4.0,1.0,0.2,0.523809523809524,0.33333333333333337,0.6,0.0,0.006490468978881836
300.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0066089630126953125
310.0,1.0,6.0,0.0,3.0,1.0,0.25,0.64,0.4,0.7,0.0,0.00648188591003418
