total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09812331199645996
20.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.026905059814453125
30.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.02747321128845215
40.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.026721715927124023
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023041486740112305
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022333383560180664
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019655466079711914
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931142807006836
90.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.019757986068725586
100.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.020725488662719727
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02201080322265625
120.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.021997451782226562
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021981239318847656
140.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.02241992950439453
150.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.023224592208862305
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018787384033203125
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02232646942138672
180.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.025511980056762695
190.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.02354598045349121
200.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.03995919227600098
210.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.021053314208984375
220.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.9288742542266846
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930473804473877
240.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.07373523712158203
250.0,0.0,1.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.08850955963134766
260.0,0.0,3.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.07687664031982422
