total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.06788468360900879
20.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.010706424713134766
30.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.009350061416625977
40.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.007215261459350586
50.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.006686210632324219
60.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.00799703598022461
70.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.0069026947021484375
80.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.0064508914947509766
90.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.006410360336303711
100.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.007955312728881836
110.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.009186506271362305
120.0,4.0,0.0,6.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.006709575653076172
130.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01471257209777832
140.0,0.0,6.0,0.0,0.0,0.9333333333333333,0.9,0.8933333333333333,0.8933333333333333,0.9,0.10831308364868164,0.00876927375793457
150.0,0.0,3.0,0.0,0.0,0.19999999999999998,0.4,0.2583333333333333,0.2583333333333333,0.4,0.12022900581359863,0.006645679473876953
160.0,0.0,5.0,0.0,0.0,0.58,0.7,0.6142857142857143,0.6142857142857143,0.7,0.12494277954101562,0.00757598876953125
170.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.7817909717559814
180.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.0275576114654541
190.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.027771472930908203
200.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.027243614196777344
210.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.02337646484375
220.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.019267559051513672
230.0,0.0,3.0,0.0,0.0,0.42857142857142855,0.6,0.48,0.48,0.6,0.13390874862670898,0.006799221038818359
240.0,0.0,3.0,0.0,0.0,0.6583333333333333,0.7,0.65,0.65,0.7,0.0,0.010206460952758789
250.0,0.0,4.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.0,0.009428024291992188
260.0,0.0,6.0,0.0,0.0,0.8333333333333333,0.8,0.7833333333333333,0.7833333333333333,0.8,0.0,0.009836912155151367
270.0,0.0,3.0,0.0,0.0,0.545,0.7,0.6126984126984126,0.6126984126984126,0.7,0.0,0.007841110229492188
280.0,0.0,6.0,0.0,0.0,0.95,0.9,0.9066666666666666,0.9066666666666666,0.9,0.0,0.006485700607299805
290.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006228208541870117
300.0,0.0,3.0,0.0,0.0,0.6583333333333333,0.8,0.7171428571428571,0.7171428571428571,0.8,0.0,0.0063517093658447266
310.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00661158561706543
320.0,0.0,4.0,0.0,0.0,0.5033333333333333,0.7,0.5822222222222223,0.5822222222222223,0.7,0.0,0.006536722183227539
330.0,0.0,3.0,0.0,0.0,0.675,0.8,0.7238095238095237,0.7238095238095237,0.8,0.0,0.00673675537109375
340.0,0.0,5.0,0.0,0.0,1.0,0.9,0.9444444444444444,0.9444444444444444,0.9,0.0,0.006323099136352539
350.0,0.0,6.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.0,0.006439924240112305
360.0,0.0,2.0,0.0,0.0,0.36666666666666664,0.5,0.4133333333333333,0.4133333333333333,0.5,0.0,0.007955074310302734
370.0,0.0,5.0,0.0,0.0,0.5333333333333333,0.6,0.55,0.55,0.6,0.0,0.00886988639831543
380.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006922721862792969
390.0,0.0,2.0,0.0,0.0,0.6666666666666667,0.7,0.68,0.68,0.7,0.0,0.006448507308959961
400.0,0.0,4.0,0.0,0.0,0.85,0.9,0.8666666666666666,0.8666666666666666,0.9,0.0,0.006506919860839844
410.0,0.0,5.0,0.0,0.0,0.7,0.8,0.7333333333333333,0.7333333333333333,0.8,0.0,0.0068285465240478516
420.0,0.0,3.0,0.0,0.0,0.7333333333333333,0.8,0.75,0.75,0.8,0.0,0.007147550582885742
430.0,0.0,4.0,0.0,0.0,0.575,0.6,0.56,0.56,0.6,0.0,0.00632786750793457
440.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006578922271728516
450.0,0.0,4.0,0.0,0.0,0.9333333333333332,0.9,0.9028571428571428,0.9028571428571428,0.9,0.0,0.006424665451049805
460.0,0.0,4.0,0.0,0.0,0.7333333333333333,0.7,0.7085714285714286,0.7085714285714286,0.7,0.0,0.0069386959075927734
470.0,0.0,6.0,0.0,0.0,0.95,0.9,0.9066666666666666,0.9066666666666666,0.9,0.0,0.006678581237792969
480.0,0.0,5.0,0.0,0.0,0.825,0.9,0.8571428571428571,0.8571428571428571,0.9,0.0,0.006586313247680664
490.0,0.0,3.0,0.0,0.0,0.8333333333333334,0.9,0.86,0.86,0.9,0.0,0.006228208541870117
500.0,0.0,4.0,0.0,0.0,1.0,0.9,0.9454545454545453,0.9454545454545453,0.9,0.0,0.006802797317504883
510.0,0.0,5.0,0.0,0.0,0.6666666666666667,0.8,0.7212121212121212,0.7212121212121212,0.8,0.0,0.006651639938354492
520.0,0.0,4.0,0.0,0.0,0.5,0.7,0.5805555555555555,0.5805555555555555,0.7,0.0,0.0065500736236572266
530.0,0.0,2.0,0.0,0.0,0.6666666666666667,0.7,0.68,0.68,0.7,0.0,0.0070493221282958984
540.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006712436676025391
