total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.12956023216247559
20.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.023286104202270508
30.0,0.0,0.0,0.0,0.0,0.1,0.3,0.15,0.15,0.3,0.0,0.020627737045288086
40.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.01568770408630371
50.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.015027761459350586
60.0,0.0,1.0,0.0,0.0,0.47777777777777775,0.5,0.39615384615384613,0.39615384615384613,0.5,0.0,0.015100717544555664
70.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.015335321426391602
80.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.015938997268676758
90.0,0.0,1.0,0.0,0.0,0.47777777777777775,0.6,0.4904761904761905,0.4904761904761905,0.6,0.0,0.017724990844726562
100.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.01746201515197754
110.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01829361915588379
120.0,4.0,0.0,6.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.01746654510498047
130.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.019197940826416016
140.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.015490293502807617
150.0,0.0,1.0,0.0,0.0,0.5,0.4,0.31,0.31,0.4,0.0,0.017656564712524414
160.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.022635698318481445
170.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.015593528747558594
180.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.029009580612182617
190.0,0.0,1.0,0.0,0.0,0.5777777777777777,0.5,0.40615384615384614,0.40615384615384614,0.5,0.0,0.01705765724182129
200.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.016813278198242188
210.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,1.0038509368896484
220.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.07939505577087402
230.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.08003616333007812
240.0,4.0,1.0,5.0,0.0,0.7777777777777778,0.5,0.41758241758241754,0.41758241758241754,0.5,0.0,0.07705259323120117
250.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.03003525733947754
260.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.022014379501342773
270.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.017508983612060547
280.0,0.0,1.0,0.0,0.0,0.8,0.5,0.43809523809523804,0.43809523809523804,0.5,0.0,0.01860332489013672
290.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.024181604385375977
300.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.4,0.2461538461538461,0.2461538461538461,0.4,0.0,0.032468557357788086
310.0,0.0,0.0,0.0,0.0,0.39,0.5,0.43809523809523804,0.43809523809523804,0.5,0.0,0.017899513244628906
320.0,0.0,1.0,0.0,0.0,0.625,0.6,0.6047619047619046,0.6047619047619046,0.6,0.0,0.01692962646484375
330.0,0.0,2.0,0.0,0.0,0.7066666666666667,0.7,0.6952380952380952,0.6952380952380952,0.7,0.0,0.01894211769104004
340.0,0.0,1.0,0.0,0.0,0.32,0.3,0.2833333333333333,0.2833333333333333,0.3,0.0,0.01837158203125
350.0,0.0,1.0,0.0,0.0,0.7300000000000001,0.7,0.703030303030303,0.703030303030303,0.7,0.0,0.016498088836669922
360.0,0.0,2.0,0.0,0.0,0.7083333333333333,0.7,0.6933333333333332,0.6933333333333332,0.7,0.0,0.027407407760620117
370.0,0.0,0.0,0.0,0.0,0.41999999999999993,0.6,0.4916666666666666,0.4916666666666666,0.6,0.0,0.03310084342956543
380.0,0.0,3.0,0.0,0.0,0.65,0.6,0.6142857142857143,0.6142857142857143,0.6,0.0,0.019351482391357422
390.0,0.0,0.0,0.0,0.0,0.5125,0.5,0.4303030303030303,0.4303030303030303,0.5,0.0,0.015578985214233398
400.0,0.0,2.0,0.0,0.0,0.55,0.3,0.3523809523809524,0.3523809523809524,0.3,0.0,0.015188455581665039
410.0,0.0,0.0,0.0,0.0,0.45,0.5,0.4714285714285714,0.4714285714285714,0.5,0.0,0.015375852584838867
420.0,0.0,1.0,0.0,0.0,0.5333333333333333,0.4,0.39761904761904765,0.39761904761904765,0.4,0.0,0.015526533126831055
430.0,0.0,3.0,0.0,0.0,0.74,0.7,0.7095238095238094,0.7095238095238094,0.7,0.0,0.015292882919311523
440.0,0.0,0.0,0.0,0.0,0.35238095238095235,0.5,0.4133333333333333,0.4133333333333333,0.5,0.0,0.015340328216552734
450.0,0.0,1.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.0,0.015215396881103516
460.0,0.0,1.0,0.0,0.0,0.6,0.6,0.5914285714285714,0.5914285714285714,0.6,0.0,0.015577554702758789
470.0,0.0,1.0,0.0,0.0,0.5,0.3,0.375,0.375,0.3,0.0,0.01520848274230957
480.0,0.0,1.0,0.0,0.0,0.5,0.5,0.4927272727272728,0.4927272727272728,0.5,0.0,0.018152236938476562
490.0,0.0,2.0,0.0,0.0,0.925,0.9,0.9015873015873016,0.9015873015873016,0.9,0.0,0.015347719192504883
500.0,0.0,3.0,0.0,0.0,0.6066666666666667,0.6,0.5952380952380952,0.5952380952380952,0.6,0.0,0.01603841781616211
510.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.18333333333333332,0.18333333333333332,0.3,0.0,0.01535487174987793
520.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6214285714285714,0.6214285714285714,0.6,0.0,0.019667387008666992
530.0,0.0,1.0,0.0,0.0,0.8125,0.7,0.6679487179487179,0.6679487179487179,0.7,0.0,0.027487516403198242
540.0,0.0,2.0,0.0,0.0,0.625,0.5,0.5185714285714287,0.5185714285714287,0.5,0.0,0.022428274154663086
550.0,0.0,2.0,0.0,0.0,0.9166666666666667,0.9,0.8945454545454545,0.8945454545454545,0.9,0.0,0.014904022216796875
560.0,0.0,1.0,0.0,0.0,0.6785714285714286,0.7,0.6815384615384615,0.6815384615384615,0.7,0.0,0.017769575119018555
570.0,0.0,0.0,0.0,0.0,0.7285714285714285,0.5,0.48,0.48,0.5,0.0,0.0183713436126709
580.0,0.0,1.0,0.0,0.0,0.85,0.7,0.6599999999999999,0.6599999999999999,0.7,0.0,0.01860952377319336
590.0,0.0,1.0,0.0,0.0,0.62,0.5,0.5,0.5,0.5,0.0,0.01868462562561035
600.0,0.0,3.0,0.0,0.0,0.9,0.5,0.62,0.62,0.5,0.0,0.018771648406982422
610.0,0.0,3.0,0.0,0.0,0.9199999999999999,0.9,0.8955555555555555,0.8955555555555555,0.9,0.0,0.018310546875
620.0,0.0,1.0,0.0,0.0,0.6933333333333334,0.6,0.6166666666666666,0.6166666666666666,0.6,0.0,0.018735647201538086
630.0,0.0,1.0,0.0,0.0,0.3833333333333333,0.4,0.38095238095238104,0.38095238095238104,0.4,0.0,0.01882767677307129
640.0,0.0,1.0,0.0,0.0,0.82,0.5,0.5,0.5,0.5,0.0,0.01841282844543457
650.0,0.0,1.0,0.0,0.0,0.7333333333333334,0.6,0.56,0.56,0.6,0.0,0.019010543823242188
660.0,0.0,1.0,0.0,0.0,0.6785714285714286,0.5,0.45999999999999996,0.45999999999999996,0.5,0.0,0.018540143966674805
670.0,0.0,1.0,0.0,0.0,0.5833333333333333,0.6,0.5636363636363636,0.5636363636363636,0.6,0.0,0.018980026245117188
680.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.4,0.29818181818181816,0.29818181818181816,0.4,0.0,0.01836109161376953
690.0,0.0,2.0,0.0,0.0,0.8800000000000001,0.7,0.7292857142857143,0.7292857142857143,0.7,0.0,0.018173694610595703
700.0,0.0,2.0,0.0,0.0,0.7066666666666667,0.7,0.6952380952380952,0.6952380952380952,0.7,0.0,0.017101764678955078
710.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.5636363636363636,0.5636363636363636,0.6,0.0,0.01538538932800293
720.0,0.0,1.0,0.0,0.0,0.8285714285714285,0.7,0.6909090909090909,0.6909090909090909,0.7,0.0,0.02828812599182129
730.0,0.0,2.0,0.0,0.0,0.8,0.4,0.5,0.5,0.4,0.0,0.015388727188110352
738.0,0.0,1.0,0.0,0.0,0.4375,0.125,0.19444444444444445,0.19444444444444445,0.125,0.0,0.012559890747070312
740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004004240036010742
