total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,5.0,1.0,4.0,0.0,0.5555555555555556,1.0,0.523809523809524,0.7142857142857143,0.6,0.0,0.10811781883239746
20.0,4.0,1.0,5.0,0.0,0.4444444444444444,1.0,0.41758241758241754,0.6153846153846153,0.5,0.0,0.009847402572631836
30.0,5.0,0.0,4.0,1.0,0.5555555555555556,0.8333333333333334,0.4,0.6666666666666667,0.5,0.0,0.009453535079956055
40.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.009718179702758789
50.0,1.0,1.0,8.0,0.0,0.1111111111111111,1.0,0.19999999999999998,0.19999999999999998,0.2,0.0,0.013881206512451172
60.0,4.0,1.0,4.0,1.0,0.5,0.8,0.45054945054945056,0.6153846153846154,0.5,0.0,0.012876033782958984
70.0,5.0,2.0,3.0,0.0,0.625,1.0,0.6703296703296704,0.7692307692307693,0.7,0.0,0.011108160018920898
80.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.012551546096801758
90.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.011642217636108398
100.0,5.0,0.0,4.0,1.0,0.5555555555555556,0.8333333333333334,0.4,0.6666666666666667,0.5,0.0,0.009537220001220703
110.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.009800434112548828
120.0,7.0,1.0,2.0,0.0,0.7777777777777778,1.0,0.7625000000000001,0.8750000000000001,0.8,0.0,0.011850833892822266
130.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.011493444442749023
140.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.014973163604736328
150.0,4.0,2.0,4.0,0.0,0.5,1.0,0.5666666666666667,0.6666666666666666,0.6,0.0,0.011097908020019531
160.0,4.0,0.0,5.0,1.0,0.4444444444444444,0.8,0.2857142857142857,0.5714285714285714,0.4,0.0,0.018907546997070312
170.0,3.0,2.0,5.0,0.0,0.375,1.0,0.47474747474747475,0.5454545454545454,0.5,0.0,0.9265737533569336
180.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.04533743858337402
190.0,4.0,0.0,5.0,1.0,0.4444444444444444,0.8,0.2857142857142857,0.5714285714285714,0.4,0.0,0.05764651298522949
200.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.046334266662597656
210.0,4.0,2.0,4.0,0.0,0.5,1.0,0.5666666666666667,0.6666666666666666,0.6,0.0,0.014928579330444336
220.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.011901378631591797
230.0,1.0,5.0,1.0,3.0,0.5,0.25,0.5619047619047619,0.3333333333333333,0.6,0.361419677734375,0.011238336563110352
240.0,2.0,6.0,2.0,0.0,0.5,1.0,0.819047619047619,0.6666666666666666,0.8,0.0,0.011973142623901367
248.0,5.0,1.0,0.0,2.0,1.0,0.7142857142857143,0.7916666666666666,0.8333333333333333,0.75,0.0,0.010560750961303711
258.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,1.3839671611785889,0.011919498443603516
