total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.5,0.34090909090909094,0.34090909090909094,0.5,0.0,0.10730099678039551
20.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.4,0.2583333333333333,0.2583333333333333,0.4,0.0,0.012335062026977539
30.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.012796163558959961
40.0,0.0,0.0,0.0,0.0,0.375,0.6,0.45714285714285713,0.45714285714285713,0.6,0.0,0.00880575180053711
50.0,0.0,0.0,0.0,0.0,0.39047619047619053,0.6,0.4666666666666666,0.4666666666666666,0.6,0.0,0.008986473083496094
60.0,0.0,0.0,0.0,0.0,0.25999999999999995,0.5,0.33928571428571425,0.33928571428571425,0.5,0.0,0.010687828063964844
70.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.6,0.4533333333333333,0.4533333333333333,0.6,0.0,0.011792659759521484
80.0,0.0,0.0,0.0,0.0,0.29166666666666663,0.5,0.3571428571428571,0.3571428571428571,0.5,0.0,0.012317419052124023
90.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.3,0.18,0.18,0.3,0.0,0.01043558120727539
100.0,0.0,0.0,0.0,0.0,0.16190476190476188,0.4,0.22999999999999998,0.22999999999999998,0.4,0.0,0.011371612548828125
110.0,0.0,0.0,0.0,0.0,0.26190476190476186,0.5,0.33999999999999997,0.33999999999999997,0.5,0.0,0.01205897331237793
120.0,0.0,0.0,0.0,0.0,0.1476190476190476,0.3,0.185,0.185,0.3,0.0,0.00925755500793457
130.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.011670112609863281
140.0,0.0,0.0,0.0,0.0,0.175,0.4,0.24,0.24,0.4,0.0,0.01877307891845703
150.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.6,0.4533333333333333,0.4533333333333333,0.6,0.0,0.012285232543945312
160.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.9158041477203369
170.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.5,0.41666666666666663,0.41666666666666663,0.5,0.0,0.045886993408203125
180.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.2333333333333333,0.2333333333333333,0.4,0.0,0.04249167442321777
190.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.4,0.3833333333333333,0.3833333333333333,0.4,0.33939504623413086,0.01715230941772461
