total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.11666666666666665,0.2,0.14666666666666667,0.14666666666666667,0.2,0.0,0.09969949722290039
20.0,0.0,1.0,0.0,0.0,0.35,0.4,0.3333333333333333,0.3333333333333333,0.4,0.0,0.022647857666015625
30.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.5,0.3583333333333333,0.3583333333333333,0.5,0.0,0.028145790100097656
40.0,0.0,1.0,0.0,0.0,0.13333333333333333,0.3,0.18333333333333332,0.18333333333333332,0.3,0.0,0.023035049438476562
50.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.2,0.3,0.0,0.02355051040649414
60.0,0.0,0.0,0.0,0.0,0.19166666666666665,0.4,0.25,0.25,0.4,0.0,0.025330781936645508
70.0,0.0,1.0,0.0,0.0,0.38,0.5,0.38095238095238093,0.38095238095238093,0.5,0.0,0.020584821701049805
80.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.09523809523809523,0.09523809523809523,0.2,0.0,0.0235750675201416
90.0,0.0,1.0,0.0,0.0,0.25333333333333335,0.3,0.21666666666666665,0.21666666666666665,0.3,0.0,0.018381595611572266
100.0,0.0,0.0,0.0,0.0,0.22000000000000003,0.3,0.23333333333333334,0.23333333333333334,0.3,0.0,0.022086381912231445
110.0,0.0,1.0,0.0,0.0,0.16666666666666669,0.3,0.1952380952380952,0.1952380952380952,0.3,0.0,0.02463364601135254
120.0,0.0,0.0,0.0,0.0,0.02,0.1,0.03333333333333334,0.03333333333333334,0.1,0.0,0.020414352416992188
130.0,0.0,1.0,0.0,0.0,0.35833333333333334,0.3,0.24,0.24,0.3,0.0,0.022542715072631836
140.0,0.0,1.0,0.0,0.0,0.16333333333333333,0.4,0.23095238095238094,0.23095238095238094,0.4,0.0,0.02800273895263672
150.0,0.0,0.0,0.0,0.0,0.05833333333333333,0.2,0.09,0.09,0.2,0.0,0.019884347915649414
160.0,0.0,1.0,0.0,0.0,0.20714285714285713,0.4,0.25555555555555554,0.25555555555555554,0.4,0.0,0.020076990127563477
170.0,0.0,0.0,0.0,0.0,0.3833333333333333,0.6,0.45999999999999996,0.45999999999999996,0.6,0.0,0.024305105209350586
180.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.01874256134033203
190.0,0.0,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.4,0.0,0.04737043380737305
200.0,0.0,1.0,0.0,0.0,0.11666666666666665,0.3,0.1619047619047619,0.1619047619047619,0.3,0.0,0.020982027053833008
210.0,0.0,0.0,0.0,0.0,0.125,0.2,0.13999999999999999,0.13999999999999999,0.2,0.0,1.0178523063659668
220.0,0.0,0.0,0.0,0.0,0.18,0.3,0.22499999999999995,0.22499999999999995,0.3,0.0,0.08815145492553711
230.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.18333333333333332,0.18333333333333332,0.3,0.0,0.07599139213562012
240.0,0.0,0.0,0.0,0.0,0.15,0.3,0.17857142857142855,0.17857142857142855,0.3,0.0,0.08584475517272949
250.0,0.0,0.0,0.0,0.0,0.10333333333333332,0.3,0.15,0.15,0.3,0.0,0.07756543159484863
260.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.07689356803894043
270.0,0.0,0.0,0.0,0.0,0.15333333333333332,0.3,0.19333333333333336,0.19333333333333336,0.3,0.0,0.091461181640625
280.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.04316520690917969
290.0,0.0,1.0,0.0,0.0,0.05,0.2,0.08,0.08,0.2,0.0,0.027312040328979492
300.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.18,0.18,0.3,0.0,0.022249698638916016
310.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.1,0.1,0.2,0.0,0.02303147315979004
320.0,0.0,1.0,0.0,0.0,0.175,0.4,0.24,0.24,0.4,0.0,0.024069547653198242
