total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,1.0,0.0,0.0,0.05,0.2,0.07857142857142857,0.07857142857142857,0.2,0.0,0.09482598304748535
20.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,0.13333333333333333,0.1,0.0,0.010059118270874023
30.0,0.0,4.0,0.0,0.0,0.34,0.5,0.38888888888888895,0.38888888888888895,0.5,0.0,0.009935855865478516
40.0,0.0,1.0,0.0,0.0,0.3833333333333333,0.5,0.3833333333333333,0.3833333333333333,0.5,0.0,0.010008096694946289
50.0,0.0,1.0,0.0,0.0,0.465,0.5,0.43999999999999995,0.43999999999999995,0.5,0.0,0.009503364562988281
60.0,0.0,1.0,0.0,0.0,0.02,0.1,0.03333333333333334,0.03333333333333334,0.1,0.0,0.00933527946472168
70.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.009340763092041016
80.0,0.0,1.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.01195836067199707
90.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0126190185546875
100.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.1,0.05,0.05,0.1,0.0,0.014650344848632812
110.0,0.0,1.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.00957798957824707
120.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.2,0.06857142857142857,0.06857142857142857,0.2,0.0,0.009432554244995117
130.0,0.0,1.0,0.0,0.0,0.3,0.4,0.2833333333333333,0.2833333333333333,0.4,0.0,0.009626150131225586
140.0,0.0,3.0,0.0,0.0,0.4666666666666666,0.6,0.5,0.5,0.6,0.0,0.009813785552978516
150.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.1,0.05,0.05,0.1,0.0,0.010699987411499023
160.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.2,0.06857142857142857,0.06857142857142857,0.2,0.0,0.01564621925354004
170.0,0.0,1.0,0.0,0.0,0.047619047619047616,0.2,0.075,0.075,0.2,0.0,0.010436534881591797
180.0,0.0,3.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.9139351844787598
190.0,0.0,1.0,0.0,0.0,0.15,0.3,0.18,0.18,0.3,0.0,0.05479931831359863
200.0,0.0,0.0,0.0,0.0,0.52,0.2,0.20000000000000004,0.20000000000000004,0.2,0.0,0.052056312561035156
210.0,0.0,3.0,0.0,0.0,0.305,0.5,0.37142857142857144,0.37142857142857144,0.5,0.0,0.05266451835632324
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05553388595581055
230.0,0.0,3.0,0.0,0.0,0.18,0.3,0.22499999999999995,0.22499999999999995,0.3,0.0,0.033002376556396484
240.0,0.0,1.0,0.0,0.0,0.05,0.2,0.07857142857142857,0.07857142857142857,0.2,0.0,0.014452457427978516
250.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.1,0.05,0.05,0.1,0.0,0.013606548309326172
260.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,0.13333333333333333,0.1,0.4166874885559082,0.019605159759521484
270.0,0.0,0.0,0.0,0.0,0.85,0.8,0.8066666666666666,0.8066666666666666,0.8,0.0,0.01232600212097168
280.0,0.0,1.0,0.0,0.0,0.63,0.6,0.5676190476190477,0.5676190476190477,0.6,0.0,0.011679410934448242
290.0,0.0,0.0,0.0,0.0,0.4,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.012975931167602539
300.0,0.0,2.0,0.0,0.0,0.35,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.026040077209472656
310.0,0.0,1.0,0.0,0.0,0.27999999999999997,0.4,0.31428571428571433,0.31428571428571433,0.4,0.0,0.010151147842407227
320.0,0.0,2.0,0.0,0.0,0.2833333333333333,0.4,0.31666666666666665,0.31666666666666665,0.4,0.0,0.009449005126953125
330.0,0.0,3.0,0.0,0.0,0.6333333333333333,0.7,0.65,0.65,0.7,0.0,0.010046720504760742
340.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.5,0.51,0.51,0.5,0.0,0.010062456130981445
350.0,0.0,1.0,0.0,0.0,0.4333333333333333,0.5,0.42666666666666664,0.42666666666666664,0.5,0.0,0.009810686111450195
360.0,0.0,1.0,0.0,0.0,0.7,0.7,0.6666666666666666,0.6666666666666666,0.7,0.0,0.010627031326293945
370.0,0.0,1.0,0.0,0.0,0.4666666666666667,0.5,0.48,0.48,0.5,0.0,0.009768009185791016
380.0,0.0,1.0,0.0,0.0,0.6,0.3,0.3833333333333333,0.3833333333333333,0.3,0.0,0.009503602981567383
390.0,0.0,3.0,0.0,0.0,0.32999999999999996,0.5,0.3916666666666666,0.3916666666666666,0.5,0.0,0.009631633758544922
400.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.5,0.5933333333333334,0.5933333333333334,0.5,0.0,0.00958108901977539
410.0,0.0,1.0,0.0,0.0,0.5333333333333333,0.5,0.49333333333333335,0.49333333333333335,0.5,0.0,0.009497880935668945
420.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.010167598724365234
430.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.5,0.3833333333333333,0.3833333333333333,0.5,0.0,0.010245323181152344
440.0,0.0,3.0,0.0,0.0,0.85,0.8,0.8066666666666666,0.8066666666666666,0.8,0.0,0.009878873825073242
450.0,0.0,2.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.009460687637329102
460.0,0.0,0.0,0.0,0.0,0.6,0.5,0.5266666666666667,0.5266666666666667,0.5,0.0,0.00928950309753418
470.0,0.0,1.0,0.0,0.0,0.58,0.6,0.5476190476190477,0.5476190476190477,0.6,0.0,0.009834766387939453
480.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.009525537490844727
490.0,0.0,0.0,0.0,0.0,0.72,0.5,0.5333333333333334,0.5333333333333334,0.5,0.0,0.009238958358764648
500.0,0.0,2.0,0.0,0.0,0.7333333333333333,0.8,0.76,0.76,0.8,0.0,0.009572267532348633
510.0,0.0,3.0,0.0,0.0,0.8,0.7,0.74,0.74,0.7,0.0,0.009633779525756836
520.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.5599999999999999,0.5599999999999999,0.6,0.0,0.010177373886108398
530.0,0.0,1.0,0.0,0.0,0.6,0.5,0.49000000000000005,0.49000000000000005,0.5,0.0,0.010182380676269531
540.0,0.0,3.0,0.0,0.0,0.725,0.6,0.6304761904761904,0.6304761904761904,0.6,0.0,0.01056218147277832
550.0,0.0,1.0,0.0,0.0,0.2,0.3,0.2333333333333333,0.2333333333333333,0.3,0.0,0.009969949722290039
560.0,0.0,1.0,0.0,0.0,0.4,0.3,0.2833333333333333,0.2833333333333333,0.3,0.0,0.013901472091674805
570.0,0.0,2.0,0.0,0.0,0.4666666666666666,0.6,0.5,0.5,0.6,0.0,0.00911712646484375
580.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.3,0.3,0.3,0.3,0.0,0.009351491928100586
590.0,0.0,2.0,0.0,0.0,0.825,0.7,0.6900000000000001,0.6900000000000001,0.7,0.0,0.012461662292480469
600.0,0.0,1.0,0.0,0.0,0.4,0.5,0.4,0.4,0.5,0.0,0.012412309646606445
610.0,0.0,1.0,0.0,0.0,0.65,0.6,0.6,0.6,0.6,0.0,0.011973381042480469
620.0,0.0,0.0,0.0,0.0,0.425,0.5,0.44000000000000006,0.44000000000000006,0.5,0.0,0.013997316360473633
630.0,0.0,1.0,0.0,0.0,0.35,0.4,0.36666666666666664,0.36666666666666664,0.4,0.0,0.013266324996948242
640.0,0.0,1.0,0.0,0.0,0.375,0.5,0.4238095238095238,0.4238095238095238,0.5,0.0,0.014191865921020508
650.0,0.0,1.0,0.0,0.0,0.4333333333333333,0.4,0.3833333333333333,0.3833333333333333,0.4,0.0,0.013291120529174805
660.0,0.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.012912511825561523
670.0,0.0,1.0,0.0,0.0,0.6333333333333333,0.6,0.6,0.6,0.6,0.0,0.011318206787109375
680.0,0.0,0.0,0.0,0.0,0.5,0.4,0.44000000000000006,0.44000000000000006,0.4,0.0,0.010075569152832031
690.0,0.0,1.0,0.0,0.0,0.4333333333333333,0.5,0.45,0.45,0.5,0.0,0.01682877540588379
700.0,0.0,2.0,0.0,0.0,0.3833333333333333,0.5,0.41666666666666663,0.41666666666666663,0.5,0.0,0.009479999542236328
710.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5733333333333334,0.5733333333333334,0.6,0.0,0.010537862777709961
720.0,0.0,2.0,0.0,0.0,0.3583333333333333,0.5,0.4,0.4,0.5,0.0,0.009897232055664062
730.0,0.0,3.0,0.0,0.0,0.6833333333333333,0.7,0.6695238095238095,0.6695238095238095,0.7,0.0,0.009695768356323242
740.0,0.0,1.0,0.0,0.0,0.5,0.4,0.4428571428571429,0.4428571428571429,0.4,0.0,0.01015925407409668
750.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.3,0.31333333333333335,0.31333333333333335,0.3,0.0,0.01006174087524414
760.0,0.0,0.0,0.0,0.0,0.425,0.4,0.3904761904761904,0.3904761904761904,0.4,0.0,0.010114669799804688
770.0,0.0,0.0,0.0,0.0,0.5,0.4,0.44000000000000006,0.44000000000000006,0.4,0.0,0.00949549674987793
780.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3833333333333333,0.3833333333333333,0.3,0.0,0.009874343872070312
790.0,0.0,1.0,0.0,0.0,0.5833333333333334,0.7,0.6166666666666667,0.6166666666666667,0.7,0.0,0.022854089736938477
800.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.8,0.7928571428571429,0.7928571428571429,0.8,0.0,0.07070374488830566
810.0,0.0,2.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.0616912841796875
820.0,0.0,1.0,0.0,0.0,0.36666666666666664,0.4,0.38,0.38,0.4,0.0,0.05285239219665527
830.0,0.0,1.0,0.0,0.0,0.5,0.5,0.4885714285714286,0.4885714285714286,0.5,0.0,0.05603361129760742
840.0,0.0,0.0,0.0,0.0,0.3833333333333333,0.6,0.45999999999999996,0.45999999999999996,0.6,0.0,0.04951310157775879
850.0,0.0,2.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.050409555435180664
860.0,0.0,1.0,0.0,0.0,0.12857142857142856,0.2,0.14444444444444443,0.14444444444444443,0.2,0.0,0.05025219917297363
870.0,0.0,1.0,0.0,0.0,0.8333333333333333,0.6,0.6433333333333333,0.6433333333333333,0.6,0.0,0.04751133918762207
880.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.8,0.76,0.76,0.8,0.0,0.04988861083984375
