total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.10557126998901367
20.0,3.0,0.0,7.0,0.0,0.3,1.0,0.13846153846153847,0.4615384615384615,0.3,0.0,0.008964776992797852
30.0,6.0,0.0,4.0,0.0,0.6,1.0,0.4499999999999999,0.7499999999999999,0.6,0.0,0.008532047271728516
40.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.00891733169555664
50.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.00826120376586914
60.0,4.0,0.0,6.0,0.0,0.4,1.0,0.2285714285714286,0.5714285714285715,0.4,0.0,0.008885622024536133
70.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.010753154754638672
80.0,5.0,0.0,5.0,0.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.010969161987304688
90.0,2.0,0.0,8.0,0.0,0.2,1.0,0.06666666666666668,0.33333333333333337,0.2,0.0,0.011919260025024414
100.0,8.0,0.0,2.0,0.0,0.8,1.0,0.7111111111111111,0.888888888888889,0.8,0.0,0.008434772491455078
101.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7494406700134277
