total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.09251976013183594
20.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.00914454460144043
30.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.009190797805786133
40.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.009201765060424805
50.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.009229183197021484
60.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.009051322937011719
70.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.009346485137939453
80.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.011568069458007812
90.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.011569499969482422
100.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.014009237289428711
110.0,0.0,0.0,0.0,0.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.009235143661499023
120.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.009167909622192383
130.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.008777379989624023
140.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.010838508605957031
150.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.018820524215698242
160.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.010594606399536133
170.0,0.0,0.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.8981242179870605
180.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.050019264221191406
190.0,0.0,2.0,0.0,0.0,0.04,0.2,0.06666666666666668,0.06666666666666668,0.2,0.0,0.04576230049133301
200.0,0.0,0.0,0.0,0.0,0.09,0.3,0.13846153846153847,0.13846153846153847,0.3,0.0,0.01385498046875
210.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01818181818181818,0.01818181818181818,0.1,0.0,0.012427091598510742
220.0,0.0,0.0,0.0,0.0,0.5,0.3,0.37499999999999994,0.37499999999999994,0.3,0.3428938388824463,0.018350839614868164
230.0,0.0,0.0,0.0,0.0,0.55,0.5,0.45,0.45,0.5,0.0,0.012001752853393555
240.0,0.0,0.0,0.0,0.0,0.32857142857142857,0.5,0.39090909090909093,0.39090909090909093,0.5,0.0,0.011175394058227539
250.0,0.0,1.0,0.0,0.0,0.32999999999999996,0.5,0.3916666666666666,0.3916666666666666,0.5,0.0,0.011914491653442383
260.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.16,0.16,0.2,0.0,0.024899005889892578
270.0,0.0,0.0,0.0,0.0,0.225,0.3,0.2571428571428571,0.2571428571428571,0.3,0.0,0.009463071823120117
280.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.3,0.2833333333333333,0.2833333333333333,0.3,0.0,0.009522676467895508
290.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.4,0.32499999999999996,0.32499999999999996,0.4,0.0,0.008699893951416016
300.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.5,0.35,0.35,0.5,0.0,0.008815288543701172
310.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.1,0.1,0.2,0.0,0.008939027786254883
320.0,0.0,0.0,0.0,0.0,0.25,0.4,0.3,0.3,0.4,0.0,0.008791446685791016
330.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.5,0.35,0.35,0.5,0.0,0.008847236633300781
340.0,0.0,1.0,0.0,0.0,0.125,0.3,0.17333333333333334,0.17333333333333334,0.3,0.0,0.008904218673706055
350.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.5599999999999999,0.5599999999999999,0.6,0.0,0.008993148803710938
360.0,0.0,0.0,0.0,0.0,0.5166666666666666,0.6,0.51,0.51,0.6,0.0,0.008902549743652344
370.0,0.0,0.0,0.0,0.0,0.025,0.1,0.04,0.04,0.1,0.0,0.009082555770874023
380.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.5,0.38666666666666666,0.38666666666666666,0.5,0.0,0.009356260299682617
390.0,0.0,2.0,0.0,0.0,0.09047619047619046,0.3,0.1388888888888889,0.1388888888888889,0.3,0.0,0.008693695068359375
400.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2333333333333333,0.2333333333333333,0.3,0.0,0.009314775466918945
410.0,0.0,1.0,0.0,0.0,0.2,0.3,0.22999999999999998,0.22999999999999998,0.3,0.0,0.009393930435180664
420.0,0.0,2.0,0.0,0.0,0.375,0.5,0.4066666666666666,0.4066666666666666,0.5,0.0,0.009345293045043945
