total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.11988186836242676
20.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.01157069206237793
30.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.010816574096679688
40.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.010483264923095703
50.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.010715961456298828
60.0,1.0,6.0,0.0,3.0,1.0,0.25,0.64,0.4,0.7,0.0,0.010590791702270508
70.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.01083683967590332
80.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.013439178466796875
90.0,2.0,2.0,0.0,6.0,1.0,0.25,0.4,0.4,0.4,0.0,0.013675451278686523
100.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.013629436492919922
110.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.013888120651245117
120.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.0,0.01105356216430664
130.0,1.0,4.0,0.0,5.0,1.0,0.16666666666666666,0.41758241758241754,0.2857142857142857,0.5,0.0,0.011247634887695312
140.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.010752201080322266
150.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.013213634490966797
160.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.023746013641357422
170.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.013896465301513672
180.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.8553681373596191
190.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.0,0.013187170028686523
200.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.0,0.014317989349365234
210.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.015085220336914062
220.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.021921157836914062
230.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.04977726936340332
240.0,1.0,7.0,0.0,2.0,1.0,0.3333333333333333,0.7625000000000001,0.5,0.8,0.0,0.056737422943115234
250.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.0,0.06077861785888672
260.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.05777287483215332
270.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.06204342842102051
280.0,0.0,3.0,0.0,7.0,0.0,0.0,0.13846153846153847,0.0,0.3,0.0,0.05428338050842285
290.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.06185269355773926
300.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.0,0.05409359931945801
310.0,0.0,8.0,0.0,2.0,0.0,0.0,0.7111111111111111,0.0,0.8,0.0,0.038758277893066406
320.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.030670642852783203
330.0,0.0,5.0,0.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.015547752380371094
340.0,0.0,7.0,0.0,3.0,0.0,0.0,0.5764705882352941,0.0,0.7,0.0,0.016057491302490234
350.0,0.0,4.0,0.0,6.0,0.0,0.0,0.2285714285714286,0.0,0.4,0.5237586498260498,0.04133868217468262
360.0,1.0,4.0,3.0,2.0,0.25,0.3333333333333333,0.5164835164835164,0.28571428571428575,0.5,0.0,0.016460180282592773
370.0,1.0,4.0,3.0,2.0,0.25,0.3333333333333333,0.5164835164835164,0.28571428571428575,0.5,0.0,0.014332294464111328
380.0,5.0,3.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8,0.8333333333333334,0.8,0.0,0.014713764190673828
390.0,2.0,3.0,5.0,0.0,0.2857142857142857,1.0,0.5252525252525253,0.4444444444444445,0.5,0.0,0.017148494720458984
400.0,4.0,5.0,0.0,1.0,1.0,0.8,0.898989898989899,0.888888888888889,0.9,0.0,0.03422880172729492
410.0,5.0,2.0,3.0,0.0,0.625,1.0,0.6703296703296704,0.7692307692307693,0.7,0.0,0.011146068572998047
420.0,2.0,4.0,2.0,2.0,0.5,0.5,0.6,0.5,0.6,0.0,0.011085987091064453
430.0,1.0,4.0,3.0,2.0,0.25,0.3333333333333333,0.5164835164835164,0.28571428571428575,0.5,0.0,0.011029243469238281
440.0,3.0,3.0,2.0,2.0,0.6,0.6,0.6,0.6,0.6,0.0,0.011531352996826172
450.0,1.0,5.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.6,0.0,0.010866403579711914
460.0,3.0,4.0,1.0,2.0,0.75,0.6,0.6969696969696969,0.6666666666666665,0.7,0.0,0.011096954345703125
470.0,3.0,2.0,4.0,1.0,0.42857142857142855,0.75,0.48484848484848475,0.5454545454545454,0.5,0.0,0.012275218963623047
480.0,6.0,1.0,1.0,2.0,0.8571428571428571,0.75,0.72,0.7999999999999999,0.7,0.0,0.011727571487426758
490.0,0.0,5.0,5.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.011723518371582031
500.0,3.0,1.0,5.0,1.0,0.375,0.75,0.35,0.5,0.4,0.0,0.011391878128051758
510.0,2.0,4.0,3.0,1.0,0.4,0.6666666666666666,0.6166666666666666,0.5,0.6,0.0,0.01172494888305664
520.0,4.0,5.0,0.0,1.0,1.0,0.8,0.898989898989899,0.888888888888889,0.9,0.0,0.011297941207885742
530.0,2.0,3.0,2.0,3.0,0.5,0.4,0.494949494949495,0.4444444444444445,0.5,0.0,0.011234521865844727
540.0,4.0,1.0,1.0,4.0,0.8,0.5,0.5494505494505495,0.6153846153846154,0.5,0.0,0.011184453964233398
