V1,V10,V11,V12,V13,V14,V15,V16,V2,V3,V4,V5,V6,V7,V8,V9,class,prediction
41.0,5.0,0.0,222.0,1.0,-1.0,0.0,0.0,6.0,2.0,1.0,0.0,270.0,1.0,0.0,0.0,0.0,0.0
29.0,5.0,0.0,137.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,390.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,517.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,71.0,1.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,174.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,162.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,353.0,1.0,-1.0,0.0,0.0,5.0,0.0,3.0,0.0,229.0,1.0,0.0,0.0,0.0,0.0
45.0,5.0,0.0,98.0,1.0,-1.0,0.0,0.0,6.0,1.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,38.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,219.0,1.0,-1.0,0.0,0.0,5.0,0.0,3.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,54.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28.0,5.0,0.0,262.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,723.0,1.0,1.0,0.0,0.0,0.0
56.0,5.0,0.0,164.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,1.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,160.0,1.0,-1.0,0.0,0.0,3.0,1.0,3.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0
25.0,5.0,0.0,342.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
40.0,5.0,0.0,181.0,1.0,-1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
44.0,5.0,0.0,172.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,-372.0,1.0,0.0,0.0,0.0,0.0
39.0,5.0,0.0,296.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0
52.0,5.0,0.0,127.0,1.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,113.0,1.0,1.0,0.0,0.0,0.0
46.0,5.0,0.0,255.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-246.0,1.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,348.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,265.0,1.0,1.0,0.0,0.0,0.0
57.0,5.0,0.0,225.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,839.0,0.0,1.0,0.0,0.0,0.0
49.0,5.0,0.0,230.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,208.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,39.0,1.0,1.0,0.0,0.0,0.0
59.0,5.0,0.0,226.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,336.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10635.0,1.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,242.0,1.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0
25.0,5.0,0.0,365.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,-7.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,1666.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,577.0,1.0,-1.0,0.0,0.0,6.0,2.0,1.0,0.0,506.0,1.0,0.0,0.0,0.0,0.0
37.0,5.0,0.0,137.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,160.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,0.0,2586.0,1.0,0.0,0.0,0.0,0.0
50.0,5.0,0.0,180.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,22.0,1.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,104.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,1492.0,1.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,529.0,1.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,616.0,1.0,-1.0,0.0,0.0,5.0,0.0,2.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,242.0,1.0,-1.0,0.0,0.0,6.0,1.0,3.0,0.0,-171.0,1.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,355.0,1.0,-1.0,0.0,0.0,8.0,0.0,0.0,0.0,-364.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,225.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55.0,5.0,0.0,160.0,1.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,5.0,0.0,363.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,266.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,1291.0,1.0,0.0,0.0,0.0,0.0
48.0,5.0,0.0,253.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,-244.0,1.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,179.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42.0,5.0,0.0,787.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,-76.0,1.0,0.0,0.0,0.0,0.0
24.0,5.0,0.0,145.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-103.0,1.0,1.0,0.0,0.0,0.0
38.0,5.0,0.0,174.0,1.0,-1.0,0.0,0.0,2.0,1.0,0.0,0.0,243.0,0.0,1.0,0.0,0.0,0.0
38.0,5.0,0.0,104.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,424.0,1.0,0.0,0.0,0.0,0.0
47.0,5.0,0.0,13.0,1.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,306.0,1.0,0.0,0.0,0.0,0.0
40.0,5.0,0.0,185.0,1.0,-1.0,0.0,0.0,3.0,1.0,2.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0
46.0,5.0,0.0,1778.0,1.0,-1.0,0.0,0.0,7.0,0.0,3.0,0.0,179.0,1.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,138.0,1.0,-1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,812.0,1.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,989.0,1.0,0.0,0.0,0.0,0.0
