total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
20.0,0.0,15.0,0.0,5.0,0.0,0.0,0.6428571428571428,0.0,0.75,0.026877880096435547,0.018711090087890625
30.0,0.0,6.0,0.0,4.0,0.0,0.0,0.4499999999999999,0.0,0.6,0.03257012367248535,0.0019724369049072266
40.0,2.0,6.0,0.0,2.0,1.0,0.5,0.7809523809523808,0.6666666666666666,0.8,0.0383915901184082,0.002010345458984375
50.0,4.0,3.0,1.0,2.0,0.8,0.6666666666666666,0.7030303030303029,0.7272727272727272,0.7,0.06056714057922363,0.0015597343444824219
60.0,5.0,0.0,0.0,5.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.05858445167541504,0.0015087127685546875
70.0,5.0,4.0,0.0,1.0,1.0,0.8333333333333334,0.901010101010101,0.9090909090909091,0.9,0.06486701965332031,0.0017900466918945312
80.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07554316520690918,0.001674652099609375
90.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07593917846679688,0.0017807483673095703
100.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09011983871459961,0.0016222000122070312
110.0,8.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08642244338989258,0.0017452239990234375
120.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08622431755065918,0.001523733139038086
130.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10377907752990723,0.0013446807861328125
140.0,1.0,8.0,1.0,0.0,0.5,1.0,0.9137254901960784,0.6666666666666666,0.9,0.1019129753112793,0.0014767646789550781
150.0,3.0,6.0,1.0,0.0,0.75,1.0,0.9032967032967033,0.8571428571428571,0.9,0.13754606246948242,0.0017080307006835938
160.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12811803817749023,0.0016791820526123047
170.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1336658000946045,0.0015995502471923828
180.0,4.0,5.0,0.0,1.0,1.0,0.8,0.898989898989899,0.888888888888889,0.9,0.13462376594543457,0.0017092227935791016
190.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14452195167541504,0.0016314983367919922
200.0,2.0,7.0,1.0,0.0,0.6666666666666666,1.0,0.9066666666666666,0.8,0.9,0.15939784049987793,0.0020325183868408203
210.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15538859367370605,0.0015599727630615234
220.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17229223251342773,0.001451730728149414
230.0,6.0,3.0,0.0,1.0,1.0,0.8571428571428571,0.9032967032967033,0.923076923076923,0.9,0.17821240425109863,0.0014536380767822266
240.0,7.0,2.0,1.0,0.0,0.875,1.0,0.8933333333333333,0.9333333333333333,0.9,0.18140387535095215,0.0015766620635986328
250.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17568492889404297,0.0016031265258789062
260.0,4.0,4.0,2.0,0.0,0.6666666666666666,1.0,0.8,0.8,0.8,0.2066173553466797,0.0015687942504882812
270.0,8.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1965315341949463,0.0015869140625
280.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.21120071411132812,0.001522064208984375
290.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2381889820098877,0.0014226436614990234
300.0,4.0,5.0,1.0,0.0,0.8,1.0,0.901010101010101,0.888888888888889,0.9,0.21927595138549805,0.0014414787292480469
310.0,5.0,4.0,1.0,0.0,0.8333333333333334,1.0,0.898989898989899,0.9090909090909091,0.9,0.23960018157958984,0.002086162567138672
320.0,3.0,5.0,2.0,0.0,0.6,1.0,0.8083333333333332,0.7499999999999999,0.8,0.24459147453308105,0.0015988349914550781
330.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.23894023895263672,0.0016834735870361328
340.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2514688968658447,0.0014853477478027344
350.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.26039695739746094,0.002128124237060547
360.0,5.0,4.0,1.0,0.0,0.8333333333333334,1.0,0.898989898989899,0.9090909090909091,0.9,0.26903200149536133,0.0014870166778564453
370.0,4.0,5.0,1.0,0.0,0.8,1.0,0.901010101010101,0.888888888888889,0.9,0.27957653999328613,0.0017595291137695312
380.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2749018669128418,0.0017879009246826172
390.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3066134452819824,0.0015530586242675781
400.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2918708324432373,0.0014874935150146484
410.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29653429985046387,0.0017750263214111328
420.0,3.0,6.0,1.0,0.0,0.75,1.0,0.9032967032967033,0.8571428571428571,0.9,0.296358585357666,0.0016155242919921875
430.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2919149398803711,0.0016696453094482422
440.0,2.0,7.0,1.0,0.0,0.6666666666666666,1.0,0.9066666666666666,0.8,0.9,0.2766575813293457,0.0013630390167236328
450.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29958367347717285,0.0016150474548339844
460.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2958810329437256,0.001584768295288086
470.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30837583541870117,0.0015735626220703125
480.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.28072619438171387,0.001539468765258789
490.0,4.0,5.0,0.0,1.0,1.0,0.8,0.898989898989899,0.888888888888889,0.9,0.2951388359069824,0.0033888816833496094
500.0,2.0,7.0,1.0,0.0,0.6666666666666666,1.0,0.9066666666666666,0.8,0.9,0.28520798683166504,0.0017256736755371094
510.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29401421546936035,0.0015819072723388672
520.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.28830504417419434,0.0016298294067382812
530.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3036975860595703,0.0015628337860107422
540.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2831912040710449,0.0016169548034667969
550.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30031490325927734,0.0015842914581298828
560.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.28930234909057617,0.001650094985961914
570.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29921770095825195,0.0015232563018798828
580.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2854037284851074,0.0014774799346923828
590.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30567049980163574,0.0016124248504638672
600.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29941773414611816,0.001630544662475586
610.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29499173164367676,0.0015118122100830078
620.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.31246232986450195,0.001634359359741211
630.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29017090797424316,0.0017113685607910156
640.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30200982093811035,0.001577615737915039
650.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29158711433410645,0.0015892982482910156
660.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29518818855285645,0.0019354820251464844
670.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2906992435455322,0.0014615058898925781
680.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2823643684387207,0.001806497573852539
690.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30652356147766113,0.0017142295837402344
700.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2893636226654053,0.0015377998352050781
710.0,1.0,7.0,2.0,0.0,0.3333333333333333,1.0,0.8375,0.5,0.8,0.299541711807251,0.0014574527740478516
720.0,3.0,5.0,0.0,2.0,1.0,0.6,0.7916666666666666,0.7499999999999999,0.8,0.29502320289611816,0.0015544891357421875
730.0,2.0,7.0,0.0,1.0,1.0,0.6666666666666666,0.8933333333333333,0.8,0.9,0.29197049140930176,0.0019154548645019531
740.0,4.0,5.0,1.0,0.0,0.8,1.0,0.901010101010101,0.888888888888889,0.9,0.2945382595062256,0.0016283988952636719
750.0,6.0,3.0,0.0,1.0,1.0,0.8571428571428571,0.9032967032967033,0.923076923076923,0.9,0.28953099250793457,0.0016183853149414062
760.0,8.0,0.0,0.0,2.0,1.0,0.8,0.888888888888889,0.888888888888889,0.8,0.28758764266967773,0.0016036033630371094
