total,tp,tn,fp,fn,precision,recall,f1,fbeta,accuracy,train_time,test_time
10.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06978416442871094
20.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0069446563720703125
30.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006323337554931641
40.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0061342716217041016
50.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0066072940826416016
60.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.008436918258666992
70.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005693674087524414
80.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005528688430786133
90.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006326436996459961
100.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0057718753814697266
110.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006012678146362305
120.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04209637641906738,0.008205175399780273
130.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.042275190353393555,0.007407188415527344
140.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.045258283615112305,0.007016181945800781
150.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05057668685913086,0.006094932556152344
160.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05789613723754883,0.006504535675048828
170.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05512499809265137,0.0059049129486083984
180.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05658459663391113,0.007817983627319336
190.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06441140174865723,0.006272792816162109
200.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.008197784423828125
210.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.005720376968383789
220.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.005669355392456055
230.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.005694150924682617
240.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005717754364013672
250.0,0.0,4.0,0.0,6.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.005960702896118164
260.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005891084671020508
270.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005980253219604492
280.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.006026029586791992
290.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.005669116973876953
300.0,0.0,4.0,0.0,6.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.005663633346557617
310.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.009345531463623047
320.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.0058596134185791016
330.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.0054738521575927734
340.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.005774736404418945
350.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.005862712860107422
360.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0056858062744140625
370.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.005402088165283203
380.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005606889724731445
390.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.005348682403564453
400.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005444765090942383
410.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005292177200317383
420.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.0053653717041015625
430.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005711555480957031
440.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005604743957519531
450.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005594015121459961
460.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005744457244873047
470.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005898952484130859
480.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005431413650512695
490.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0055694580078125
500.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0053539276123046875
510.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005227565765380859
520.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005558013916015625
530.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005517005920410156
540.0,0.0,6.0,0.0,4.0,0.36,0.6,0.4499999999999999,0.4499999999999999,0.6,0.0,0.005522012710571289
550.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005753040313720703
560.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.006173849105834961
570.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005757808685302734
580.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.00570225715637207
590.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005475759506225586
600.0,0.0,4.0,0.0,6.0,0.16,0.4,0.2285714285714286,0.2285714285714286,0.4,0.0,0.006392717361450195
610.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.006329536437988281
620.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0064084529876708984
630.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005877971649169922
640.0,0.0,9.0,0.0,1.0,0.8099999999999999,0.9,0.8526315789473685,0.8526315789473685,0.9,0.0,0.005685567855834961
650.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005843400955200195
660.0,0.0,7.0,0.0,3.0,0.48999999999999994,0.7,0.5764705882352941,0.5764705882352941,0.7,0.0,0.005939006805419922
670.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.005630016326904297
680.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005535602569580078
690.0,0.0,8.0,0.0,2.0,0.64,0.8,0.7111111111111111,0.7111111111111111,0.8,0.0,0.005327939987182617
700.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.005383491516113281
710.0,0.0,5.0,0.0,5.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0057604312896728516
720.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005514621734619141
