@relation DistalPhalanxOutlineCorrect
@attribute att0 real
@attribute att1 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att2 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute att26 real
@attribute att27 real
@attribute att28 real
@attribute att29 real
@attribute att3 real
@attribute att30 real
@attribute att31 real
@attribute att32 real
@attribute att33 real
@attribute att34 real
@attribute att35 real
@attribute att36 real
@attribute att37 real
@attribute att38 real
@attribute att39 real
@attribute att4 real
@attribute att40 real
@attribute att41 real
@attribute att42 real
@attribute att43 real
@attribute att44 real
@attribute att45 real
@attribute att46 real
@attribute att47 real
@attribute att48 real
@attribute att49 real
@attribute att5 real
@attribute att50 real
@attribute att51 real
@attribute att52 real
@attribute att53 real
@attribute att54 real
@attribute att55 real
@attribute att56 real
@attribute att57 real
@attribute att58 real
@attribute att59 real
@attribute att6 real
@attribute att60 real
@attribute att61 real
@attribute att62 real
@attribute att63 real
@attribute att64 real
@attribute att65 real
@attribute att66 real
@attribute att67 real
@attribute att68 real
@attribute att69 real
@attribute att7 real
@attribute att70 real
@attribute att71 real
@attribute att72 real
@attribute att73 real
@attribute att74 real
@attribute att75 real
@attribute att76 real
@attribute att77 real
@attribute att78 real
@attribute att79 real
@attribute att8 real
@attribute att9 real
@attribute class real
@data
-0.52389,-0.42774,1.3138,1.3265,1.3088,1.2192,1.1153,0.95183,0.80889,0.5313,0.34884,0.095728,-0.21759,-0.068051,-0.29261,-0.48234,-0.4646,-0.36351,-0.11325,0.095347,0.35521,0.6099,0.86485,0.000404,1.12,1.3412,1.4729,1.3986,1.3101,1.2806,1.3254,1.3763,1.4048,1.4319,0.25526,1.535,1.4515,1.262,1.0086,0.76103,0.51347,0.25649,0.006653,-0.23649,-0.42311,0.53085,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,0.74072,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,0.96103,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,-1.0852,1.1888,1.2903,0.0
-0.75955,-0.75016,0.98896,1.1513,1.3432,1.3923,1.4124,1.2582,1.0644,0.90078,0.77294,0.49761,-0.67582,0.21686,-0.079714,-0.45344,-0.69057,-0.95615,-0.94436,-0.7534,-0.53188,-0.19196,0.14824,-0.52637,0.50008,0.8052,1.1675,1.5335,1.5529,1.5131,1.4253,1.321,1.4144,1.3374,-0.1657,1.454,1.5713,1.6287,1.4668,1.0638,0.68921,0.29959,-0.072866,-0.37057,-0.64243,-0.22316,0.023426,-0.2603,-0.54098,-0.81666,-1.166,-1.4199,-1.7056,-1.8099,-1.5046,-1.2137,-0.11473,-0.86989,-0.52171,-0.24893,-0.042722,0.032885,-0.31148,-0.57861,-0.86939,-1.1599,-1.4498,0.19674,-1.6992,-1.7713,-1.5465,-1.2614,-1.0132,-0.6665,-0.37628,-0.085715,0.20493,0.17386,0.52726,0.76305,0.0
-0.4856,-0.39641,1.3591,1.4245,1.4456,1.3468,1.2361,1.1116,0.93276,0.6923,0.4018,0.10191,-0.27624,-0.14594,-0.39694,-0.52712,-0.53823,-0.40379,-0.26125,-0.058774,0.17269,0.37281,0.61089,-0.067294,0.84947,1.0521,1.2694,1.4556,1.4253,1.3831,1.4066,1.4262,1.4691,1.4812,0.13795,1.5337,1.5495,1.3857,1.1156,0.86148,0.59325,0.34005,0.057613,-0.17114,-0.37532,0.37716,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,0.57711,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,0.80497,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,1.0437,1.2388,0.0
-0.52042,-0.4208,1.3783,1.3994,1.3826,1.2713,1.1176,0.97771,0.82355,0.64996,0.46463,0.27239,-0.24308,0.023833,-0.20326,-0.47131,-0.52868,-0.4572,-0.27481,-0.05549,0.19006,0.41825,0.67091,-0.004598,0.92027,1.1491,1.3728,1.456,1.3978,1.2541,1.2809,1.328,1.405,1.4476,0.22779,1.5049,1.5146,1.3938,1.1186,0.91581,0.64109,0.35323,0.097573,-0.17783,-0.40205,0.47983,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,0.70334,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,0.84181,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,-1.0825,1.102,1.2886,0.0
-0.49771,-0.44299,1.4175,1.4216,1.3592,1.2855,1.1319,0.99296,0.79093,0.51802,0.27252,0.079089,-0.2567,-0.1693,-0.43276,-0.48056,-0.48915,-0.34811,-0.14235,0.10837,0.33538,0.5674,0.80057,-0.048152,1.0344,1.2727,1.3509,1.3597,1.3484,1.4036,1.4021,1.43,1.4531,1.4388,0.18646,1.484,1.4509,1.2882,1.0386,0.7707,0.52104,0.28161,-0.002482,-0.20726,-0.41748,0.43216,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,0.6851,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,0.9546,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,-1.0736,1.1589,1.3147,0.0
-0.40924,-0.35527,1.301,1.29,1.2431,1.1192,0.98957,0.86016,0.75366,0.54442,0.28131,0.029778,-0.16857,-0.18964,-0.35116,-0.46333,-0.35888,-0.21755,0.008708,0.19015,0.43325,0.68086,0.92931,0.049198,1.1418,1.331,1.4525,1.3298,1.1958,1.2312,1.2956,1.3262,1.3835,1.4203,0.31586,1.4538,1.5184,1.3456,1.0949,0.82655,0.57673,0.32143,0.07086,-0.14339,-0.3426,0.55606,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,0.81982,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,1.0075,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,-1.1058,1.1715,1.2828,0.0
-0.99754,-0.91658,1.3716,1.3372,1.3044,1.208,1.0428,0.77424,0.49143,0.39314,0.12431,-0.035096,-0.68936,-0.17547,-0.39449,-0.67312,-0.91225,-0.96222,-0.75155,-0.43956,-0.087543,0.28598,0.56064,-0.35204,0.92652,1.318,1.6177,1.5718,1.465,1.2489,1.3106,1.5136,1.6467,1.5887,-0.042626,1.5819,1.6144,1.5198,1.1542,0.80879,0.44667,0.089187,-0.26071,-0.62841,-0.86867,0.20671,-0.057581,0.004612,-0.23653,-0.52831,-0.74227,-1.0927,-1.3183,-1.565,-1.7384,-1.5447,0.48839,-1.2789,-0.98676,-0.8188,-0.53857,-0.3063,-0.062016,-0.17057,-0.3062,-0.53842,-0.85067,0.78842,-1.0962,-1.3502,-1.4553,-1.5318,-1.4054,-1.2393,-0.95237,-0.67755,-0.3885,-0.14917,1.0542,1.2554,0.0
-0.8339,-0.73372,1.3658,1.5492,1.5895,1.4842,1.3401,1.1467,0.93634,0.66796,0.41753,0.11537,-0.52863,-0.18923,-0.49265,-0.77337,-0.84209,-0.72016,-0.49402,-0.1998,0.08718,0.41194,0.55928,-0.1965,0.73958,1.0502,1.2802,1.5023,1.4422,1.4149,1.4998,1.5611,1.5769,1.6936,-0.023355,1.7095,1.4651,1.2233,1.1368,0.79862,0.47364,0.15028,-0.14562,-0.46604,-0.7398,0.046558,-0.84041,-0.72117,-0.59698,-0.53364,-0.68153,-0.86216,-1.0179,-1.1436,-1.2992,-1.4224,0.36133,-1.341,-1.216,-1.0802,-0.92621,-0.77147,-0.62435,-0.48153,-0.36935,-0.43007,-0.61189,0.57077,-0.73696,-0.89212,-1.0173,-1.1685,-1.283,-1.39,-1.3354,-1.2242,-1.0987,-0.95751,0.87809,1.2077,1.0
-0.76244,-0.61705,1.4041,1.4316,1.435,1.3708,1.2895,1.1768,1.0226,0.74289,0.64583,0.43541,-0.45193,0.16234,-0.079468,-0.37886,-0.61053,-0.80081,-0.66911,-0.66404,-0.42573,-0.1218,0.20181,-0.15015,0.53753,0.79949,0.77876,0.95366,1.3197,1.381,1.4512,1.4173,1.4327,1.4967,0.1628,1.4245,1.4633,1.559,1.3625,0.95081,0.57317,0.21928,-0.13862,-0.45263,-0.67889,0.39384,-0.039526,-0.32681,-0.57461,-0.70218,-0.56733,-0.78433,-1.0455,-1.3093,-1.5395,-1.6603,0.65922,-1.5238,-1.2713,-1.0414,-0.72366,-0.59219,-0.51435,-0.57187,-0.79662,-1.0706,-1.3106,0.87791,-1.5578,-1.6772,-1.6278,-1.452,-1.2406,-0.96628,-0.78334,-0.4549,-0.17525,-0.018798,1.1247,1.2637,1.0
-0.89546,-0.81563,1.4389,1.4548,1.3496,1.4149,1.3844,1.2069,1.0448,0.85142,0.62366,0.41871,-0.61951,0.064933,-0.2547,-0.54032,-0.8069,-0.88248,-0.80592,-0.68088,-0.39857,-0.10099,0.21275,-0.34806,0.52632,0.85359,1.172,1.5059,1.5368,1.4457,1.3984,1.3651,1.3771,1.3492,-0.05001,1.4495,1.5362,1.4642,1.1338,0.81122,0.40298,0.084062,-0.25508,-0.55232,-0.77254,0.29011,-0.12288,-0.16283,-0.25933,-0.39047,-0.6587,-0.89813,-1.1952,-1.4491,-1.663,-1.6375,0.56301,-1.397,-1.158,-0.89219,-0.63037,-0.33372,-0.19655,-0.26488,-0.4711,-0.72432,-1.0115,0.83594,-1.2464,-1.4779,-1.5222,-1.4513,-1.2866,-1.1197,-1.0126,-0.75146,-0.51636,-0.23235,1.0354,1.3106,0.0
