@relation MiddlePhalanxOutlineCorrect
@attribute att0 real
@attribute att1 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att2 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute att26 real
@attribute att27 real
@attribute att28 real
@attribute att29 real
@attribute att3 real
@attribute att30 real
@attribute att31 real
@attribute att32 real
@attribute att33 real
@attribute att34 real
@attribute att35 real
@attribute att36 real
@attribute att37 real
@attribute att38 real
@attribute att39 real
@attribute att4 real
@attribute att40 real
@attribute att41 real
@attribute att42 real
@attribute att43 real
@attribute att44 real
@attribute att45 real
@attribute att46 real
@attribute att47 real
@attribute att48 real
@attribute att49 real
@attribute att5 real
@attribute att50 real
@attribute att51 real
@attribute att52 real
@attribute att53 real
@attribute att54 real
@attribute att55 real
@attribute att56 real
@attribute att57 real
@attribute att58 real
@attribute att59 real
@attribute att6 real
@attribute att60 real
@attribute att61 real
@attribute att62 real
@attribute att63 real
@attribute att64 real
@attribute att65 real
@attribute att66 real
@attribute att67 real
@attribute att68 real
@attribute att69 real
@attribute att7 real
@attribute att70 real
@attribute att71 real
@attribute att72 real
@attribute att73 real
@attribute att74 real
@attribute att75 real
@attribute att76 real
@attribute att77 real
@attribute att78 real
@attribute att79 real
@attribute att8 real
@attribute att9 real
@attribute class real
@data
-0.47309,-0.40041,1.4664,1.4402,1.4837,1.5484,1.4623,1.2738,1.0529,0.84552,0.63226,0.38835,-0.21807,0.12573,-0.14433,-0.33341,-0.4335,-0.51013,-0.41653,-0.23813,-0.025018,0.21048,0.45808,-0.00435,0.70489,0.92998,1.1552,1.288,1.2528,1.2846,1.3631,1.4593,1.3525,1.3561,0.2621,1.329,1.3496,1.1823,0.97887,0.76267,0.51298,0.24276,-0.005357,-0.22916,-0.40769,0.52046,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,0.77273,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,1.0136,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,-1.0758,1.2123,1.4407,0.0
-0.49493,-0.46122,1.4221,1.4396,1.5036,1.5818,1.5068,1.2884,1.0387,0.789,0.53698,0.26029,-0.30386,0.001222,-0.24459,-0.36609,-0.38362,-0.32164,-0.16532,0.022977,0.20833,0.44411,0.67574,-0.093162,0.93262,1.0135,1.2246,1.3442,1.3392,1.3632,1.415,1.4103,1.3903,1.3982,0.17362,1.2974,1.1215,1.0437,0.92971,0.6767,0.44503,0.2009,-0.033513,-0.25409,-0.39728,0.44172,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,0.66336,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,0.94124,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,-1.0826,1.1732,1.338,1.0
-0.47728,-0.40476,1.4235,1.3904,1.3713,1.4899,1.4728,1.3237,1.1318,0.87665,0.66096,0.43214,-0.27602,0.19099,-0.09177,-0.31537,-0.49053,-0.4767,-0.38139,-0.22268,-0.004436,0.21979,0.4868,-0.025246,0.72352,0.97057,1.1791,1.3891,1.3504,1.3141,1.3124,1.3772,1.3317,1.2755,0.24062,1.2799,1.3736,1.2376,1.0142,0.78306,0.51601,0.24758,-0.010002,-0.23356,-0.38531,0.5076,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,0.72914,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,1.0075,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,-1.0802,1.1722,1.3992,0.0
-0.50199,-0.46516,1.2656,1.2706,1.2786,1.2083,1.1246,0.85559,0.66085,0.46813,0.25198,-0.0196,-0.2918,-0.28776,-0.49277,-0.52371,-0.44611,-0.32781,-0.096447,0.088253,0.36974,0.66116,0.89927,-0.072224,1.2176,1.4256,1.4393,1.4227,1.44,1.3471,1.299,1.2859,1.2384,1.4331,0.19854,1.5235,1.5577,1.4634,1.1389,0.82102,0.51034,0.24664,-0.016482,-0.25915,-0.40424,0.45515,-0.50411,-0.49966,-0.59336,-0.72845,-0.89636,-1.0376,-1.2036,-1.3005,-1.3796,-1.4419,0.65869,-1.3812,-1.3016,-1.2033,-1.0443,-0.96242,-0.87207,-0.86991,-0.96242,-1.0874,-1.2033,0.86902,-1.2791,-1.3812,-1.4039,-1.3795,-1.2243,-1.1164,-0.9963,-0.86937,-0.70426,-0.60635,1.0563,1.1885,0.0
-0.52085,-0.5517,1.317,1.3528,1.3796,1.3515,1.3012,1.1044,0.86671,0.64939,0.46397,0.17657,-0.35618,-0.104,-0.33032,-0.4972,-0.61535,-0.44366,-0.27056,-0.043224,0.20486,0.48812,0.77477,-0.16561,1.071,1.2743,1.3189,1.3319,1.4834,1.3929,1.3106,1.2696,1.3583,1.4852,0.13036,1.3342,1.3811,1.3996,1.094,0.78479,0.49637,0.20945,-0.058804,-0.30362,-0.4802,0.4593,-0.61839,-0.70256,-0.8283,-0.94883,-1.088,-1.2404,-1.3883,-1.4727,-1.4744,-1.3295,0.6907,-1.1632,-0.9916,-0.86766,-0.69205,-0.56282,-0.65202,-0.73601,-0.86153,-0.98144,-1.0921,0.88471,-1.1869,-1.3185,-1.4186,-1.3788,-1.3571,-1.2406,-1.0762,-0.95876,-0.83434,-0.70565,1.097,1.2201,0.0
-0.53232,-0.48209,1.3561,1.3493,1.4191,1.4859,1.3511,1.182,0.93519,0.66787,0.35223,0.062412,-0.29208,-0.18688,-0.4186,-0.5683,-0.49358,-0.37582,-0.16938,0.040055,0.27772,0.54872,0.80412,-0.06293,1.068,1.3092,1.2568,1.2305,1.2648,1.337,1.3476,1.3495,1.393,1.4009,0.19784,1.4104,1.3955,1.2612,1.041,0.75848,0.47954,0.1728,-0.08475,-0.30986,-0.51504,0.40739,-0.81752,-0.8965,-0.9292,-0.98568,-1.0881,-1.1705,-1.2813,-1.3377,-1.2808,-1.2441,0.7152,-1.1661,-1.0577,-0.94747,-0.81995,-0.77788,-0.68291,-0.76018,-0.8721,-0.95137,-1.0225,0.94163,-1.1244,-1.1709,-1.2142,-1.2611,-1.2988,-1.2506,-1.1988,-1.0737,-1.0191,-0.92329,1.1936,1.3524,1.0
-0.70926,-0.66473,1.3417,1.3692,1.4152,1.4911,1.3532,1.0781,0.81387,0.5514,0.30249,0.068288,-0.45397,-0.22341,-0.48856,-0.63159,-0.64903,-0.53441,-0.30424,-0.075975,0.1889,0.46452,0.74364,-0.18159,1.0538,1.3495,1.4834,1.4828,1.4014,1.2874,1.2781,1.3678,1.4861,1.5511,0.11711,1.5725,1.4858,1.2074,0.89296,0.63343,0.36881,0.073288,-0.20662,-0.45882,-0.65941,0.36687,-0.71115,-0.79423,-0.90014,-0.96758,-1.0877,-1.1849,-1.304,-1.3948,-1.3489,-1.2043,0.71434,-1.0574,-0.91797,-0.74703,-0.65444,-0.54991,-0.52759,-0.61962,-0.76612,-0.911,-0.98244,1.0538,-1.0459,-1.1168,-1.2365,-1.3366,-1.3181,-1.243,-1.1258,-0.99261,-0.88173,-0.79706,1.2689,1.289,1.0
-0.45341,-0.43734,1.4502,1.4054,1.4733,1.544,1.5195,1.3733,1.1559,0.9132,0.68858,0.44295,-0.26144,0.18791,-0.064391,-0.27272,-0.37613,-0.42807,-0.32681,-0.17473,0.046073,0.25747,0.47826,-0.040171,0.70203,0.94354,1.1994,1.3778,1.2931,1.2606,1.3121,1.4059,1.2919,1.2385,0.21087,1.2552,1.3319,1.1814,0.92389,0.67927,0.44493,0.22037,-0.018916,-0.24102,-0.39097,0.44357,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,0.71668,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,0.99043,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,-1.0846,1.229,1.4347,0.0
-0.70244,-0.65958,1.3252,1.353,1.2818,1.2058,1.0767,0.82978,0.52412,0.28401,-0.020647,-0.28897,-0.53081,-0.52663,-0.66511,-0.63458,-0.44965,-0.19591,0.055467,0.34718,0.64093,0.91062,1.1768,-0.25963,1.4631,1.6509,1.579,1.4172,1.2648,1.255,1.3507,1.4464,1.575,1.7022,0.008822,1.6395,1.4359,1.1074,0.83505,0.53658,0.30529,0.01665,-0.23955,-0.48953,-0.64687,0.29458,-0.58075,-0.64289,-0.76805,-0.85791,-1.0146,-1.1365,-1.2742,-1.3354,-1.3358,-1.2143,0.61534,-1.1571,-1.0253,-0.94285,-0.82239,-0.72984,-0.63568,-0.73201,-0.8265,-0.94997,-1.0363,0.97638,-1.1423,-1.1989,-1.2703,-1.2433,-1.2041,-1.1066,-1.0229,-0.90054,-0.80641,-0.67779,1.1531,1.2611,0.0
-0.80546,-0.7887,1.5319,1.4529,1.4995,1.6295,1.5774,1.373,1.0969,0.82523,0.68907,0.38915,-0.59581,0.079336,-0.23018,-0.53562,-0.69624,-0.81846,-0.78363,-0.64659,-0.44843,-0.18549,0.11886,-0.34334,0.41477,0.74122,1.0796,1.3949,1.482,1.5465,1.4514,1.4229,1.4409,1.4765,-0.089473,1.6027,1.5453,1.2777,0.95011,0.6515,0.31093,0.01538,-0.26633,-0.5172,-0.72894,0.27493,-0.30548,-0.45123,-0.62482,-0.76016,-0.88979,-1.0453,-1.2156,-1.3927,-1.4237,-1.2989,0.59308,-1.121,-0.90087,-0.70303,-0.56978,-0.43079,-0.43071,-0.53643,-0.71376,-0.91451,-1.1127,0.94857,-1.29,-1.3576,-1.3143,-1.3537,-1.2073,-1.1099,-0.91743,-0.71994,-0.49143,-0.35573,1.1307,1.424,0.0
