@relation Plane

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute target {1,2,3,4,5,6,7}

@data
2.5579,2.3251,2.08,1.8354,1.5882,1.3414,1.0915,0.92519,0.73889,0.56633,0.41168,0.22783,0.022193,-0.020092,-0.008783,-0.090722,-0.31649,-0.55589,-0.8127,-0.94985,-1.1209,-1.3,-1.449,-1.5699,-1.6659,-1.7206,-1.6961,-1.5774,-1.3969,-1.2027,-1.2554,-1.3267,-1.3899,-1.3821,-1.2209,-1.0354,-0.83561,-0.65892,-0.5302,-0.5979,-0.38742,-0.1475,0.085529,0.050557,0.21593,0.34683,0.47195,0.5581,0.67534,0.80365,0.92544,0.74564,0.52532,0.34832,0.51956,0.42528,0.18233,-0.0351,-0.19124,-0.33482,-0.464,-0.57681,-0.67121,-0.74524,-0.57484,-0.38721,-0.14082,0.10793,0.34115,0.33975,0.57277,0.82589,1.0855,1.2752,1.5401,1.7944,1.6374,1.4175,1.1784,0.92444,0.65798,0.40986,0.28302,0.065342,-0.16171,-0.39652,-0.60371,-0.72484,-0.63963,-0.5209,-0.40019,-0.27215,-0.099881,0.15351,0.29852,0.23354,0.39634,0.67595,0.73381,0.61059,0.49959,0.40189,0.31853,0.20984,0.026745,0.023976,-0.2287,-0.41484,-0.42178,-0.51544,-0.67661,-0.83704,-1.0516,-1.2334,-1.3144,-1.259,-1.1783,-1.1632,-1.3922,-1.5436,-1.5416,-1.4715,-1.3519,-1.1941,-1.0247,-0.77165,-0.51479,-0.38984,-0.14719,0.005134,0.022219,0.064228,0.2972,0.51428,0.64727,0.79936,0.94967,1.0909,1.3409,1.5918,1.8433,2.0963,2.3511,2.5556,2
2.62,2.3957,2.1618,1.9353,1.7215,1.5318,1.3212,1.121,0.91507,0.69813,0.48511,0.27838,0.071046,-0.13417,-0.17263,-0.1047,-0.1291,-0.33061,-0.49601,-0.6913,-0.87421,-1.0412,-1.1743,-1.2992,-1.3963,-1.4575,-1.5247,-1.492,-1.4677,-1.3982,-1.3247,-1.2187,-1.0739,-0.91336,-0.73535,-0.54359,-0.34068,-0.12805,0.08918,0.29735,0.49328,0.63663,0.76409,0.84993,0.85141,0.76347,0.61638,0.72105,0.73022,0.64184,0.50645,0.37622,0.23951,0.1207,-0.004547,-0.15114,-0.27738,-0.2181,-0.031942,0.16683,0.34464,0.51364,0.44701,0.23164,0.030409,-0.157,-0.3498,-0.49223,-0.42498,-0.29256,-0.11099,-0.14351,-0.33528,-0.44201,-0.45047,-0.32367,-0.1969,-0.007291,0.18162,0.3752,0.56133,0.54307,0.34645,0.15092,-0.042785,0.10968,0.24321,0.3879,0.5114,0.54816,0.4657,0.48857,0.49503,0.43096,0.33802,0.19535,0.041212,-0.13,-0.27676,-0.4184,-0.59086,-0.73482,-0.87259,-1.0031,-1.1104,-1.2221,-1.3225,-1.41,-1.4829,-1.5214,-1.5601,-1.5732,-1.5812,-1.5072,-1.4531,-1.4004,-1.332,-1.2325,-1.1375,-1.0312,-0.90023,-0.77595,-0.63076,-0.50575,-0.3373,-0.16586,-0.13648,-0.19547,-0.14278,0.057959,0.25632,0.46091,0.66566,0.8618,1.0583,1.2636,1.469,1.6624,1.8552,2.0449,2.2291,2.4099,2.586,2.6271,3
2.6853,2.4778,2.272,2.0667,1.862,1.658,1.4538,1.2498,1.0463,0.84342,0.64103,0.44672,0.2835,0.11507,-0.045818,-0.22783,-0.41221,-0.60004,-0.78543,-0.96789,-1.1468,-1.3155,-1.4908,-1.5704,-1.6029,-1.5886,-1.5529,-1.4668,-1.3489,-1.2034,-1.0365,-0.8658,-0.68108,-0.48146,-0.27723,-0.060451,0.073468,0.12441,0.20317,0.24746,0.236,0.085873,-0.06189,-0.20236,-0.34304,-0.46913,-0.58289,-0.68535,-0.78918,-0.6508,-0.50313,-0.28103,0.00769,0.27025,0.49385,0.657,0.80806,0.76616,0.71442,0.68292,0.65877,0.64953,0.63324,0.49173,0.28442,0.055262,-0.154,-0.32935,-0.54729,-0.43475,-0.50783,-0.55635,-0.44475,-0.56792,-0.40746,-0.53214,-0.40832,-0.18989,0.05211,0.279,0.47811,0.63465,0.65645,0.67031,0.69428,0.71816,0.75536,0.78533,0.6682,0.49908,0.26325,-0.012553,-0.29872,-0.44202,-0.59182,-0.73551,-0.63391,-0.52098,-0.40725,-0.27474,-0.13826,0.008264,0.15213,0.19303,0.13094,0.066829,-0.03983,-0.19881,-0.40472,-0.61917,-0.80705,-0.98089,-1.1395,-1.2799,-1.3989,-1.4932,-1.5596,-1.5956,-1.5996,-1.5716,-1.4426,-1.2755,-1.103,-0.93538,-0.75436,-0.57847,-0.39913,-0.21687,-0.044207,0.080084,0.23903,0.40614,0.58571,0.78616,0.98711,1.1885,1.3903,1.5904,1.793,1.9942,2.1959,2.3981,2.5996,2.6859,6
2.5389,2.3445,2.13,1.9207,1.702,1.4931,1.2843,1.0801,0.87154,0.6632,0.45918,0.25459,0.049196,-0.1703,-0.21918,-0.39428,-0.59361,-0.70014,-0.87496,-1.0332,-1.1506,-1.2437,-1.3211,-1.3646,-1.2313,-1.0821,-0.88697,-0.9622,-1.0666,-1.1688,-1.246,-1.2056,-1.1927,-1.1019,-0.9699,-0.81556,-0.6455,-0.46354,-0.26924,-0.085171,0.12607,0.29432,0.41207,0.58133,0.7,0.77192,0.66409,0.50755,0.35659,0.21196,0.073272,-0.062496,-0.18608,-0.29691,-0.4042,-0.4966,-0.57014,-0.63604,-0.63959,-0.4561,-0.28422,-0.12596,0.067859,0.25303,0.45006,0.63871,0.80858,0.88279,0.89614,0.86972,1.0336,1.2171,1.411,1.5851,1.4921,1.3058,1.1063,0.90227,0.69844,0.49716,0.29674,0.10091,-0.0933,-0.29255,-0.47143,-0.67032,-0.66435,-0.60836,-0.54208,-0.46574,-0.39532,-0.28937,-0.17304,-0.049686,0.068046,0.19422,0.33441,0.42589,0.37743,0.23196,0.091798,-0.056436,-0.24968,-0.41034,-0.55739,-0.69706,-0.84472,-0.96607,-1.0755,-1.1916,-1.2877,-1.3663,-1.4102,-1.4234,-1.3358,-1.2247,-1.1168,-1.0918,-1.2822,-1.3797,-1.3134,-1.2436,-1.1425,-1.0515,-0.93379,-0.73034,-0.53637,-0.36112,-0.21408,-0.089811,0.11147,0.31662,0.51505,0.7095,0.88959,1.0854,1.2815,1.478,1.668,1.8586,2.0561,2.2474,2.4271,2.5446,1
0.93265,0.72886,0.53754,0.35238,0.17331,-0.004176,-0.17858,-0.34401,-0.50282,-0.66633,-0.91177,-1.1464,-1.38,-1.5989,-1.8017,-1.9322,-1.8728,-1.6394,-1.3849,-1.1248,-0.89409,-0.63587,-0.41788,-0.17563,-0.11164,0.032315,0.070705,0.000464,0.17323,0.14295,0.091853,0.009509,-0.060562,-0.15135,-0.26513,-0.35942,-0.45745,-0.55148,-0.62992,-0.68399,-0.71248,-0.71805,-0.73785,-0.75271,-0.71139,-0.63158,-0.41316,-0.22017,-0.031422,0.16906,0.36763,0.56342,0.76088,0.95426,1.0916,1.1522,1.2881,1.4991,1.7111,1.907,2.1015,2.2966,2.4818,2.6497,2.5049,2.2533,1.9939,1.7441,1.5032,1.2767,1.1384,1.1079,0.93084,0.69782,0.47387,0.26097,0.047751,-0.16353,-0.36936,-0.5496,-0.65092,-0.70606,-0.68563,-0.68227,-0.67393,-0.63453,-0.59125,-0.51853,-0.42223,-0.33611,-0.22908,-0.12714,-0.029606,0.039425,0.092839,0.019458,-0.009703,0.02125,-0.15337,-0.23391,-0.37904,-0.57967,-0.77944,-0.97755,-1.1771,-1.3762,-1.574,-1.636,-1.8135,-1.829,-1.7459,-1.6175,-1.4629,-1.2931,-1.1157,-0.92875,-0.70392,-0.53059,-0.36789,-0.20153,-0.022307,0.15494,0.33152,0.50533,0.72132,0.86839,0.81204,0.72575,0.6339,0.56119,0.50695,0.66162,0.84626,1.0395,1.1796,1.046,0.83577,0.60315,0.513,0.58054,0.66244,0.75797,0.86235,0.93472,5
2.6099,2.4117,2.1891,1.9727,1.7659,1.5653,1.3554,1.1593,0.94979,0.74926,0.54461,0.34238,0.14002,-0.058392,-0.23248,-0.16329,-0.11085,-0.27557,-0.45075,-0.6378,-0.81526,-0.97763,-1.1271,-1.2529,-1.363,-1.4384,-1.5072,-1.5117,-1.5139,-1.4513,-1.3734,-1.2678,-1.1508,-0.98842,-0.82173,-0.64117,-0.46838,-0.25639,-0.057627,0.17668,0.37905,0.56296,0.71431,0.77073,0.81777,0.82806,0.67991,0.7828,0.81205,0.73218,0.59518,0.46292,0.3359,0.20062,0.085181,-0.038386,-0.23014,-0.17434,-0.071821,0.11733,0.30694,0.46438,0.59732,0.40075,0.1884,-0.009202,-0.20637,-0.33505,-0.38218,-0.23726,-0.080576,-0.12436,-0.34718,-0.41316,-0.33101,-0.25858,-0.074191,0.11681,0.30808,0.49806,0.65707,0.49088,0.29965,0.11009,0.092285,0.21964,0.35777,0.47388,0.50427,0.45235,0.29083,0.45557,0.44364,0.36237,0.3056,0.14893,-0.010515,-0.17802,-0.33045,-0.47826,-0.63403,-0.77101,-0.91547,-1.0378,-1.1507,-1.2693,-1.3594,-1.4533,-1.5139,-1.5652,-1.6008,-1.606,-1.5857,-1.5201,-1.4874,-1.4191,-1.3357,-1.2551,-1.1456,-1.0259,-0.91133,-0.7612,-0.61859,-0.5062,-0.31743,-0.16033,-0.19259,-0.27004,-0.19331,0.005317,0.20422,0.3953,0.59476,0.79437,0.98647,1.1864,1.3813,1.5793,1.7724,1.9586,2.1454,2.326,2.5008,2.6218,3
2.6259,2.4289,2.2302,2.0319,1.8343,1.6336,1.439,1.2725,1.0697,0.89855,0.70306,0.50315,0.30339,0.1038,-0.097777,-0.29792,-0.24591,-0.2211,-0.3344,-0.51311,-0.67842,-0.83708,-0.97889,-1.1174,-1.246,-1.3516,-1.4457,-1.5241,-1.5831,-1.6195,-1.6113,-1.5933,-1.5296,-1.4604,-1.3806,-1.2639,-1.14,-1.0069,-0.85116,-0.69878,-0.53422,-0.37465,-0.19124,-0.013298,0.1704,0.34826,0.52943,0.68189,0.74793,0.81046,0.72215,0.77626,0.77497,0.67302,0.53979,0.39319,0.25468,0.13641,0.014877,-0.14867,-0.17119,-0.058575,0.13872,0.33643,0.52368,0.62891,0.42197,0.2195,0.022171,-0.17585,-0.29961,-0.30663,-0.17533,-0.025631,-0.052258,-0.18224,-0.3277,-0.31726,-0.20972,-0.083429,0.13414,0.35208,0.57017,0.68224,0.50735,0.31185,0.11712,0.10922,0.21778,0.34712,0.47565,0.58699,0.64477,0.53955,0.47781,0.61154,0.57033,0.50964,0.36993,0.19418,0.015811,-0.16471,-0.34026,-0.50994,-0.6727,-0.82726,-0.97206,-1.1053,-1.225,-1.3287,-1.4141,-1.4789,-1.5208,-1.5385,-1.493,-1.4567,-1.4091,-1.3241,-1.2357,-1.1211,-0.9975,-0.85361,-0.70976,-0.55614,-0.37453,-0.19662,-0.21027,-0.30829,-0.3482,-0.14839,0.051593,0.24949,0.44786,0.64768,0.84733,1.0466,1.2448,1.4447,1.6448,1.8444,2.0444,2.2445,2.4455,2.6249,3
2.5863,2.362,2.1509,1.9568,1.7537,1.541,1.3417,1.1474,0.94337,0.74148,0.54263,0.34908,0.14786,-0.048171,-0.099412,-0.043446,-0.026263,-0.21911,-0.40769,-0.58888,-0.7613,-0.92003,-1.067,-1.1998,-1.3142,-1.407,-1.4778,-1.534,-1.5257,-1.4983,-1.4409,-1.3728,-1.2688,-1.1509,-1.0025,-0.8567,-0.68061,-0.49416,-0.31634,-0.11406,0.077354,0.29066,0.48445,0.65871,0.77824,0.87919,0.92822,0.92994,0.84439,0.86898,0.78408,0.64416,0.50864,0.378,0.25274,0.13341,-0.008447,-0.23343,-0.1314,-0.13648,0.026863,0.21537,0.40638,0.5849,0.64488,0.42693,0.22479,0.03044,-0.16068,-0.33126,-0.29287,-0.11436,-0.071348,-0.24529,-0.39572,-0.35769,-0.25971,-0.14768,0.045971,0.23926,0.36535,0.5591,0.65026,0.49129,0.30662,0.12126,0.085144,0.20113,0.30329,0.3384,0.28422,0.18139,0.18581,0.28289,0.22218,0.13666,0.034157,-0.1317,-0.28172,-0.43883,-0.59152,-0.72609,-0.867,-0.98664,-1.0849,-1.1959,-1.2987,-1.372,-1.447,-1.5059,-1.5649,-1.5699,-1.5556,-1.5226,-1.4716,-1.4202,-1.337,-1.2567,-1.1601,-1.0534,-0.93639,-0.81052,-0.67694,-0.53671,-0.40074,-0.22061,-0.087514,-0.12363,-0.12373,0.067123,0.25852,0.45707,0.64265,0.83527,1.022,1.2153,1.4148,1.6026,1.7908,1.9794,2.163,2.3318,2.5073,2.591,3
2.6121,2.4104,2.2095,2.0091,1.8084,1.6077,1.4104,1.2089,1.0075,0.80469,0.60639,0.40519,0.20597,0.005051,-0.19788,-0.31645,-0.23164,-0.20657,-0.37897,-0.56839,-0.73284,-0.8896,-1.0372,-1.1718,-1.293,-1.3982,-1.485,-1.551,-1.5938,-1.617,-1.6047,-1.5648,-1.4955,-1.4173,-1.3198,-1.1925,-1.0569,-0.91641,-0.76381,-0.5893,-0.42624,-0.24895,-0.064945,0.12764,0.3132,0.48603,0.6468,0.73605,0.8195,0.82233,0.66008,0.78095,0.80217,0.69349,0.556,0.40625,0.28111,0.15107,0.034274,-0.1174,-0.20247,-0.11923,0.071273,0.26795,0.45527,0.64642,0.52123,0.31543,0.11601,-0.083105,-0.29334,-0.31354,-0.22411,-0.024748,-0.037899,-0.22678,-0.32905,-0.25953,-0.182,0.00471,0.22098,0.43352,0.64354,0.65574,0.47643,0.28844,0.11052,0.19797,0.32388,0.45658,0.57794,0.63009,0.56081,0.425,0.60223,0.57146,0.50861,0.37771,0.20399,0.034168,-0.14767,-0.31899,-0.49726,-0.64978,-0.80416,-0.94938,-1.0838,-1.2054,-1.3121,-1.4016,-1.4713,-1.5233,-1.545,-1.5184,-1.4822,-1.4264,-1.3632,-1.278,-1.1694,-1.0556,-0.91979,-0.77995,-0.63182,-0.46802,-0.28534,-0.19684,-0.24765,-0.39204,-0.33249,-0.13135,0.066459,0.26577,0.46376,0.66413,0.86465,1.0631,1.2564,1.4595,1.6605,1.8592,2.0576,2.2569,2.4551,2.6125,3
2.4978,2.2742,2.0588,1.8488,1.628,1.4112,1.209,1.0067,0.80117,0.58986,0.38531,0.1797,-0.021606,-0.22173,-0.28051,-0.45424,-0.65353,-0.84666,-0.9569,-1.0996,-1.2024,-1.2863,-1.3524,-1.3748,-1.334,-1.2231,-1.0829,-0.91438,-0.95582,-1.0555,-1.1453,-1.2211,-1.1989,-1.1635,-1.0995,-0.97275,-0.82955,-0.66974,-0.50088,-0.32138,-0.13443,0.059123,0.23803,0.36499,0.49609,0.64662,0.76103,0.76195,0.6114,0.45826,0.30978,0.17587,0.042492,-0.078007,-0.19954,-0.2995,-0.39142,-0.47323,-0.53394,-0.54958,-0.38126,-0.20001,-0.027272,0.14747,0.34249,0.53791,0.72468,0.86529,0.91065,0.90038,0.91206,1.0989,1.2173,1.4124,1.5734,1.4429,1.2456,1.0451,0.84512,0.65097,0.45303,0.26474,0.074266,-0.12199,-0.3066,-0.50009,-0.60243,-0.5579,-0.49627,-0.44097,-0.35348,-0.256,-0.16489,-0.046733,0.061303,0.19503,0.31765,0.39082,0.33183,0.18058,0.031702,-0.099326,-0.26458,-0.42294,-0.57198,-0.7096,-0.83949,-0.96026,-1.0702,-1.186,-1.2883,-1.3554,-1.4037,-1.4314,-1.3625,-1.248,-1.141,-1.1025,-1.3006,-1.3526,-1.2827,-1.2123,-1.1296,-1.0239,-0.84475,-0.65021,-0.47153,-0.32689,-0.2146,-0.011807,0.19925,0.39807,0.58844,0.76761,0.94893,1.1444,1.3323,1.5246,1.715,1.9032,2.0917,2.2724,2.446,2.5116,1
