@relation synthetic_control

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.33475,0.45882,0.98162,0.74211,1.3708,0.25727,0.1173,-1.1204,-1.6719,-0.62119,-1.2444,-0.2708,1.3746,1.1109,0.76372,0.52379,-0.076314,-0.16021,-1.6086,-0.76666,-0.55602,0.064516,-0.43822,1.2394,1.301,1.5479,1.0764,-0.20486,-0.75161,-1.5921,-1.2757,-0.63478,-0.94055,-0.28249,0.35141,1.551,0.63372,0.64278,-0.088689,-0.22711,-1.3505,-1.8323,-0.21629,-0.91131,0.99083,0.54983,1.1434,0.62857,0.39307,-0.83241,-1.3053,-1.4757,-0.96767,-1.3999,-0.51085,0.23587,1.6428,1.5491,1.4359,0.99107,2
-1.3018,-2.1573,-2.3179,-0.13051,-1.7752,-0.89028,-0.16186,0.039411,-0.16215,-0.10382,-1.2824,-0.56307,-1.459,-1.3,-0.80579,-1.2937,0.075141,0.01732,0.099427,0.40391,-1.4716,-0.056135,0.58963,-0.01052,-0.72998,-0.51293,-0.23341,-0.75691,0.79758,-0.71919,-0.2892,0.70883,0.76536,0.32304,-0.82288,-0.39737,0.89207,-0.65301,1.2064,-0.55851,-0.36943,1.264,0.077118,0.17441,-0.3246,0.18638,1.4069,0.35019,1.7325,1.666,1.5423,1.3868,0.71378,0.55454,1.8713,0.91516,1.6125,0.21521,1.6577,0.36559,3
1.967,0.91476,1.583,1.3294,1.9021,2.0141,0.92554,0.77162,0.59068,1.4909,1.452,0.42959,1.2518,0.91459,0.4489,0.080367,0.31298,0.73772,1.1925,0.5705,0.46868,0.16417,0.85684,-0.14122,0.5535,-0.0185,-0.34357,-0.12414,0.53017,-0.31416,0.15675,0.070576,0.43638,0.047675,-0.22547,0.2872,-0.12086,-0.72335,-0.68938,-0.058149,-0.88168,-1.3094,-1.174,-1.2993,-1.1849,-0.29609,-1.0538,-1.686,-0.5135,-1.4724,-0.48118,-1.8779,-0.67266,-1.5499,-0.56258,-1.8408,-0.63057,-1.4772,-0.92928,-0.80022,4
1.3756,1.0568,0.003139,-1.2474,-0.28692,-1.0853,1.6557,-1.0857,0.948,-1.559,-0.22443,-1.208,-1.0375,0.2275,-1.4796,1.431,-0.55369,0.59947,-1.4551,-0.85116,-1.2416,1.1034,0.54103,0.18136,-0.86955,0.16337,-0.85982,0.063828,0.2563,-0.54008,-0.7088,1.3312,0.26035,-0.29036,1.2978,0.971,-1.3,0.86525,0.6594,0.10784,-0.47951,-1.0497,1.5108,0.95089,-0.39719,1.5627,-1.389,-0.11375,-0.59511,1.6516,0.33188,1.3737,0.29204,1.7473,-1.5058,-1.6084,0.50377,0.19305,-0.40865,0.21412,1
-0.82456,0.54167,0.32033,-0.36294,-0.94863,0.85267,-1.5552,0.31127,1.7525,1.5409,1.5403,-0.040377,-0.54184,0.17246,-0.24855,-0.34718,1.9178,1.1419,-0.15489,-0.79279,-0.45647,-1.4575,-1.0444,0.16711,-0.4408,0.21944,-1.5628,0.048609,-0.89698,-0.79347,0.75268,0.27619,-0.92421,1.4551,1.1406,0.033742,0.73621,1.1791,-1.1847,-1.5374,-0.42822,1.5658,-1.4733,-0.25624,0.27313,1.9335,1.2032,-1.1371,0.39139,0.73157,-0.86555,-1.6108,-0.019699,-1.3057,0.44962,0.58889,-0.31936,-0.52731,1.6503,-0.82898,1
-0.12616,0.36259,1.3387,1.4898,1.0531,0.65286,-0.057005,-0.61549,-1.2307,-1.3559,-1.5705,-1.1441,-1.2118,-0.1703,-0.17822,0.44036,0.67323,1.3273,0.58489,0.3883,-0.20754,-0.36168,-1.1466,-1.227,-1.7203,-0.77621,-1.2324,-0.36297,0.034698,1.0331,1.1639,1.6814,0.98114,0.97985,0.63813,-0.38699,-0.88397,-0.77326,-1.595,-1.1324,-1.0135,0.29641,0.78372,1.1938,1.4859,1.3321,0.73021,0.89564,-0.48619,-0.17087,-0.94474,-0.87421,-1.5117,-1.1221,-0.4126,-0.28787,0.97122,0.84261,1.2826,1.6528,2
0.58567,1.4197,-0.7547,-1.4232,0.3563,-0.41946,-0.58371,0.15826,-0.47579,-1.5792,0.16556,1.4934,-1.4084,-0.24771,-1.5925,-0.48426,-0.2166,-1.5124,-0.63197,-0.13097,1.3031,-1.4439,0.91415,-0.67994,1.3165,-0.36764,-1.345,0.7791,-0.96756,-0.39188,0.056559,1.2738,-0.42052,-0.26442,-1.0943,0.44643,-0.49948,1.1263,0.31531,1.5606,1.7497,0.62461,-1.6128,-0.14654,-1.6554,-0.64991,0.2428,0.52805,1.1966,0.28733,-1.4641,1.4617,-0.49016,1.1874,0.22156,0.5024,1.6104,1.3447,-0.36848,1.0948,1
2.3004,0.69267,1.1524,1.3846,2.1655,1.2385,1.8906,0.85591,1.4138,0.78658,1.4205,0.18427,0.07447,1.1469,1.4192,1.1758,0.37714,0.84794,0.035394,0.021692,0.021337,1.0352,0.007054,-0.14707,0.80933,-0.58703,-0.25796,-0.69063,0.48187,0.44285,0.48322,-0.57937,-0.40213,-0.81438,0.38202,0.26259,-0.16962,-0.57333,0.07013,-1.0356,-0.08097,-0.4225,-0.91309,-0.21426,-0.21353,-1.5387,-0.78277,-1.6572,-1.4226,-1.1521,-0.78105,-1.5071,-1.1651,-0.59418,-1.2992,-1.6463,-0.8405,-0.98273,-0.95638,-1.1525,4
-2.1689,-2.0887,-1.5396,-1.0412,-1.5452,-0.90267,-0.9442,-0.42823,-0.32841,-1.6105,-1.1073,-0.59769,-0.78241,-0.36683,-0.45224,-0.32696,-1.3601,-1.2214,0.28601,-0.63158,-0.46239,-0.3547,-1.1636,-0.89645,-0.99572,-0.39336,0.3688,-0.81144,0.77712,-0.059991,0.33098,0.91399,-0.36976,0.73144,-0.05225,0.42868,-0.045702,0.89734,1.2423,-0.38092,0.42354,0.81373,1.0715,1.1423,0.56504,0.7688,1.1081,0.057643,0.44053,1.2757,0.28084,0.73772,1.4005,1.8792,1.9862,1.4298,1.3398,1.074,0.87332,0.78557,3
0.042461,-0.01425,-1.2295,-1.2921,-0.54811,-0.2379,-0.59674,0.000402,-1.5616,-1.4384,-0.66087,-1.3058,-0.65619,-0.91773,-1.189,-0.059299,-0.006204,-1.1651,-0.17449,-0.063426,-0.68603,-0.66519,-1.2055,-0.92521,-0.25433,-0.10467,-1.3032,-0.17255,-1.1925,-1.0117,-1.4611,-0.58834,-0.35858,-1.3584,-1.298,1.3762,1.1507,1.4333,1.5286,1.6283,1.3599,1.0116,1.2036,0.29471,0.19457,1.2871,1.2015,1.0083,1.3907,1.309,1.101,0.68803,1.3946,0.96904,1.0391,0.32044,0.55397,0.13268,1.1925,0.88997,5
