dataset,keras_parallel_3_Dilated_Conv_pooling,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.364045830272144,0.04526539548732945,0.04925268415274908,0.06244958018864881,0.16170648203090254,0.06805584468576814,0.02534906322646669,0.4610117478236726,0.5115319960443743,0.025331569831625864,0.5215052154846005,0.4759770171155828,0.5215052154846005,0.0,0.5115319960443743,0.5115319960443743,0.4759770171155828,0.0,0.4998667963720234,0.5115319960443743,0.5128574771370153,0.02534906322646669,0.5215052154846005,0.0,0.5115319960443743,0.5115319960443743,0.095820397097965,0.5115319960443743
CBF,0.9939418739151252,0.8543483659559545,0.7761661873994351,0.8003916116764669,0.7958197033256991,0.8609259638845622,0.301269329541181,0.730162862326938,0.9014593096340217,0.34641786471918873,0.8984464382666421,0.9594385961600208,0.8984464382666421,0.3420202769545676,0.9014593096340217,0.9014593096340217,0.9502884431119528,0.0,0.8986020420888899,0.9014593096340217,0.9018582619402282,0.301269329541181,0.8984464382666421,0.0,0.9014593096340217,0.9014593096340217,0.7811294284314595,0.9014593096340217
ChlorineConcentration,0.6821106119041145,0.5708675519962034,0.4686199131022004,0.4942607052614824,0.5349792520816286,0.5071740195601971,0.556595644363696,0.5565873088296099,0.4745520197357277,0.2144254795834134,0.5565886540065909,0.5564667693109312,0.5565886540065909,4.1309988551570454e-07,0.4745520197357277,0.5565808143422779,0.5564667693109312,0.0,0.5565963472639105,0.5565923370968383,0.5789539378847417,0.5676632880961029,0.5565886540065909,0.0,0.5565923370968383,0.5565923370968383,0.3856089420364428,0.5565923370968383
CinCECGtorso,0.9881935636757132,0.9872370209489368,0.4076907658965284,0.4327130784983967,0.4088881240700904,0.4250374877067157,0.2164539383881416,0.9439190011519312,0.3059828260869962,0.2436323806647251,0.3197416909119928,0.00025066402627784866,0.3197416909119928,0.000277307510973564,0.3059828260869962,0.3784159230390854,0.00025066402627784866,0.0,0.3050222708834268,0.3052057090373355,0.29584926387916183,0.28604168282482345,0.3197416909119928,0.0,0.3052057090373355,0.3052057090373355,0.3050623598890825,0.3052057090373355
DistalPhalanxOutlineCorrect,0.7859868863754759,0.6526869537924219,0.6463414220300837,0.5873869535290306,0.7051781377832119,0.5802572705686092,0.6162436150733691,0.7299515061721912,0.7473187118824816,0.5297813245737691,0.7443707471263066,0.7731808498326549,0.7443707471263066,0.7710754929181132,0.7473187118824816,0.7473187118824816,0.7467467565391409,0.3793632562128109,0.7581481918438068,0.7473187118824816,0.7429203726511089,0.6162436150733691,0.7443707471263066,0.3793632562128109,0.7473187118824816,0.7473187118824816,0.7114448840412088,0.7473187118824816
ECG5000,0.9520557719998352,0.938726926599464,0.9049092827535732,0.9143588216998548,0.817079624425648,0.913938576126196,0.5927888195472887,0.8957266853984718,0.8634629857843265,0.5927888195472887,0.8639703776377208,0.9088544956149388,0.8639542509287766,0.5927879500850481,0.8795980316765092,0.8634635135083897,0.9184512861083864,0.0,0.864547873637922,0.8634629003497821,0.8634202217982568,0.8741794032816009,0.8639542509287766,0.0,0.8634629003497821,0.8634629003497821,0.8586511497893264,0.8634629003497821
ECGFiveDays,0.9976356426582632,0.9558938940666796,0.8921496388121811,0.9109253686454662,0.8154165396403349,0.940298668424682,0.4696162490453639,0.6785960775024505,0.8459586197738932,0.5026336848816256,0.8410845239454667,0.9312388971087228,0.8410845239454667,0.5009396080975348,0.8459586197738932,0.8459586197738932,0.9312388971087228,0.0,0.851134575409907,0.8459586197738932,0.8446208738743405,0.4696162490453639,0.8410845239454667,0.0,0.8459586197738932,0.8459586197738932,0.7856934309729959,0.8459586197738932
ElectricDevices,0.7635631595015122,0.6300532512701841,0.3322287158569655,0.34999429761074496,0.5540734064659352,0.33118728088726723,0.2607361819242846,0.3883149465319987,0.5620280293745259,0.10033791091594814,0.576634359968576,0.5676498784692057,0.5685519760205612,0.10033791091424013,0.5620280293745259,0.5620280293745259,0.5651521115461428,0.0,0.5592892097282174,0.5620280293745259,0.5770547004965463,0.2890542864080273,0.5685519760205612,0.0,0.5620280293745259,0.5620280293745259,0.5536875190736309,0.5620280293745259
FaceAll,0.9658537887433232,0.7668268785872505,0.6736080258441316,0.6853237093547572,0.6802102474673668,0.7421515878063849,0.15148087378812458,0.5745278442592209,0.8540091308942527,0.04906594585731644,0.8257910227015306,0.8903771922773516,0.8280394796931034,0.048741420596882114,0.8540091308942527,0.8531661854607017,0.8884383744964978,0.0,0.8212166084008644,0.7744897041057277,0.8714580124244631,0.2526935820461189,0.829830170317665,0.0,0.7744897041057277,0.7744897041057277,0.6397770196458322,0.7744897041057277
FacesUCR,0.9722121855982628,0.7639934577093325,0.6697675091439319,0.6844686719245351,0.7040662820828277,0.7487398834482308,0.1552226691874592,0.4731947432619839,0.8654982392324744,0.03999505018644964,0.8294762577864442,0.8901593637869524,0.8410650834439819,0.039320294548977015,0.8654982392324744,0.8655210349312419,0.8919210669084406,0.0,0.8428366212314541,0.8076309310686833,0.8813641147025666,0.25842182882693865,0.8413175233046212,0.0,0.8076309310686833,0.8076309310686833,0.7474503753419506,0.8076309310686833
