dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
ArrowHead,2.708134675033775,2.4804717865025463,1.8517785734502257,1.7889588919944188,1.831582955054453,1.8687541559120757,2.032734576938711,1.177976500537989,1.763214598252102,1.9803950809211366,1.0,1.9750895412959015,2.187002147095943,1.9750895412959015,1.467234542836571,1.9803950809211366,1.9536685273527943,2.187002147095943,1.247250034865296,1.8873509854236135,1.9803950809211366,1.9393000031976129,1.177976500537989,1.9750895412959015,1.247250034865296,1.9803950809211366,1.9803950809211366,1.6054457272826097,1.9803950809211366
Beef,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,,inf
BeetleFly,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,,inf
BirdChicken,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,,inf
CBF,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
Car,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
ChlorineConcentration,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
CinCECGtorso,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
Coffee,1.3138888220316296,1.4219352380060837,1.1015828185905547,2.1212993099555453,2.3336053133966206,1.2417047808616641,1.5829229895921597,1.0,1.782372884122328,1.7823500117349071,1.2196664087911722,1.7823500117349071,1.7812292647512784,1.7823500117349071,1.7263126625534855,1.7823500117349071,1.7823500117349071,1.7812292647512784,1.4393776474616895,1.8395309802873778,1.7823500117349071,1.7823500117349071,1.0,1.7823500117349071,1.4393776474616895,1.7823500117349071,1.7823500117349071,1.4393776474616895,1.7823500117349071
Computers,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
DiatomSizeReduction,7.041531780537507,8.22702666042207,4.101757099107336,4.7232717186173705,4.596713394913611,8.023274613262412,5.167877221528826,2.2879066119309317,8.371171425183197,8.603550695173835,2.769543459442437,7.2298660127487935,7.1781541825869715,7.2298660127487935,3.5445207139252632,8.603550695173835,7.365749528295844,7.1781541825869715,1.0,7.470876730149094,8.5613757318158,7.3348224032755605,2.2879066119309317,7.2298660127487935,1.0,7.51916898485056,8.5613757318158,5.35211802915598,8.5613757318158
DistalPhalanxOutlineAgeGroup,8.216607573418006,8.759579784959687,7.912088501915069,7.3705737444881665,7.517091370667859,8.316622637732111,7.563518993987306,6.5597182124015445,8.311770855344697,8.852407191460049,3.441368798039803,8.877574880148442,8.8273839850742,8.877574880148442,3.5088056811072708,8.852407191460049,8.852407191460049,8.859987839307985,1.0,8.62205022306828,8.781294746212323,8.846608374034327,6.5597182124015445,8.877574880148442,1.0,8.781294746212323,8.781294746212323,8.302617415419226,8.781294746212323
DistalPhalanxOutlineCorrect,1.9635644397766872,2.139328885341879,1.7204801548473765,1.7037533589376046,1.5483496198153806,1.8588467022953563,1.5295558045376514,1.6244156622476789,1.9241492005823337,1.9699290841790411,1.3965014162483316,1.9621582610750734,2.0381015745998465,1.9621582610750734,2.0325518623384125,1.9699290841790411,1.9699290841790411,1.9684214122209014,1.0,1.9984755492991375,1.9699290841790411,1.958335079859062,1.6244156622476789,1.9621582610750734,1.0,1.9699290841790411,1.9699290841790411,1.8753658199362102,1.9699290841790411
DistalPhalanxTW,8.308466258214189,8.265200292153173,7.543388032499644,6.679111557288324,6.80318776988597,7.950146344154353,7.018265452176246,5.290185839744471,7.65297069654882,8.330083580350966,1.0,8.343071517575163,8.248414918006889,8.343071517575163,1.6372748551840752,8.330083580350966,8.330083580350966,7.9046026901059365,1.076520390997872,8.27744421943891,8.330083580350966,8.32892544980931,5.290185839744471,8.343071517575163,1.076520390997872,8.330083580350966,8.330083580350966,7.237861620161944,8.330083580350966
ECG200,2.5168725091947923,2.570770377859709,2.3140394921573537,2.2266102624950133,2.22423596745353,2.338517610961532,2.260763241876217,1.947814522774175,2.3134180166051554,2.3128826079288127,1.7365004384986287,2.3157395895616135,2.283012576286736,2.3157395895616135,2.2904424298368333,2.3128826079288127,2.3128826079288127,2.2837207661904255,1.0,2.3115612425557224,2.3128826079288127,2.3269161549238957,1.947814522774175,2.3157395895616135,1.0,2.3128826079288127,2.3128826079288127,1.4205651139818292,2.3128826079288127
ECG5000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
ECGFiveDays,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
Earthquakes,1.321575309367642,1.2944874369524115,1.2253223626092093,1.048372394178595,1.0,1.1379170235718719,1.0720837595819266,1.3317232771926046,1.3317232771926046,1.2396682523325726,1.0739269413453008,1.3317232771926046,1.2002294893863177,1.3317232771926046,1.3184914504154,1.25227217971084,1.325318071867171,1.0755395350179964,1.3317232771926046,1.3290272434700554,1.3258032626857394,1.3189036663197728,1.3317232771926046,1.3317232771926046,1.3317232771926046,1.3258032626857394,1.3258032626857394,1.3317232771926046,1.3258032626857394
ElectricDevices,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
FaceAll,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
FaceFour,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
FacesUCR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
FiftyWords,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
Fish,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf
