dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.4370181560516357,16.38964557647705,0.03511500358581543,0.09384703636169434,0.09073376655578612,0.018323898315429688,0.08419275283813478,3.7008e-05,0.015328412,0.002340444,0.000222371,3.4421447539999996,2.921140525,1.2051656240000002,3.629871666,0.13129122099999999,0.6732328449999999,3.474662281,6.153e-05,0.32987813899999996,0.17522124600000002,3.697922827,0.002990446,2.397704402,0.000148195,0.18127789,0.167034726,0.009224339000000002,0.15723336999999998
CBF,0.6726627349853516,17.6157443523407,0.04601144790649414,0.024457454681396484,0.02283167839050293,0.018449783325195312,0.022666215896606445,3.945e-05,0.0015003070000000002,0.000913055,0.00027608600000000004,0.193625652,0.15535510200000002,0.089068324,0.222302627,0.010467485,0.056196387,0.294276236,7.915e-05,0.025084848,0.014075975,0.327052441,0.00099134,0.16017327999999995,0.000437622,0.013855518999999998,0.016080051,0.00120457,0.014559188999999998
ChlorineConcentration,8.117441177368164,158.67514991760254,0.33854126930236816,0.18366336822509768,0.1724255084991455,0.138441801071167,0.16718053817749026,0.000302272,0.013907912,0.008763261999999999,0.00229193,0.919661009,0.865222945,0.8868667259999999,1.3671369340000001,0.105056716,0.449668422,1.336490469,0.000672453,0.17605171100000003,0.150400681,2.7746825480000004,0.013603925,0.8844034759999999,0.004099567,0.14846693800000002,0.130344665,0.011041127,0.12588271299999998
CinCECGtorso,2.8348379135131836,327.6878793239593,0.6543967723846436,0.17438864707946775,0.14867663383483887,0.17840170860290527,0.152174711227417,0.00016178200000000002,0.023322634,0.027295025,0.004796119000000001,7.1926413920000005,7.368274101000002,3.3776411160000004,8.832448965,0.381181208,2.44287095,8.72885394,0.00034412300000000005,0.853595325,0.543740506,11.305675002000001,0.04672348,5.625673682,0.0058383919999999995,0.670773022,0.449280553,0.037438687000000005,0.448068088
Computers,0.0,14.541664600372314,0.02245950698852539,0.005505084991455078,0.005165576934814453,0.008194923400878906,0.005138874053955078,1.0847e-05,0.0006019020000000001,0.00097093,0.00023362,0.158300666,0.09668169199999999,0.07902679900000002,0.14172107,0.009074101,0.059509581,0.143470575,2.7871999999999997e-05,0.029050397000000002,0.013349815,0.244369688,0.0009989539999999998,0.114804039,0.00036846199999999996,0.01368468,0.008309776,0.000939935,0.013271937000000004
DistalPhalanxOutlineAgeGroup,0.0,3.373805046081543,0.010529279708862305,0.006417274475097656,0.005790948867797852,0.004314422607421875,0.005362510681152344,9.741e-06,0.0010376800000000002,0.00014760799999999995,4.0951e-05,0.030499687,0.021501492,0.018239203,0.032820300000000004,0.001708731,0.007950266000000001,0.040108705,1.7589e-05,0.004173235,0.001950892,0.051963427000000006,0.00017235400000000002,0.029806836000000007,8.5298e-05,0.001955956,0.001938706,0.000223624,0.0019398639999999997
DistalPhalanxOutlineCorrect,0.5480437278747559,11.76041316986084,0.034137487411499016,0.009303808212280272,0.008766889572143555,0.015265464782714844,0.008859395980834961,3.0865e-05,0.00076155,0.000486116,0.00016927099999999997,0.08770874099999998,0.057187888,0.04599731,0.081650575,0.004028617000000001,0.021607613,0.151708042,5.7631e-05,0.009870284,0.00487929,0.23868136399999995,0.000556221,0.05987447,0.000247438,0.005482661,0.005460395,0.000461639,0.005416688
DistalPhalanxTW,0.0,3.300888776779175,0.00937342643737793,0.010383367538452148,0.007460355758666992,0.005466699600219727,0.007107257843017578,9.919e-06,0.000531076,0.000155433,4.3395e-05,0.07069409400000001,0.042243795,0.027295965,0.07973701899999999,0.003331089,0.015324166,0.07575363399999999,1.7171999999999998e-05,0.007977758000000001,0.003769136,0.10074933400000001,0.00018799,0.04779282,6.6445e-05,0.003772798,0.0037010579999999997,0.000398708,0.003801172
ECG5000,9.1115825176239,163.06294798851013,0.4239115715026856,0.2865917682647705,0.28206372261047363,0.17708277702331546,0.2628438472747803,0.000375302,0.023160802999999997,0.008828151999999999,0.0021432430000000004,2.935150362,2.1169419990000002,1.329523352,3.710858861,0.160731804,0.833616708,4.180821792,0.000706354,0.3919491550000001,0.208590996,4.422980128,0.014503081,2.300893631,0.0041631770000000005,0.21127747,0.193912084,0.016384476999999998,0.208504912
ECGFiveDays,0.675776481628418,17.15527892112732,0.035989046096801765,0.009002208709716797,0.008665084838867188,0.014993906021118162,0.008423566818237305,4.2072e-05,0.001022247,0.000870019,0.000278457,0.147638426,0.10607329300000001,0.072757137,0.13206295099999998,0.007320549,0.039818712,0.237141162,7.6845e-05,0.017958496,0.009844851,0.516847865,0.000985468,0.112377268,0.000429264,0.009801231,0.009831921,0.000778287,0.009921523
Earthquakes,0.0,7.404900074005128,0.021273374557495117,0.004004478454589844,0.0032880306243896484,0.006309747695922852,0.010432243347167969,6.324999999999999e-06,0.000300443,0.000405349,9.6848e-05,0.039924457000000003,0.034345487999999987,0.034708085,0.056146525999999995,0.003847298,0.01581484,0.17734529000000002,1.8554000000000002e-05,0.005663511999999999,0.005601289000000001,0.111815465,0.000435658,0.031874376999999995,0.000179403,0.005627230999999999,0.005516920000000002,0.000290928,0.005550406
ElectricDevices,34.555845499038696,439.5145914554596,1.4475808143615725,1.2602572441101074,1.2360391616821291,0.6468403339385986,1.169302225112915,0.001130349,0.081076567,0.021702722999999997,0.005863105,10.264583076000001,9.220051977,4.428188536,11.665358937999999,0.518007111,2.456743197,10.563670837,0.001999981,1.190461616,0.64752376,15.577810543000002,0.039863559,7.876240815,0.00733035,0.6720927879999999,0.6342594020000001,0.054541820000000005,0.6247659670000001
FaceAll,2.997886657714844,62.52725839614868,0.1749575138092041,0.2259054183959961,0.22005629539489746,0.08127355575561522,0.2082529067993164,0.000146412,0.022847432999999997,0.003769696,0.0008356689999999999,3.4298354110000004,2.7418691369999997,1.506811052,3.750488007,0.162250052,0.854996738,3.8843421580000013,0.000299104,0.417119675,0.257564803,4.393237465,0.009388619,2.59732424,0.000620322,0.260039174,0.207310839,0.014759657,0.20904312100000003
FacesUCR,3.3464901447296143,62.44351577758789,0.16517901420593262,0.21549201011657715,0.21046233177185056,0.07694411277770996,0.19864773750305176,0.000149044,0.023304948,0.003612815,0.0008715719999999999,3.542603901,2.641337204,1.43900618,3.376650582,0.175650479,0.800310493,3.9246979339999997,0.000313311,0.47317343100000003,0.27968843,4.322831666000002,0.00927466,2.49913645,0.0006474549999999999,0.28421797600000004,0.217027198,0.015119733,0.203394575
FiftyWords,1.0623342990875244,30.46635389328003,0.32279372215271,0.3631949424743652,0.3850266933441162,0.07374334335327147,0.3151524066925049,4.7878000000000005e-05,0.036780274,0.003975177,0.0005498359999999999,7.211463738999998,6.53722187,3.4471053560000002,9.466962887000001,0.3784063640000001,1.8569073059999999,8.33164985,0.000131684,0.932971977,0.487432439,10.893799265999998,0.00480739,6.108982323999999,0.000246188,0.453735099,0.461503325,0.012239058,0.453417497
FordA,14.317716121673586,469.79664754867554,1.4865431785583496,0.3009741306304932,0.2529435157775879,0.4243016242980957,0.24908781051635745,0.00051296,0.030008036999999994,0.031469095,0.00789838,4.062113817,3.9375097930000003,3.172224438,5.728303876,0.262246018,1.4165186909999998,9.390745926000001,0.0010689410000000001,0.7630818340000001,0.506693177,12.570490127000001,0.043297680000000005,3.8314904110000003,0.00941039,0.647890521,0.364771678,0.024985893999999998,0.37933400700000003
FordB,13.371606588363647,419.9666085243225,1.2271325588226318,0.2357640266418457,0.24878334999084475,0.3912158012390137,0.21909403800964355,0.000430855,0.025820435,0.026755586,0.007027424,4.042387308,3.128841178,2.666743523,5.5484859989999995,0.21600094600000003,1.678772415,8.049420742999999,0.000974575,0.87221134,0.504803098,11.148139963,0.039466628999999996,3.35263837,0.009236954,0.520094605,0.38826873700000003,0.023346347,0.441447466
HandOutlines,4.317061185836792,510.0890755653381,0.9538531303405762,0.11946821212768555,0.10220813751220703,0.1744682788848877,0.10419106483459473,0.000185683,0.017469761,0.040959728,0.008171375,7.156953014000001,3.818946763000001,3.257330478,6.041830475,0.292735197,1.511237889,10.992661186,0.000376451,0.667140607,0.363711302,15.456110285,0.069929275,5.180539026,0.014703351000000002,0.4552626,0.369927406,0.028430411000000006,0.3676389960000001
Haptics,0.0,15.162275552749634,0.05186295509338379,0.008612871170043945,0.008522510528564453,0.006757497787475586,0.008840560913085938,8.252999999999999e-06,0.0012659869999999995,0.0011443739999999999,0.000206722,0.452895393,0.39467563,0.20089070500000006,0.5355242069999999,0.018314253,0.125066755,0.409794407,1.6689000000000002e-05,0.059268714000000014,0.019635883000000003,0.6318124319999998,0.001608962,0.36858973700000003,0.000386874,0.029423260000000007,0.019843792,0.0014916830000000002,0.029721943000000008
InlineSkate,0.0,92.043151140213,0.15685081481933594,0.05211043357849121,0.051395654678344734,0.0492253303527832,0.04817938804626465,3.7477e-05,0.011049516,0.009457745,0.001405545,3.600850155,1.5442532040000003,1.821985005,4.7090460069999995,0.18916591300000002,1.231394464,1.883700139,8.751399999999999e-05,0.420686161,0.21667249,5.873057846,0.014438487,2.951960057,0.0023205229999999997,0.317370734,0.226882693,0.017350962999999997,0.22259081100000003
InsectWingbeatSound,3.5917325019836426,103.99013924598694,0.1874222755432129,0.181640625,0.17441010475158691,0.07614517211914062,0.16591477394104004,0.000182992,0.028940134,0.007140126,0.0014937120000000001,4.847948756,4.5305405190000005,2.114253375,6.0924347989999985,0.25583163600000003,1.298378717,5.266885351999999,0.000416033,0.597036198,0.297154315,7.735086536,0.018643402,3.86278131,0.0011820239999999998,0.330577526,0.318549595,0.024003237,0.331028366
ItalyPowerDemand,0.7779037952423096,9.578393220901491,0.04218435287475586,0.011827707290649414,0.01120758056640625,0.01949310302734375,0.010941028594970705,4.6993e-05,0.0005284619999999999,0.000240675,0.000104372,0.025250405,0.03244934,0.020214766999999998,0.050889685,0.001959798,0.008384447,0.12691107699999998,7.2639e-05,0.003745513,0.005159628,0.071148851,0.00040171099999999996,0.027979984,0.000150454,0.005104602000000001,0.002824815,0.00024505900000000005,0.00296099
LargeKitchenAppliances,1.2553627490997314,50.8139877319336,0.1029975414276123,0.03677058219909668,0.034245967864990234,0.033107757568359375,0.0346379280090332,4.1963999999999987e-05,0.003206246,0.003571356000000001,0.000808525,0.7178026719999999,0.41216008600000004,0.33127979999999996,0.503109902,0.040784153,0.254216616,0.8386156690000001,0.000105122,0.126928178,0.052581949,1.320520617,0.004157589000000001,0.5731560569999999,0.001010399,0.057688739,0.046764392,0.0046046,0.06955196500000001
Mallat,8.632358312606813,406.5780465602875,1.0918340682983398,0.3918867111206055,0.37712883949279785,0.2826347351074219,0.3890695571899414,0.00028221,0.06589977899999999,0.038643929,0.006253516999999999,18.155521686,11.324333009000002,8.17368926,14.952036858,0.95264635,5.776430905,18.997627309000002,0.000556515,2.226716948,1.120090722,27.544646247000003,0.074587054,14.190720143,0.011581872,1.397759435,1.1168305200000002,0.08935308,1.141049599
MedicalImages,0.9320597648620604,20.683260917663574,0.05973458290100098,0.06520366668701172,0.06359553337097168,0.0247650146484375,0.05886912345886231,5.207500000000001e-05,0.005711086999999999,0.001044078,0.00032680400000000004,0.291935045,0.417634622,0.299221517,0.49370065,0.035793297,0.13733711699999998,0.528725895,0.000102728,0.048518069000000004,0.046927958000000006,0.648076283,0.002389786,0.28638500100000003,0.000384503,0.047805571,0.052676316,0.003776835,0.048082837999999996
MiddlePhalanxOutlineAgeGroup,0.2351958751678467,3.81938099861145,0.010172367095947266,0.005906581878662109,0.005462646484375,0.005462646484375,0.005182504653930664,1.5756000000000006e-05,0.00031288500000000005,0.00015913899999999998,7.543199999999999e-05,0.033756801,0.025068412,0.022339570000000003,0.043357277,0.001925773,0.009206816,0.053006295000000016,2.0569000000000002e-05,0.004617956,0.002151835,0.057973638,0.00018141599999999997,0.038344085,8.113900000000001e-05,0.0027131440000000002,0.0021428379999999998,0.000212407,0.002208293
MiddlePhalanxOutlineCorrect,0.7747311592102051,12.242230415344238,0.03345155715942383,0.008891105651855469,0.008364677429199219,0.016155242919921875,0.008096456527709961,3.1425e-05,0.0007921030000000001,0.0005135059999999999,0.00016783900000000006,0.06060624000000001,0.081397058,0.047797053000000006,0.097103639,0.0041078220000000006,0.02211126,0.098094932,5.9349999999999986e-05,0.0072585290000000005,0.0055614869999999995,0.258902643,0.0005740109999999999,0.054725202,0.000266519,0.005665577,0.005725903000000001,0.0005371659999999999,0.005568106
MiddlePhalanxTW,0.2279963493347168,3.8053905963897705,0.010532855987548828,0.008736133575439453,0.008217573165893555,0.004468441009521484,0.007796287536621094,9.777e-06,0.001217661,0.000171911,4.5448e-05,0.06539687100000001,0.059000685,0.035601928000000005,0.086575995,0.003647382,0.01665893,0.081089421,2.216e-05,0.00873116,0.004874534,0.107376826,0.000206043,0.059997496,7.058700000000001e-05,0.0041108180000000005,0.00406751,0.00034176599999999997,0.003907643
MoteStrain,1.359637975692749,22.0720157623291,0.06027841567993164,0.015873432159423828,0.015277385711669922,0.02718544006347656,0.014714479446411131,6.0793e-05,0.002219731,0.0009551789999999999,0.000314904,0.148407893,0.082577927,0.092160843,0.132495802,0.0076855709999999995,0.042299459000000005,0.221305282,0.000110035,0.019009995,0.01045824,0.320063222,0.0014283819999999993,0.128084168,0.000473616,0.010617793,0.01057274,0.0008690519999999999,0.010644836999999999
NonInvasiveFetalECGThorax1,13.99046754837036,508.689327955246,1.5864880084991455,2.2377450466156006,2.206279754638672,1.344310283660889,2.1216497421264653,0.000452459,0.41596693100000004,0.114481319,0.006874764,142.766177607,142.01118995299998,64.463172019,169.305499935,7.083495253000001,40.605252635,160.09904897900003,0.0008779660000000001,16.570652048,8.699473995000002,191.194293203,0.20876038100000002,115.6782478,0.010776926000000001,9.149230485,8.718458466000001,0.642325713,8.657078005999999
NonInvasiveFetalECGThorax2,12.929493427276613,510.1195728778839,1.919280767440796,2.2900159358978267,2.368685007095337,1.7303659915924072,2.178871393203736,0.000443214,0.409253886,0.136068659,0.006809309,136.57713325400002,142.788265793,58.749098661000005,169.733966365,7.44830108,40.57130646,159.23922771699998,0.000869179,16.639596617000002,9.004143496000001,191.42873835400002,0.20890611399999998,111.32037433299999,0.010500645,8.883197959,8.742762329000001,0.684997904,8.765787089
OSULeaf,0.0,4.494764566421509,0.02401065826416016,0.004913568496704102,0.004854202270507813,0.003042221069335937,0.004757165908813477,4.363e-06,0.00046334,0.00029199200000000003,5.9525e-05,0.13830025499999998,0.116308514,0.06858015399999999,0.234110433,0.005299885999999999,0.03526316,0.112879701,9.291e-06,0.013690622,0.007087839,0.18225865,0.000283277,0.09494719900000001,4.481500000000001e-05,0.009819942,0.005829655,0.000232288,0.005986572999999999
PhalangesOutlinesCorrect,3.314752578735352,55.1073112487793,0.17070245742797852,0.04838657379150391,0.0443117618560791,0.07162141799926758,0.042506933212280266,0.000148448,0.003636008,0.002299647,0.000930017,0.345209465,0.31535655,0.18534769,0.477216237,0.020046535,0.121362367,0.7027487809999999,0.000342985,0.074245408,0.030751492000000002,1.3210677080000002,0.003513423,0.335407799,0.001187128,0.02964581,0.027979604,0.0022693080000000003,0.026763618
