dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.35616064071655273,16.440019130706787,0.05342674255371094,0.09721016883850098,0.09419775009155272,0.03303885459899902,0.08762145042419435,7.134e-05,0.029993373,0.151945675,0.00031003499999999995,5.563172814,4.768550278,2.8883048450000004,5.399239272,0.261046187,1.150841026,5.6964301840000005,0.000357889,0.481290722,0.340506255,5.226293924,0.00303645,4.2475179579999995,0.000244902,0.350609453,0.32588436099999996,0.111089718,0.30710852099999997
CBF,0.4180028438568115,17.667714595794678,0.05536007881164551,0.028684377670288086,0.02699136734008789,0.02769923210144043,0.026963233947753906,6.190300000000001e-05,0.0024885690000000004,0.010352713999999999,0.00036232600000000005,0.29638860600000005,0.24896987000000004,0.18924527000000002,0.30560627100000004,0.019962986000000002,0.089202015,0.43199110500000004,0.00048332199999999995,0.035359179,0.024999346999999998,0.429863078,0.001012694,0.26761047899999996,0.000548512,0.02470772,0.0283337,0.011438978,0.025878371999999997
ChlorineConcentration,4.230953693389893,159.11526346206665,0.4068593978881836,0.21469449996948245,0.2041490077972412,0.20280981063842773,0.19874477386474612,0.00046187500000000005,0.015542137,0.09971654899999999,0.003076822,0.926525181,0.8659366129999999,0.893743529,1.3680795920000002,0.19581925299999997,0.652544016,1.337994699,0.0038239489999999997,0.17651455000000002,0.15073719000000002,2.7931108260000004,0.013795581,0.8914333699999999,0.005032231,0.14883625700000003,0.130545286,0.102939461,0.126093566
CinCECGtorso,2.858429431915283,328.114667892456,0.7766931056976318,0.2412197589874267,0.20664429664611816,0.32094550132751465,0.2090930938720703,0.00025468400000000003,0.044262115,0.361844391,0.00642849,11.243374449000001,7.3685888140000015,7.429304708,13.062758381999998,0.7201196670000001,3.884071962,8.72902041,0.001427686,1.222106753,0.980944509,15.324597609000001,0.04684133,9.651553512,0.007660472999999999,1.2049453159999999,0.809276635,0.37655148400000005,0.807560706
Computers,0.16581320762634275,14.563791751861572,0.028774261474609375,0.008472442626953125,0.008177757263183594,0.013570308685302734,0.008261680603027344,1.708e-05,0.001150104,0.007820208,0.000307025,0.23752768700000002,0.12655503799999998,0.15048571600000002,0.150930894,0.015853394,0.089700784,0.18022549,0.000123504,0.04622069400000001,0.024050011,0.317694204,0.0010066559999999999,0.184063789,0.00044866799999999994,0.024604103,0.015545403,0.007865093,0.023739007000000003
DistalPhalanxOutlineAgeGroup,1.0237319469451904,3.388261318206787,0.012637853622436523,0.007455587387084961,0.00684499740600586,0.006331205368041992,0.006290912628173828,1.4983000000000002e-05,0.0011472910000000002,0.001683741,5.6216000000000005e-05,0.04668090800000001,0.025215624,0.039355933999999995,0.040347831,0.003253318,0.013163358000000002,0.044771607000000005,0.000121921,0.005879589,0.003653319,0.06828499900000001,0.00017733300000000003,0.04877350500000001,0.000110422,0.00366696,0.0036589070000000003,0.0019005439999999999,0.0036610519999999997
DistalPhalanxOutlineCorrect,0.6046626567840576,11.807385206222534,0.04033207893371581,0.012659788131713865,0.01200103759765625,0.02169179916381836,0.01226663589477539,4.5264e-05,0.001339956,0.004000867,0.00022440199999999998,0.135518025,0.074856875,0.096742723,0.104956195,0.007563803000000001,0.033632589000000004,0.178966789,0.00041243,0.013810742,0.008548847,0.2537605909999999,0.000571861,0.099077103,0.0003116,0.009461453,0.009475431,0.003992954,0.009400869
DistalPhalanxTW,0.09722781181335448,3.3182384967803955,0.011190652847290039,0.011561870574951172,0.008378028869628906,0.00802278518676758,0.007960319519042969,1.5298e-05,0.0010275969999999999,0.0033248920000000003,5.9350999999999995e-05,0.11066701200000001,0.057541515,0.060977183,0.11402807899999999,0.006497778000000001,0.025993145,0.09265367,0.00012176099999999999,0.011445978000000002,0.007280981000000001,0.13516174200000003,0.00019296099999999998,0.081194426,8.513e-05,0.007294952,0.007196375999999999,0.0037717359999999995,0.007369813999999999
ECG5000,4.172799587249756,163.5208399295807,0.5076799392700195,0.3248939514160156,0.3215663433074951,0.25829410552978516,0.3029773235321045,0.000588618,0.037734593999999996,0.15825687100000002,0.0029641190000000003,4.517264153,3.2844866150000005,2.945009928,5.39706343,0.30894640900000003,1.3547323119999999,5.715739591999999,0.004248781,0.5635382850000001,0.37915181499999995,5.691183081,0.014736701,3.904973256,0.005141232000000001,0.383909764,0.354489647,0.16906457000000003,0.37814114499999996
ECGFiveDays,1.5199644565582275,17.212175130844116,0.042605400085449226,0.012413263320922852,0.012033462524414062,0.021868228912353516,0.011889219284057617,6.7101e-05,0.001814249,0.006957008999999999,0.000368683,0.216802359,0.16932079300000002,0.147358409,0.18070510499999998,0.013577498,0.061508409,0.32646114,0.00045472700000000004,0.024891528,0.016969117000000002,0.575300711,0.001004628,0.184364867,0.000533986,0.016908485,0.017010192,0.006886011,0.017133871000000002
Earthquakes,0.07616972923278809,7.444869995117188,0.03004741668701172,0.005782365798950195,0.00496220588684082,0.009864330291748047,0.012038707733154297,1.0167999999999998e-05,0.000305226,0.00327317,0.00012977,0.039957299,0.037633014999999985,0.034736279,0.07199819299999999,0.006722641000000001,0.023104813999999998,0.20075863700000002,9.641899999999999e-05,0.005670297999999999,0.005609488000000001,0.136891968,0.000439848,0.031898893,0.000217992,0.005635600999999999,0.0055228950000000025,0.003206894,0.005556766
ElectricDevices,18.14260172843933,441.0100636482239,1.722723960876465,1.387176752090454,1.3672306537628176,0.9171760082244873,1.3024134635925293,0.001773662,0.15093445100000003,0.517531845,0.007979507,15.860060252,10.815768653000001,9.856156027,16.975628815999997,1.0135007139999999,4.039182563000001,15.234938439,0.014350611,1.7164811489999998,1.186745872,20.999004341000003,0.040580352,13.329103554,0.009789151,1.2333088489999997,1.166666468,0.56093395,1.1460667020000002
FaceAll,1.8685247898101807,62.70924782752991,0.2105865478515625,0.24245333671569824,0.23700380325317383,0.12511897087097168,0.22525763511657715,0.00023769400000000002,0.043327635999999996,0.167553949,0.001150518,5.224202138000001,4.421735700999999,3.2120716739999997,5.535036455,0.320951937,1.386153701,5.664224834000001,0.001750649,0.574667076,0.42469130499999996,5.937511952,0.009518411000000001,4.331970725,0.000998791,0.42871405500000004,0.377461577,0.16374763900000003,0.380129718
FacesUCR,2.1983418464660645,62.6248083114624,0.1982572078704834,0.23154044151306152,0.22679972648620603,0.1188361644744873,0.21581625938415527,0.000248267,0.04408373,0.16338842999999997,0.0011976279999999998,5.371114752,4.279678269,3.061719487,4.909835772999999,0.346520077,1.311257689,5.919273284,0.001840801,0.633199999,0.44524887199999996,5.828683476000002,0.009399332,4.226667406,0.001025218,0.45113749000000003,0.391689407,0.168057669,0.36896382299999997
FiftyWords,0.8419828414916992,30.56786584854126,0.34197759628295904,0.375619888305664,0.4012579917907715,0.14760255813598633,0.32736682891845703,0.00010302400000000001,0.071794794,0.36374304999999996,0.0007781429999999999,11.551461881999998,10.599505783,8.205578906,14.269222315,0.7535012430000002,3.139091274,13.824088995,0.0007153789999999999,1.366454386,0.936320099,15.354791391,0.00486679,10.776505195999999,0.00042075799999999997,0.87004729,0.887230029,0.126235359,0.873933598
FordA,7.090879201889038,470.63258957862854,1.7219030857086182,0.44179201126098633,0.3845078945159912,0.649385929107666,0.39176249504089355,0.0008571519999999999,0.03539925599999999,0.24512922800000006,0.010438755000000001,5.209944709,4.889036046,4.398548317,7.543989133,0.47403282700000005,2.001907132,11.147712170000002,0.005066554,0.877206275,0.585545657,14.243515602,0.04366832700000001,5.009317032,0.012139447999999999,0.74688267,0.43979431599999996,0.23819231100000002,0.460411636
