dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CBF,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ChlorineConcentration,2722.2304482493337,524941.6086094726,1119.9888487930345,607.6095973993545,570.431626148454,458.0040528767699,553.0798028844558,1.0,46.01124814736396,28.99131246030065,7.582343055261487,3042.4948688598347,2862.398584718399,2934.002243012915,4522.869911867458,347.5568891594325,1487.6284339932245,4421.482866424941,2.224661893923354,582.4281144135084,497.56735986131696,9179.422996506459,45.00557444950243,2925.853125661655,13.56250992483591,491.16999920601313,431.21647059601946,36.52712457654033,416.45509011750994
CinCECGtorso,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Computers,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DistalPhalanxOutlineAgeGroup,95403.68027173572,346350.99538872216,1080.9238998934713,658.7901113948933,594.4922356840009,442.9137262521173,550.5092578947073,1.0,106.52705061082027,15.15326968483728,4.203983163946207,3131.063237860589,2207.318755774561,1872.4158710604659,3369.2947336002467,175.41638435478902,816.1652807719947,4117.514115593882,1.8056667693255313,428.4195667795914,200.27635766348425,5334.506416179038,17.693665948054615,3059.9359408684945,8.756595832050097,200.79622215378296,199.02535673955444,22.956985935735553,199.14423570475307
DistalPhalanxOutlineCorrect,7758.927696743409,381027.47998901154,1106.0258354608463,301.43554875361326,284.03983710168654,494.58819966676964,287.0369668179155,1.0,24.673578486959343,15.749748906528431,5.484237809816944,2841.6893244775633,1852.8393973756683,1490.2740968734815,2645.4098493439174,130.52379718127332,700.0684594200552,4915.212765268103,1.8671958529078245,319.7888870889357,158.0848857929694,7733.075133646525,18.02109185161186,1939.8823910578326,8.016782763648147,177.63359792645392,176.91219828284466,14.956714725417141,175.4961283006642
DistalPhalanxTW,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ECG5000,952.3002246438915,434484.6230196219,1129.5212162543382,763.6297388896689,751.5646668828667,471.840749645127,700.3529085237496,1.0,61.712442246510804,23.522794975779505,5.710715637006998,7820.7693057857405,5640.6360717502175,3542.542677630282,9887.660766529356,428.2732412830201,2221.1890903858757,11139.886789838583,1.8820949528646262,1044.3566914111839,555.7950557151307,11785.122722500813,38.64376155735914,6130.7790286222835,11.092871873850926,562.9532216721467,516.6827887940912,43.65678040617955,555.5656831032076
ECGFiveDays,26212.24475555217,407760.0047805505,855.4156231413235,213.9714943362996,205.95847211606738,356.38681358428795,200.2178840615446,1.0,24.29756132344552,20.67928788743107,6.618582430119795,3509.1848735501044,2521.232482411105,1729.348188819167,3138.9748764023575,174.000499144324,946.4420992584141,5636.555476326297,1.8265116942384485,426.8514926792166,234.000071306332,12284.841818786843,23.42336946187488,2671.0702605057995,10.203080433542498,232.96327723901885,233.6927410154022,18.498930405019966,235.82247100209165
