dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.19338035583496094,25.425870656967163,0.07134294509887695,0.19266366958618164,0.18624305725097656,0.03697395324707031,0.17371249198913574,7.6443e-05,0.030847724,0.0054421059999999995,0.000468549,6.3046434510000005,5.605602539,2.325188975,6.204935204,0.24689310899999997,1.319811499,6.4226055450000015,0.000136304,0.631554375,0.35070836200000005,7.593654505,0.007305071999999998,4.486485833000001,0.00032763,0.38155225299999995,0.322939815,0.013494958,0.31170895
ArrowHead,0.279329776763916,3.882307291030884,0.02310800552368164,0.010879039764404295,0.009707212448120115,0.007653474807739258,0.009250879287719728,2.2428000000000006e-05,0.002142970000000001,0.0008195810000000001,0.00019655200000000004,0.403623567,0.22964927300000001,0.206935671,0.301747912,0.008421544,0.078418427,0.5888927610000001,5.829900000000001e-05,0.03212374,0.022547396,0.391259701,0.0008534669999999999,0.29308628,0.000337266,0.021801321,0.022138542999999997,0.0007728860000000001,0.022965867
Beef,0.0,0.6135227680206299,0.011050701141357422,0.006411314010620117,0.005936384201049805,0.004492282867431641,0.005690336227416992,7.2800000000000014e-06,0.00170146,0.000595601,9.4345e-05,0.368020526,0.3861100029999999,0.245190412,0.32201688300000003,0.006526066999999999,0.12420534199999997,0.4212757079999999,1.6020999999999998e-05,0.041402149999999985,0.029142587,0.43611608700000004,0.000932703,0.286114085,0.000174684,0.029549487000000006,0.028985803000000008,0.00029319899999999985,0.03255429500000001
BeetleFly,0.0,0.3187093734741211,0.008562564849853516,0.0013723373413085938,0.0013279914855957033,0.002104043960571289,0.0015141963958740234,5.1040000000000014e-06,0.001362822,0.000471618,7.070700000000001e-05,0.2693809620000001,0.23384900500000005,0.31981439100000003,0.31591111000000005,0.002205227,0.07099233499999999,0.4325365170000001,1.2927999999999999e-05,0.031436517000000004,0.025558915,0.27493516,0.0006288530000000001,0.304658898,0.00019365299999999998,0.027888332999999998,0.025198291,0.000247064,0.025340854
BirdChicken,0.0,0.319636344909668,0.006818056106567383,0.0016126632690429688,0.0015492439270019533,0.002024412155151367,0.0016951560974121096,5.0530000000000014e-06,0.001535061,0.000388402,6.9594e-05,0.24714821200000006,0.232961993,0.228045701,0.273475105,0.002246597,0.07782752899999998,0.45177244,1.1500999999999999e-05,0.033892801,0.025320399,0.34138661299999995,0.000415113,0.265917442,0.000207022,0.02717696,0.025359539,0.000161159,0.025948273000000004
CBF,0.3161189556121826,24.64860987663269,0.07570052146911621,0.04037737846374512,0.0382225513458252,0.030341148376464844,0.03710460662841797,7.2493e-05,0.004177915999999999,0.001657336,0.00048432900000000003,0.415442985,0.341026472,0.215976784,0.450277568,0.018497895,0.11409930899999997,0.610118594,0.000150643,0.050383216,0.030647237,0.6496922199999999,0.001795515,0.32770155,0.0007120329999999999,0.029635349,0.03695696200000001,0.002097247,0.030593166
Car,0.0,2.6045031547546387,0.026762962341308597,0.012629508972167969,0.017660856246948242,0.01342177391052246,0.015810489654541016,1.5455e-05,0.00245577,0.001238115,0.000240662,0.467533254,0.466738721,0.361684332,0.5487296389999999,0.013757947,0.15601130200000002,0.8257276109999998,3.3096e-05,0.062950675,0.045419835,0.757626812,0.001293621,0.425732954,0.0004594460000000001,0.044421285000000005,0.046386147999999995,0.000678467,0.06782255400000001
ChlorineConcentration,1.229968786239624,167.27364182472232,0.3732783794403076,0.20192694664001465,0.19025254249572754,0.1518077850341797,0.18393778800964355,0.000333689,0.015874429,0.009780201999999998,0.002535214,1.116825073,1.088388058,1.058716624,1.5920900569999998,0.11519040400000001,0.522829137,1.6485432430000002,0.0007446810000000001,0.199836818,0.172392729,3.13250206,0.014641683,1.0781679830000002,0.004510383,0.170294235,0.151895384,0.012044788,0.14622844899999998
CinCECGtorso,0.0,396.5030324459076,0.961512565612793,0.2390763759613037,0.2110917568206787,0.25432372093200684,0.20879173278808594,0.00022109900000000002,0.036119987,0.03804264,0.006732327999999999,10.508094267,10.337116871000001,5.279653664,12.948861696000002,0.520154742,3.570196127,12.199581757999999,0.000488821,1.2768462870000001,0.8638458029999999,16.341800729000003,0.06454821699999999,8.510470162999999,0.008321494999999998,0.998508666,0.751100048,0.049327857999999995,0.7491468379999999
Coffee,0.0,0.4567196369171143,0.013631105422973631,0.0017421245574951172,0.0018110275268554688,0.002873420715332031,0.0016498565673828125,6.434e-06,0.0009318560000000002,0.000411535,6.423299999999999e-05,0.163088395,0.17555323199999998,0.212342183,0.22892639899999995,0.0017847310000000001,0.04809622400000001,0.17073419299999998,1.4882e-05,0.016303623999999996,0.013170258999999998,0.229415417,0.000485687,0.142864516,0.00012534899999999994,0.013706898000000002,0.013310913,0.00014318099999999998,0.013262384000000002
