dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.05833333333333333,0.5364864864864866,0.0684931506849315,0.05205479452054794,0.05753424657534247,0.1589041095890411,0.07671232876712328,0.018784981272888718,0.3342479714196123,0.3489784977047715,0.032231520707021885,0.32841885365914864,0.2770946944991115,0.32841885365914864,0.02559147581288736,0.3489784977047715,0.3489784977047715,0.2770946944991115,0.027613796538863068,0.3310347634371972,0.3489784977047715,0.3352038073386913,0.018784981272888718,0.32841885365914864,0.027613796538863068,0.3489784977047715,0.3489784977047715,0.044949181062404565,0.3489784977047715
ArrowHead,0.3625,0.8352941176470587,0.70625,0.5125,0.5125,0.6124999999999999,0.65,0.3775028079880137,0.5163920621278396,0.5677302562503593,0.3516308789995955,0.6088269538322152,0.5809046935787089,0.6088269538322152,0.4319597836153454,0.5677302562503593,0.5739887061105771,0.5809046935787089,0.3225793425239878,0.5539543459424199,0.5677302562503593,0.5501174445331894,0.3775028079880137,0.6088269538322152,0.3225793425239878,0.5677302562503593,0.5677302562503593,0.3585310170943313,0.5677302562503593
CBF,0.8528735632183909,0.9920454545454546,0.8597701149425289,0.7678160919540229,0.7885057471264368,0.8137931034482758,0.8413793103448276,0.32433210212314445,0.8160647188682709,0.8913705421117546,0.3547004639812833,0.8850828218215628,0.8996849945135353,0.8850828218215628,0.5674703625829998,0.8913705421117546,0.8913705421117546,0.8849163614506479,0.2990515654732205,0.8940482801897857,0.8913705421117546,0.8927828951029989,0.32433210212314445,0.8850828218215628,0.2990515654732205,0.8913705421117546,0.8913705421117546,0.5754906182173893,0.8913705421117546
Car,0.2833333333333334,0.5571428571428572,0.3666666666666667,0.3333333333333333,0.5166666666666667,0.5333333333333333,0.4666666666666666,0.2485869016125835,0.5353433639526158,0.5164775944600234,0.20926525673037552,0.4686456566356341,0.4793741719630793,0.4686456566356341,0.23726848022786695,0.5164775944600234,0.4916300816307672,0.4793741719630793,0.2765596573416083,0.5123061518283973,0.5164775944600234,0.4810694130502624,0.2485869016125835,0.4686456566356341,0.2765596573416083,0.5164775944600234,0.5164775944600234,0.279576197973587,0.5164775944600234
ChlorineConcentration,0.5516974789915966,0.8943661971830986,0.5403025210084033,0.42840336134453777,0.4463193277310923,0.4804369747899159,0.4486386554621849,0.5208471254675878,0.5162740211205171,0.4611440031725317,0.4619183430594938,0.5128735383015034,0.4993601812922098,0.5128735383015034,0.4260653568739791,0.4611440031725317,0.515039658672837,0.4993601812922098,0.2378880958096101,0.5221044067045528,0.5215089107103997,0.527059312018755,0.5249401057426418,0.5128735383015034,0.2378880958096101,0.5215089107103997,0.5215089107103997,0.4042243515362602,0.5215089107103997
CinCECGtorso,0.8132352941176471,0.8810218978102191,0.9720588235294116,0.3977941176470588,0.4095588235294118,0.4029411764705882,0.4382352941176471,0.2377765630129623,0.9373347100104232,0.3956269420507272,0.2758816670892341,0.3958367906776241,0.34672814863983153,0.3958367906776241,0.2393332306072739,0.3956269420507272,0.40540572388651774,0.34672814863983153,0.2579731095941341,0.39286734126153067,0.3956269420507272,0.3794466585531366,0.2435508560905196,0.3958367906776241,0.2579731095941341,0.3956269420507272,0.3956269420507272,0.3578848650219456,0.3956269420507272
Computers,0.5159090909090911,0.5777777777777777,0.5499999999999999,0.5090909090909093,0.525,0.6431818181818183,0.5204545454545455,0.508759343286706,0.6001406043157015,0.5342484331940516,0.5385335898609214,0.5044941934835739,0.5010108402618041,0.5044941934835739,0.5063534310687217,0.5342484331940516,0.5138607168237306,0.5010108402618041,0.5342484331940516,0.4707538924316991,0.5189576459163109,0.5047456318932028,0.508759343286706,0.5044941934835739,0.5342484331940516,0.5189576459163109,0.5189576459163109,0.4914952828605113,0.5189576459163109
DiatomSizeReduction,0.2913580246913581,0.9285714285714286,0.7518518518518519,0.5,0.4592592592592593,0.9,0.5851851851851853,0.3061839099832878,0.9292765594473708,0.8953289991650744,0.3119631923833757,0.8995562779854985,0.8709303073734719,0.8995562779854985,0.5655924886931214,0.8953289991650744,0.8953289991650744,0.8696264781433096,0.31002612700313764,0.8953061283751493,0.8953289991650744,0.8953061283751493,0.3061839099832878,0.8995562779854985,0.31002612700313764,0.8953289991650744,0.8953289991650744,0.4363942022413167,0.8953289991650744
DistalPhalanxOutlineAgeGroup,0.7395833333333334,0.8020408163265306,0.6995370370370371,0.6347222222222223,0.612037037037037,0.7539351851851852,0.6828703703703703,0.6003849623715573,0.7595018724868339,0.7779777895783319,0.5907462301056803,0.7775640293836301,0.7210329724908602,0.7775640293836301,0.5773423492032193,0.7779777895783319,0.7828216612642726,0.7210329724908602,0.0833297444810616,0.7665988479025035,0.7731339178923912,0.7805274105345045,0.6003849623715573,0.7775640293836301,0.0833297444810616,0.7731339178923912,0.7731339178923912,0.4947701149666918,0.7731339178923912
DistalPhalanxOutlineCorrect,0.6394308943089431,0.7698795180722892,0.6089430894308944,0.5540650406504065,0.575609756097561,0.7134146341463414,0.576829268292683,0.5932573448760826,0.7010586372026962,0.7247837856180425,0.530780132689209,0.7119057056547466,0.7482601621907372,0.7119057056547466,0.6927760890070239,0.7247837856180425,0.7247837856180425,0.7430916483559878,0.5932573448760826,0.7100449554625018,0.7247837856180425,0.7044854323733036,0.5932573448760826,0.7119057056547466,0.5932573448760826,0.7247837856180425,0.7247837856180425,0.6178656450947236,0.7247837856180425
