dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,10897.596402884496,173209.84334207405,655.4708569158493,1353.2138351524638,1310.8107803367277,443.6802711803901,1225.0622728340456,1.0,399.76457347417517,1975.142154935116,4.411047229039825,68209.35251603455,54974.514495504896,36497.498677912314,61985.8992908186,3324.6661762512363,15011.041194896061,63436.96119164169,5.066951876008514,6231.285414999931,4504.844854705954,72565.91344732666,50.26441753562855,53188.39919589949,3.5615753861174007,4885.473070090986,4169.915698265692,1064.0095258112194,4028.005396829701
ArrowHead,31768.998481258284,113028.17315018593,800.9643976141608,363.6990387495298,329.51636881661784,332.42596112661414,319.0001749017355,1.0,82.14793833319241,226.8510470392604,7.254389673346297,14418.929652490062,7800.0577774019885,8222.193371100024,10768.185225895548,445.34979284687574,2969.0665426566325,18781.876722753022,8.164538767227528,1159.3808235393587,872.8559510724048,13705.42163411403,24.425833544714063,11153.266565203909,11.440094698571064,856.9914320340462,862.7006285053969,198.96964572588143,886.5034243679714
Beef,13176.04793704011,53723.95132240425,1029.205436760928,585.3393479120599,548.9155295695385,569.9361516483511,528.1811457488204,1.0,168.3226532602986,492.19359195617915,9.37825467096871,32517.454490883163,33178.24806783221,22729.79612816087,28513.828543558186,936.4081188564566,11266.797478802426,37911.17385758233,5.292939146094393,3705.571171306369,2763.207323478652,38661.685075410816,70.49395963082463,26125.985968334957,15.534028663615215,2889.209874690478,2748.645681698807,55.723493659488234,3008.745479102574
BeetleFly,18520.649921290387,49268.97106544907,1203.9704043245274,248.19511348135862,243.15277483275318,394.030752396026,280.2419768924957,1.0,175.1090353659969,266.6532722359299,10.88391493361532,33260.019621666084,28600.08635882975,39466.666549171656,38319.470097520854,471.2606039243331,9025.95511690753,52322.79602866878,6.005992245329573,3994.4570555751375,3133.0535777229466,33922.98108330395,74.36999177534953,37484.24215720831,25.59605216778286,3416.356597344612,3084.70837739396,86.31946892257078,3100.6318881447532
BirdChicken,16012.008852293562,47614.71486960214,960.89912183357,281.5779972909839,272.1343377623895,366.05680831755046,286.0968830826036,1.0,192.65259334922254,246.94643059811597,10.463057541709226,30260.104074452393,27938.79060265577,27980.81840880717,33248.393371921455,457.1752355010782,9699.573147202356,53181.94223130177,5.256157076381794,4084.407899216888,3158.932243786176,41097.77312450345,47.46453297015094,32848.68198842356,26.40449438202247,3383.6926569061397,3157.1114515945974,48.81750085120872,3238.732947452049
CBF,22653.454538880927,219714.61851151846,807.3013278043404,419.6177993062505,399.820455402788,400.8401518936481,391.18053741798985,1.0,52.97647695611279,160.70113932811583,5.659798754192621,5449.361692310422,4421.712177678397,3554.5838080533817,5250.46869509663,312.132380343928,1526.1668707519207,7383.490878276456,7.670295834886157,611.2850094944009,440.92369873467146,7375.1597898809205,16.263039273101562,4542.351763119133,8.010044543825089,430.72339349411703,518.5593976823014,165.6196826917958,445.08667412021515
Car,10828.439556512765,108237.36822127081,1343.902624920627,644.9233946870042,1044.6178768942266,1001.6027489412672,767.9646824060314,1.0,141.48142106938255,556.7531826861871,12.79272756206238,23762.246578612347,19238.0170273711,20629.10952418841,26924.944422342454,1048.2923695098664,8236.273074474859,34015.0047342457,6.082113303628262,3189.944501909611,2477.5253023551877,36210.479232972626,51.879734245703375,22566.7831795035,21.739934754933163,2503.8227641629533,2510.8142504774028,180.0635343730108,3514.8259468491406
ChlorineConcentration,12506.589465918181,328189.9653328221,877.8303941599548,462.0823188640918,440.56472823688244,436.3828379671716,428.05450112803976,1.0,35.317202891860376,215.20824759207238,6.647529086826229,2282.0909926686327,2146.7038562050593,2181.9152217797146,3141.7363837661464,420.80479746805725,1474.329309036281,3247.0043894309388,8.272138849984744,394.46571588410643,351.4071549289162,6271.552266307792,29.053125024450928,2211.154823288239,10.835967513516472,346.8408244462353,310.9811356185498,218.46301650144355,299.6515038299936
CinCECGtorso,16488.444607649584,1134124.1018773438,3226.8417306410192,951.5880321278466,849.4697277370071,1287.4369041134578,824.1354003393078,1.0,186.87962907431364,1423.8957706817912,25.720509151765945,45809.44388849382,29900.516085917217,30894.194564630685,53715.53685981191,2818.037475260673,15855.010504039683,35380.852586455556,5.673252396823083,5143.819517865149,4296.025220547706,62631.231580089734,184.85374595531636,40112.859534886375,30.900303012129044,4968.734937212802,3682.4309826332064,1411.5581506264439,3691.161641691727
Coffee,81446.06308152506,54253.630309752174,1420.8681352822584,230.67229013387887,261.3412709447079,413.9634891476405,233.58561747157913,1.0,102.62584067443403,179.80354267310787,7.87392251586625,17389.363929146537,17236.46414701146,22348.327555176656,23122.849010135447,301.62669318935303,4991.762243061476,16882.319693094625,5.968362224116699,1714.5767737046506,1400.5221180259541,23845.97290897035,46.611916264090176,15104.67149758454,13.77010514350667,1451.9205266647723,1416.878469262101,72.04973003694232,1410.3841053329545
Computers,37492.381292541424,523837.3285285091,2767.3151699032646,608.8339328820284,521.9334488411303,867.0758346736968,532.4273488707403,1.0,82.60852447791852,442.5196393929019,17.48888508501655,16684.0571722013,11455.453052607556,13064.944767773593,14943.309494465366,934.9878580394843,6669.255494693598,22009.03894784891,8.95476435010841,2562.1799497888856,1766.4097226977062,22284.003434896727,60.85492411274679,13823.960253337898,28.46896040168892,1780.9205637338812,1414.4569782038116,418.3264407166494,1927.4404427707407
DiatomSizeReduction,21697.129540601883,198847.05979917006,2854.594047730449,710.1253887660104,895.7844001569607,792.1471021250275,705.450598147365,1.0,95.20803942927552,391.5575278129967,9.376506723334346,14116.195717780674,11651.15535991714,10328.530884480078,16101.463758281398,759.4019536063144,4695.100876801371,23115.993374881695,6.147324059358202,1713.1726459401061,1264.2648440150717,20322.214039536422,32.21339666779763,12376.63658279612,14.26407614421686,1345.0295540991804,1234.5392774870977,288.75465633314883,1157.2457543884711
DistalPhalanxOutlineAgeGroup,35933.40966860179,147739.40875186113,823.5888534717346,460.24883009796014,443.99020789302216,410.9165847765132,408.2377243371699,1.0,61.01044079515991,112.29823681936043,3.9311495246326706,4251.399101123595,2299.3676231633535,3168.228193604149,3918.80727744166,216.45611063094208,1086.9553673293,3727.0681417458945,8.148401037165081,427.81626620570444,314.2178738115817,5667.364995678479,12.312912705272257,4126.725324114088,6.289438202247192,314.9432152117546,316.93273984442527,113.53507346585998,315.7052203975799
DistalPhalanxOutlineCorrect,18424.19404534515,200850.75352408155,892.7670790882453,280.194032243381,263.2147839956026,463.0670943798607,265.883031656858,1.0,34.896890613060606,86.62168929642039,4.790689472756128,3490.471274907424,1889.011920296244,2442.074390172221,2801.994145653324,164.7228472344678,859.5711162052551,3718.6721683418564,9.014106859460414,339.38208428848526,231.0409686710163,5304.131581731617,12.65820255099042,2527.8364897431375,6.868571092693823,244.46415094339625,243.03499676717803,82.05552224769293,270.1003467936284
DistalPhalanxTW,23758.792985920987,148364.34616306986,814.9637544948597,689.3753095916371,619.5412260873646,453.92990614106486,589.5836587685259,1.0,78.4378672279225,221.83528895904587,4.461878453038675,8126.958361834605,4692.907954047181,4651.7055336315,8354.987933000088,429.01134789090594,1966.146680698062,6664.606191353154,8.278505656406209,800.5120582302903,573.1280014031396,9897.22669472946,13.708199596597387,6386.779531702184,5.420398140840131,565.7953170218365,559.4922213452601,164.29330877839166,571.7503639393143
ECG200,38078.842135550716,65403.93267168517,719.6346004088504,211.2084385023305,196.45606782607788,348.989652899917,204.8504822484692,1.0,40.76316317119139,81.7075430083811,5.493964791274008,3688.3963989252907,3206.399887717046,3568.8927697798435,4575.430444720695,155.345510686931,1203.564582748526,4738.836548101213,7.275173437061393,428.06536471909203,345.0403015599309,5791.2128563981205,12.795885631792112,3996.294261539077,6.4563099009503935,379.5807835746078,349.99181938484975,61.73793960781166,367.65685527529354
ECG5000,9255.986983946676,265742.47154307814,851.3358324329982,547.0956212740572,540.6410391737323,434.2970416210718,508.8660874265503,1.0,64.16330758181607,263.9015909002679,5.064126712993517,7593.518914554137,5713.082231453084,5049.211501999302,9180.03838347762,516.6559649054699,2316.1555805737803,9625.029137777088,7.184974571994253,950.1757288714625,641.4069598975116,9756.650383943475,24.28735432276098,6585.477788734034,8.681420862611128,649.3753251290811,603.0325757987499,271.4057533289336,644.7508614464847
