dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.14929140204653202,1.0,0.04473751537975136,0.04106858389834245,0.053160256562234616,0.227880796945245,0.06799974269417272,0.0,0.7286606442466887,0.817688279728803,0.0,0.8352681264377049,0.7652724952571976,0.8352681264377049,0.0,0.817688279728803,0.817688279728803,0.7652724952571976,0.0,0.7972287750657776,0.817688279728803,0.8204497641660634,0.0,0.8352681264377049,0.0,0.817688279728803,0.817688279728803,0.12397275978156726,0.817688279728803
ArrowHead,1.0,0.8514951978014814,0.42444121267071205,0.43489539042949676,0.452029246143232,0.47165738728894835,0.5628475578788346,0.0,0.38476331375090106,0.5207357439804445,-0.018547158507840746,0.5249369212564462,0.6497971775172231,0.5249369212564462,0.17878575446591177,0.5207357439804445,0.5039132833663935,0.6497971775172231,0.0,0.47010692172612367,0.5207357439804445,0.49927015060100444,0.0,0.5249369212564462,0.0,0.5207357439804445,0.5207357439804445,0.245995880086155,0.5207357439804445
Beef,0.550491000046268,0.6544797226899867,0.3854997350314735,0.4616956754212134,0.39627582824806595,0.9210508206480306,0.43961714573431976,0.0,1.0,0.8168658428011046,0.0,0.4369486147950446,0.3772999830989626,0.4369486147950446,0.0,0.8168658428011046,0.7869408388778115,0.3772999830989626,0.0,0.5236578372475432,0.5236578372475432,0.6678158150278728,0.0,0.4369486147950446,0.0,0.5236578372475432,0.5236578372475432,0.0,0.5236578372475432
BeetleFly,0.44401660757569406,0.5607507229544239,0.054235300939153026,0.6162452279425278,0.3842854798248348,1.0,0.8235283885315254,0.0,0.33794658402131195,0.2794934778595635,0.0,0.0,0.0,0.0,0.0,0.2794934778595635,0.40527429602452925,0.0,0.0,0.0,0.0,0.12023108060725783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BirdChicken,0.851295719638993,0.22759311197085189,1.0,0.4185095265741278,0.624997298227889,0.5849637896531865,0.19964364533425605,0.0,-0.17029039429169618,0.22272776059648883,0.0,-0.04799745822064266,-0.07885296707676988,-0.04799745822064266,0.0,0.22272776059648883,0.0072931265417341224,-0.07885296707676988,0.0,0.0,0.11233360668901096,0.05500379735621792,0.0,-0.04799745822064266,0.0,0.11233360668901096,0.11233360668901096,0.0,0.11233360668901096
CBF,1.0,0.9940161932860493,0.7801561917883998,0.6611864570614442,0.6939725123349655,0.6922349546163452,0.7915546720715544,0.0,0.5900028099163194,0.8575314587958767,0.0,0.8528231370458869,0.9514800261778966,0.8528231370458869,0.0,0.8575314587958767,0.8575314587958767,0.9355848728079703,0.0,0.8532304559955054,0.8575314587958767,0.8581730803796281,0.0,0.8528231370458869,0.0,0.8575314587958767,0.8575314587958767,0.686526807792657,0.8575314587958767
Car,0.729500854846945,0.631210609805184,0.4523942784300969,0.4490704970388291,0.431604970714367,1.0,0.4347883743473788,0.0,0.8177686336630762,0.7394160893749965,0.0,0.62597721881034,0.6591611211395926,0.62597721881034,-0.006731494428275702,0.7394160893749965,0.7573337211570612,0.6591611211395926,0.0,0.6330505900377812,0.7394160893749965,0.7217315023174606,0.0,0.62597721881034,0.0,0.7394160893749965,0.7394160893749965,-0.005325557767871553,0.7394160893749965
ChlorineConcentration,0.3021553063881345,1.0,0.0869531395247903,0.09695130988941021,0.10564001474228611,0.12399524223333662,0.10904418883209152,0.0007451610373552132,0.000750203309660858,0.13024357924646837,0.0,0.0007512429303239349,0.0007451610373552132,0.0007512429303239349,-4.294864820730955e-07,0.13024357924646837,0.0007626577528574825,0.0007451610373552132,0.0,0.0007451610373552132,0.0007576283847516658,0.06668975774541659,0.037510293645870614,0.0007512429303239349,0.0,0.0007576283847516658,0.0007576283847516658,0.017363517265277777,0.0007576283847516658
CinCECGtorso,0.997854150491528,0.6528825933342532,1.0,0.18865657271388106,0.22588491559224538,0.21426358784642244,0.20936308001751405,0.0,0.9354592497890235,0.2419076094014138,0.0,0.24088331260050472,0.0,0.24088331260050472,0.0,0.2419076094014138,0.20397709468290237,0.0,0.0,0.2380257758707215,0.23810255838947703,0.22921123355287906,0.08642276905983048,0.24088331260050472,0.0,0.23810255838947703,0.23810255838947703,0.23927461594902688,0.23810255838947703
Coffee,0.24444934972806237,0.0,-0.07566289396344786,0.8274886017633388,1.0,0.08980639981623911,0.0,0.0,0.7337699143723561,0.7562619724047029,0.0,0.7562619724047029,0.7385906777389287,0.7562619724047029,0.687883249915685,0.7562619724047029,0.7562619724047029,0.7385906777389287,0.0,0.8204542424964341,0.7562619724047029,0.7562619724047029,0.0,0.7562619724047029,0.0,0.7562619724047029,0.7562619724047029,0.0,0.7562619724047029
Computers,0.6842397891190009,0.7128060765384256,0.26612008655406866,0.041940107770722386,0.1550328129735824,1.0,0.20546000682688,0.0,0.5924070049312723,0.06278245280965587,0.0,0.0,0.0,0.0,0.0,0.06278245280965587,-0.07195199881959298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537860513502718,0.0
DiatomSizeReduction,0.719032929746127,0.9162191053829987,0.22526239913266863,0.34617280689242885,0.35304582733445367,0.8939464515657056,0.4228327225998913,0.0,0.9629363968287149,1.0,0.0,0.7794214602072365,0.7712745590401027,0.7794214602072365,0.18199640157401067,1.0,0.7859268297971238,0.7712745590401027,0.0,0.818741262538124,0.9958422009655751,0.7961422758890935,0.0,0.7794214602072365,0.0,0.8260209114164677,0.9958422009655751,0.543025087286867,0.9958422009655751
DistalPhalanxOutlineAgeGroup,0.75353609285944,0.8981876797584696,0.5851726087201572,0.5129819666223789,0.44454074002885574,0.7659702537613823,0.5642283807258326,0.0,0.8118393033465604,0.9895824499236671,0.0,0.9891338425874021,0.9920299709041193,0.9891338425874021,0.040031804052011864,0.9895824499236671,0.9895824499236671,1.0,0.0,0.8843248869298579,0.9411810356066955,0.9759062950200194,0.0,0.9891338425874021,0.0,0.9411810356066955,0.9411810356066955,0.8125178334181291,0.9411810356066955
DistalPhalanxOutlineCorrect,0.7068215919685105,1.0,0.22141311588704402,0.2749827972023233,0.22440231831570862,0.526363613191166,0.11108242323146127,0.020413470490013626,0.6296071104401508,0.7097202353103871,0.02686582799816195,0.7081347456198109,0.8471612423390863,0.7081347456198109,0.8395819552730416,0.7097202353103871,0.7097202353103871,0.7247746646387988,0.0,0.7579172267823613,0.7097202353103871,0.700337164894475,0.020413470490013626,0.7081347456198109,0.0,0.7097202353103871,0.7097202353103871,0.6046558485701312,0.7097202353103871
DistalPhalanxTW,0.954284465553696,0.9578370570096902,0.7516908022911541,0.6217916560672492,0.6507440291238886,0.8440055656769334,0.7163351169591065,0.0,0.8500994257458405,0.9989896014812969,0.0,0.987495327500007,0.9752687305058987,0.987495327500007,0.09434279755391421,0.9989896014812969,0.9989896014812969,0.920659245215894,0.0,0.9872494999352334,0.9989896014812969,1.0,0.0,0.987495327500007,0.0,0.9989896014812969,0.9989896014812969,0.7571174555642197,0.9989896014812969
ECG200,0.9467764252295128,1.0,0.6454175465902697,0.5653040848339406,0.6731305877022992,0.7466921869008835,0.6002190778872031,0.0,0.7371598773416487,0.7892093668205605,0.11276532028616441,0.7835831334023038,0.7456644217119824,0.7835831334023038,0.667324650381034,0.7892093668205605,0.7892093668205605,0.7547526008686645,0.0,0.7879765500381118,0.7892093668205605,0.8022296671514777,0.0,0.7835831334023038,0.0,0.7892093668205605,0.7892093668205605,0.25381062666491594,0.7892093668205605
ECG5000,1.0,0.9822847147318579,0.9735201269551007,0.9004022005839124,0.9246127427251541,0.7520884259119829,0.9235498731802745,0.0017977668405277905,0.8674312521273474,0.8327563388351227,0.0017977668405277905,0.8356537917893385,0.9135703644889615,0.8361528514647399,0.0017975556722322073,0.8562099910045401,0.8327567478639778,0.9350365734104813,0.0,0.8367816990517841,0.8327560584360509,0.8343021134259292,0.8151277510285044,0.8361528514647399,0.0,0.8327560584360509,0.8327560584360509,0.8255867718000643,0.8327560584360509
ECGFiveDays,0.9862956159122922,1.0,0.9207929276823611,0.7731113526133884,0.8206358866560051,0.6062196249338023,0.8793072469970739,0.0,0.33286796288018733,0.6715546492400929,0.0,0.6630131907414573,0.8569488799436562,0.6630131907414573,0.0,0.6715546492400929,0.6715546492400929,0.8569488799436562,0.0,0.6836235885589484,0.6715546492400929,0.6675407763486745,0.0,0.6630131907414573,0.0,0.6715546492400929,0.6715546492400929,0.5782412647395799,0.6715546492400929
Earthquakes,0.7440247080949831,0.5991952341106177,0.4349595357323437,0.16308202737352093,0.06280132493317862,0.46085605563076976,0.24320981119738333,0.797797927015798,0.797797927015798,0.5977864711185534,-0.103286285564708,0.797797927015798,0.571352093049502,0.797797927015798,0.8612837983980474,0.3190146163821444,0.7595820636027734,0.5528326071589665,0.797797927015798,0.7869537916314424,0.8463023984200668,1.0,0.797797927015798,0.797797927015798,0.797797927015798,0.8463023984200668,0.8463023984200668,0.797797927015798,0.8463023984200668
ElectricDevices,1.0,0.9285006134935878,0.7719769875293063,0.2552627171632932,0.2842021621797846,0.6521738719633182,0.25266031884040635,0.0,0.35808321033585494,0.668411341502873,0.0,0.6917695839357861,0.6782102991647064,0.6792611401058904,3.9392997312155033e-13,0.668411341502873,0.668411341502873,0.6705944769532135,0.0,0.6630770118137391,0.6684113415028728,0.6872631090147417,0.06894220405842254,0.6792611401058904,0.0,0.6684113415028728,0.6684113415028728,0.6531500884455969,0.6684113415028728
FaceAll,0.9794568420189078,1.0,0.7639541401495904,0.6547967569898832,0.668601790497341,0.6645234498197732,0.7358009373515955,0.0,0.540453980857105,0.8696868249859593,0.0,0.8356817652814814,0.9134300218579365,0.8379355148298272,0.0,0.8696868249859593,0.8686897786066318,0.9109970444648903,0.0,0.8293983486394954,0.7713149891234699,0.8904159253335607,0.1499642458065313,0.8400415643556421,0.0,0.7713149891234699,0.7713149891234699,0.6160176785003927,0.7713149891234699
FaceFour,0.9021786842639173,0.980675657502844,0.8081376030931043,0.7868248868378711,0.9549922268782594,1.0,0.9462786058299312,0.0,0.9859089794695227,0.8813816732310663,0.0,0.8415166568855906,0.6907990339038358,0.8415166568855906,-0.030322995476085104,0.8813816732310663,0.8958855679208487,0.6907990339038358,0.0,0.8272487854977887,0.8249244124283297,0.8506647644703669,0.0,0.8415166568855906,0.0,0.8249244124283297,0.8249244124283297,0.00973823268474001,0.8249244124283297
FacesUCR,0.9894541722223745,1.0,0.7548129204424073,0.6459592181926777,0.6632606877834794,0.6890880884349226,0.7394179823352169,0.0,0.4226960783190721,0.8792333071873913,0.0,0.8352511310050157,0.9100981282935071,0.8491574782668208,-0.0001622235660887452,0.8792333071873913,0.8792448792987971,0.9122000503331719,0.0,0.8500799545318158,0.8118591371390502,0.8988423507078792,0.15393563804334506,0.8494079714085073,0.0,0.8118591371390502,0.8118591371390502,0.7384827199805841,0.8118591371390502
FiftyWords,0.7943780039647428,1.0,0.607415257236568,0.3739979559909352,0.3480067377141714,0.7953874179215865,0.4202294473226741,0.0,0.6945196412690486,0.8573030540175437,0.0,0.7910144724866137,0.7400918365136346,0.7910144724866137,0.0056401445004191884,0.8573030540175437,0.8546031957709601,0.7293956889236061,0.0,0.8400656618655503,0.8531333418419295,0.8425515523585486,0.0,0.7910144724866137,0.0,0.8531333418419295,0.8531333418419295,0.34600376194625326,0.8531333418419295
Fish,0.6555441595871264,1.0,0.20123885358575283,0.15998328347001262,0.22336681067605108,0.37214897079007353,0.3120288635989579,0.0,0.718345624303733,0.7642267506915087,0.0,0.7647836045054348,0.7756489855880178,0.7647836045054348,-0.004162873789144112,0.7642267506915087,0.7558568706529762,0.7756489855880178,0.0,0.7105132849349434,0.7601758819862463,0.744621215760777,0.0,0.7647836045054348,0.0,0.7601758819862463,0.7601758819862463,0.2525123022694644,0.7601758819862463
