dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,0.5115384615384614,0.043001443001443006
ArrowHead,0.7666666666666667,0.4142857142857143
Beef,0.31,0.28
BeetleFly,0.6333333333333333,0.4666666666666667
BirdChicken,0.6999999999999998,0.4666666666666667
CBF,0.9809782608695652,0.8043010752688173
Car,0.5454545454545454,0.4363636363636363
ChlorineConcentration,0.8896511627906978,0.5445514950166113
CinCECGtorso,0.8812056737588653,0.6330985915492958
Coffee,0.4833333333333333,0.4833333333333333
Computers,0.5744897959183674,0.4791111111111112
DiatomSizeReduction,0.853125,0.3125
DistalPhalanxOutlineAgeGroup,0.7933962264150941,0.7074074074074075
DistalPhalanxOutlineCorrect,0.7609195402298851,0.7137931034482758
DistalPhalanxTW,0.7305031446540879,0.6541666666666666
ECG200,0.8710526315789474,0.7947368421052633
ECG5000,0.9320641282565132,0.9143428571428572
ECGFiveDays,0.984659090909091,0.8693181818181818
Earthquakes,0.7804347826086955,0.8021739130434782
ElectricDevices,0.6941757580963834,0.7032103962049843
FaceAll,0.9000000000000001,0.7102222222222223
FaceFour,0.85,0.3666666666666667
FacesUCR,0.9120535714285716,0.6955357142857144
FiftyWords,0.573888888888889,0.2751190476190476
Fish,0.6955882352941176,0.18529411764705886
FordA,0.8498983739837399,0.7235772357723578
FordB,0.8193693693693695,0.6617977528089888
GunPoint,0.8947368421052632,0.5263157894736842
Ham,0.7238095238095239,0.4878787878787879
HandOutlines,0.6386029411764707,0.6375000000000001
Haptics,0.4018115942028985,0.16759834368530022
Herring,0.5333333333333333,0.6175824175824176
InlineSkate,0.35078125,0.15897435897435902
InsectWingbeatSound,0.6376712328767122,0.4872146118721462
ItalyPowerDemand,0.9541284403669726,0.8981651376146791
LargeKitchenAppliances,0.5432432432432432,0.37200000000000005
Lightning2,0.6499999999999999,0.4
Lightning7,0.6357142857142856,0.3
Mallat,0.9585774058577406,0.20458333333333334
Meat,0.4954545454545454,0.3272727272727273
MedicalImages,0.6903508771929824,0.5441520467836258
MiddlePhalanxOutlineAgeGroup,0.7090909090909092,0.6390909090909089
MiddlePhalanxOutlineCorrect,0.7825842696629214,0.6247191011235955
MiddlePhalanxTW,0.6145454545454546,0.3840909090909091
MoteStrain,0.9440944881889765,0.8445444319460068
NonInvasiveFetalECGThorax1,0.8085106382978723,0.1953580901856764
NonInvasiveFetalECGThorax2,0.84375,0.2521276595744681
OSULeaf,0.5568181818181818,0.2733333333333333
OliveOil,0.25,0.26
PhalangesOutlinesCorrect,0.7822641509433963,0.6526415094339623
Phoneme,0.18,0.1266456029489205
Plane,0.8674999999999999,0.25
ProximalPhalanxOutlineAgeGroup,0.8258333333333333,0.6548148148148147
ProximalPhalanxOutlineCorrect,0.8028089887640449,0.7359550561797753
ProximalPhalanxTW,0.7716666666666667,0.56
RefrigerationDevices,0.4425675675675675,0.3432592592592593
ScreenType,0.3966216216216216,0.3413333333333334
ShapeletSim,0.4763157894736842,0.4842105263157896
ShapesAll,0.6121848739495799,0.06583333333333334
SmallKitchenAppliances,0.5513513513513513,0.41259259259259257
SonyAIBORobotSurface1,0.9629032258064516,0.8274193548387098
SonyAIBORobotSurface2,0.9577319587628866,0.8934402332361518
StarlightCurves,0.9561213434452872,0.8540628385698809
Strawberry,0.9122448979591836,0.5640306122448979
SwedishLeaf,0.8156250000000002,0.384070796460177
Symbols,0.9351485148514852,0.6643564356435643
SyntheticControl,0.9110169491525424,0.6820833333333334
ToeSegmentation1,0.7625,0.4759615384615384
ToeSegmentation2,0.7906249999999999,0.7117647058823531
Trace,0.7710526315789474,0.5222222222222223
TwoLeadECG,0.969396551724138,0.8413793103448277
TwoPatterns,0.9793587174348698,0.925250501002004
UWaveGestureLibraryAll,0.9472595078299778,0.7973214285714286
UWaveGestureLibraryX,0.760682326621924,0.2483183856502242
UWaveGestureLibraryY,0.6757829977628634,0.5543624161073826
UWaveGestureLibraryZ,0.6913870246085011,0.5807606263982102
Wafer,0.9949022346368716,0.9841247672253258
Wine,0.45,0.5
WordSynonyms,0.6233333333333333,0.3113095238095238
Worms,0.5219999999999999,0.4379120879120879
Yoga,0.8693009118541033,0.6252525252525252
airlinesnorm,0.611822524627041,0.5544149189336202
bankmarketingnorm,0.883012607830126,0.8828135368281356
breast,0.9500000000000002,0.86
carnorm,0.6979651162790697,0.6955684007707129
electricity,0.7750055175457957,0.7535540838852097
higgs200k,0.559857992899645,0.6194147192497027
ozone,0.9367588932806324,0.9367588932806324
pendigits,0.9557779799818016,0.937306642402184
spambase,0.9808695652173914,0.9030434782608696
susy100k,0.7415291529152915,0.7625962596259627
mean,0.7357744643288672,0.5567242247423474
