dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,11.895844088797105,1.0
ArrowHead,1.8505747126436782,1.0
Beef,1.107142857142857,1.0
BeetleFly,1.357142857142857,1.0
BirdChicken,1.4999999999999996,1.0
CBF,1.2196654847709834,1.0
Car,1.2500000000000002,1.0
ChlorineConcentration,1.6337319260569827,1.0
CinCECGtorso,1.3918932777948705,1.0
Coffee,1.0,1.0
Computers,1.1990742493657942,1.0
DiatomSizeReduction,2.73,1.0
DistalPhalanxOutlineAgeGroup,1.1215548750370439,1.0
DistalPhalanxOutlineCorrect,1.066022544283414,1.0
DistalPhalanxTW,1.1166927052037015,1.0
ECG200,1.096026490066225,1.0
ECG5000,1.0193814289412524,1.0
ECGFiveDays,1.1326797385620917,1.0
Earthquakes,1.0,1.0278551532033426
ElectricDevices,1.0,1.0130149144553482
FaceAll,1.2672090112640801,1.0
FaceFour,2.318181818181818,1.0
FacesUCR,1.3112965340179719,1.0
FiftyWords,2.0859656714265116,1.0
Fish,3.753968253968253,1.0
FordA,1.1745786516853933,1.0
FordB,1.2380963306260422,1.0
GunPoint,1.7000000000000002,1.0
Ham,1.4835847382431235,1.0
HandOutlines,1.0017301038062283,1.0
Haptics,2.3974675725756636,1.0
Herring,1.0,1.157967032967033
InlineSkate,2.2065272177419346,1.0
InsectWingbeatSound,1.3088097469540765,1.0
ItalyPowerDemand,1.062308478038815,1.0
LargeKitchenAppliances,1.4603312990409762,1.0
Lightning2,1.6249999999999998,1.0
Lightning7,2.1190476190476186,1.0
Mallat,4.6855107414634976,1.0
Meat,1.5138888888888886,1.0
MedicalImages,1.2686727565824822,1.0
MiddlePhalanxOutlineAgeGroup,1.1095305832147941,1.0
MiddlePhalanxOutlineCorrect,1.2526978417266188,1.0
MiddlePhalanxTW,1.6,1.0
MoteStrain,1.1178742674480555,1.0
NonInvasiveFetalECGThorax1,4.138608426860799,1.0
NonInvasiveFetalECGThorax2,3.346518987341772,1.0
OSULeaf,2.037139689578714,1.0
OliveOil,1.0,1.04
PhalangesOutlinesCorrect,1.1986123156981787,1.0
Phoneme,1.421288981288981,1.0
Plane,3.4699999999999998,1.0
ProximalPhalanxOutlineAgeGroup,1.261170814479638,1.0
ProximalPhalanxOutlineCorrect,1.0908396946564884,1.0
ProximalPhalanxTW,1.3779761904761905,1.0
RefrigerationDevices,1.2893099184639965,1.0
ScreenType,1.1619774070945945,1.0
ShapeletSim,1.0,1.0165745856353594
ShapesAll,9.299010743537922,1.0
SmallKitchenAppliances,1.3363093793973506,1.0
SonyAIBORobotSurface1,1.1637426900584793,1.0
SonyAIBORobotSurface2,1.0719597384750206,1.0
StarlightCurves,1.1194976531777243,1.0
Strawberry,1.6173677069199457,1.0
SwedishLeaf,2.123631912442397,1.0
Symbols,1.4076005961251865,1.0
SyntheticControl,1.335638777010447,1.0
ToeSegmentation1,1.6020202020202021,1.0
ToeSegmentation2,1.1107954545454541,1.0
Trace,1.4764837625979843,1.0
TwoLeadECG,1.1521516393442621,1.0
TwoPatterns,1.0584795321637428,1.0
UWaveGestureLibraryAll,1.188052238263802,1.0
UWaveGestureLibraryX,3.0633346968250845,1.0
UWaveGestureLibraryY,1.2190274414850684,1.0
UWaveGestureLibraryZ,1.1904853620955316,1.0
Wafer,1.0109513222006719,1.0
Wine,1.0,1.1111111111111112
WordSynonyms,2.0022944550669215,1.0
Worms,1.1920200752823085,1.0
Yoga,1.3903197136277259,1.0
airlinesnorm,1.103546285882495,1.0
bankmarketingnorm,1.0002254960914008,1.0
breast,1.1046511627906979,1.0
carnorm,1.0034456934870835,1.0
electricity,1.028467012679416,1.0
higgs200k,1.0,1.1063782728930929
ozone,1.0,1.0
pendigits,1.0197068245801375,1.0
spambase,1.086181993259509,1.0
susy100k,1.0,1.0284103553148878
mean,1.692533487353022,1.0055089167646174
