dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,15.730788276018085,1.0
ArrowHead,3.2353839093265155,1.0
Beef,4.772584095380675,1.0
BeetleFly,3.1549613610108564,1.0
BirdChicken,2.8071264144110804,1.0
CBF,13.966491903127737,1.0
Car,10.808115900299677,1.0
ChlorineConcentration,29.566461883640006,1.0
CinCECGtorso,83.11824493233473,1.0
Coffee,1.0,1.4579952387513524
Computers,28.48561632556924,1.0
DiatomSizeReduction,4.429951950629172,1.0
DistalPhalanxOutlineAgeGroup,3.644534955703943,1.0
DistalPhalanxOutlineCorrect,8.786016007536764,1.0
DistalPhalanxTW,5.935032554398684,1.0
ECG200,1.3014530014694772,1.0
ECG5000,30.67078168498012,1.0
ECGFiveDays,8.365004943037981,1.0
Earthquakes,22.121966162262016,1.0
ElectricDevices,22.869818583076775,1.0
FaceAll,21.544674971698075,1.0
FaceFour,2.115000677711945,1.0
FacesUCR,19.49896516846363,1.0
FiftyWords,21.71773171769922,1.0
Fish,5.291198913441088,1.0
FordA,58.38946927812313,1.0
FordB,49.78765411467224,1.0
GunPoint,1.0988745060602607,1.0
Ham,6.22208670784585,1.0
HandOutlines,110.21852972799422,1.0
Haptics,36.38136204710326,1.0
Herring,2.9480297431296743,1.0
InlineSkate,62.85283295119085,1.0
InsectWingbeatSound,28.509948112909704,1.0
ItalyPowerDemand,4.3980108942167675,1.0
LargeKitchenAppliances,41.15052301970774,1.0
Lightning2,3.6628892160884083,1.0
Lightning7,2.520638764162079,1.0
Mallat,59.08456735583694,1.0
Meat,8.892689955642675,1.0
MedicalImages,9.404127095771173,1.0
MiddlePhalanxOutlineAgeGroup,5.417578287526312,1.0
MiddlePhalanxOutlineCorrect,8.724084435314463,1.0
MiddlePhalanxTW,5.629745158428351,1.0
MoteStrain,13.601280839453743,1.0
NonInvasiveFetalECGThorax1,76.45443560790395,1.0
NonInvasiveFetalECGThorax2,53.76080371947576,1.0
OSULeaf,18.199371654368147,1.0
OliveOil,4.796475277800529,1.0
PhalangesOutlinesCorrect,17.610396938455775,1.0
Phoneme,55.87983551836973,1.0
Plane,1.5861692886154208,1.0
ProximalPhalanxOutlineAgeGroup,7.076593126755513,1.0
ProximalPhalanxOutlineCorrect,9.079085654197584,1.0
ProximalPhalanxTW,6.037629909290452,1.0
RefrigerationDevices,28.433735362942627,1.0
ScreenType,40.7038912969826,1.0
ShapeletSim,16.51619657866216,1.0
ShapesAll,44.35690234561029,1.0
SmallKitchenAppliances,40.58008032037776,1.0
SonyAIBORobotSurface1,6.724731931840986,1.0
SonyAIBORobotSurface2,6.35243507254817,1.0
StarlightCurves,48.75921845895998,1.0
Strawberry,22.106368159130987,1.0
SwedishLeaf,13.985360961217099,1.0
Symbols,18.7308810792001,1.0
SyntheticControl,5.569806889373629,1.0
ToeSegmentation1,4.70794182988593,1.0
ToeSegmentation2,3.1678421759939037,1.0
Trace,3.8118254579722515,1.0
TwoLeadECG,7.885798273429145,1.0
TwoPatterns,26.126953413482813,1.0
UWaveGestureLibraryAll,52.482798629608574,1.0
UWaveGestureLibraryX,56.05979080543096,1.0
UWaveGestureLibraryY,47.02730455116755,1.0
UWaveGestureLibraryZ,47.84785231534306,1.0
Wafer,34.42743412243867,1.0
Wine,1.5163689169952026,1.0
WordSynonyms,21.860152177330157,1.0
Worms,13.673321241101537,1.0
Yoga,58.797028796932416,1.0
airlinesnorm,6.359938579945661,1.0
bankmarketingnorm,12.449801388242243,1.0
breast,3.5692373012197005,1.0
carnorm,4.923857493185987,1.0
electricity,11.296672783597518,1.0
higgs200k,5.297249124272826,1.0
ozone,15.675184638078441,1.0
pendigits,11.265764022939425,1.0
spambase,14.36784417359097,1.0
susy100k,9.932901980159537,1.0
mean,21.007297778558566,1.0050329147115533
