dataset,keras_parallel_3_Dilated_Conv_pooling,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,2.1755414009094243,0.10650372505187987,0.23327207565307614,0.2337667942047119,0.07510972023010254,0.2147150039672852,0.000173017,0.058287215999999996,0.28294058699999997,0.000597959,7.906374084999999,6.053188212999999,4.819375452000001,2.3155668680000003,0.516653138,2.008551453,6.968932411000002,0.0007944819999999997,0.8907078620000001,0.5813509579999999,9.509171451,0.005879875999999999,6.290714993,0.00019266400000000002,0.575373911,0.5797870119999999,0.118181418,0.653301086
CBF,2.622751474380493,0.08165216445922853,0.043486833572387695,0.04210710525512695,0.04127669334411621,0.04033637046813965,0.000168773,0.006480893000000001,0.018864340000000004,0.000588903,0.58347898,0.4823148110000001,0.39206308100000004,0.6568206740000001,0.037815741,0.173595522,0.688595101,0.000912229,0.072486224,0.047184881000000005,0.8425317550000001,0.0018534279999999998,0.5121219189999999,0.00019764300000000006,0.054965029000000006,0.058697665,0.017776611,0.056297223000000014
ChlorineConcentration,12.003190279006958,0.4246063232421875,0.22328996658325195,0.214489221572876,0.21308493614196775,0.2069275379180908,0.0008057520000000001,0.018465945,0.114275785,0.003968105,1.2901965750000002,1.087107878,1.114148064,3.3888057720000004,0.22807162399999997,0.690600358,1.394827908,0.004325016,0.188609811,0.155410416,2.925892865,0.015759392,1.114929601,0.0010553910000000001,0.16875122899999997,0.158232153,0.112634262,0.161039608
CinCECGtorso,5.7794716358184814,1.2218790054321291,0.3802480697631836,0.3411376476287842,0.44619083404541016,0.3015134334564209,0.000665525,0.07535011999999999,0.540160462,0.008888548999999999,15.566626496999998,9.416394397000001,10.642233863,8.272106792999999,0.993480965,4.304472412,10.364965645,0.002241111,1.7451772069999998,1.200414735,22.071267726,0.07948735400000001,13.576062551,0.0008940660000000001,1.209880458,1.208453254,0.4869546029999999,1.217682806
DistalPhalanxOutlineCorrect,2.5947265625,0.06678080558776855,0.02080106735229492,0.019963502883911133,0.036028146743774414,0.019431591033935547,0.000136192,0.003107355,0.008208924,0.000431244,0.249685955,0.249934822,0.180791638,0.250472625,0.015412853999999998,0.07446069400000001,0.39676514399999996,0.0008415820000000001,0.036345877,0.021737941,0.508511313,0.001164764,0.26303323999999995,0.0006241630000000001,0.026992659,0.021883455,0.007085845,0.022199867
ECG5000,13.896250247955322,0.4799180030822754,0.32266759872436523,0.30776286125183105,0.24624347686767575,0.2936010360717773,0.00088129,0.044040131,0.18705483,0.003158702,4.998118591000001,3.814287342,3.231002821,5.818047099,0.349943798,1.392700773,5.224998069,0.005090814,0.615810273,0.42475414,7.15641443,0.016960311000000002,4.41098155,0.001187664,0.432383712,0.39424407200000006,0.171608182,0.410413876
ECGFiveDays,2.3163537979125977,0.07527661323547362,0.02262592315673828,0.021924972534179688,0.038484811782836914,0.02118515968322754,0.000137498,0.0046194190000000005,0.014809495,0.0005442769999999999,0.46952303,0.410025165,0.300747094,0.4490788160000001,0.025864953,0.13591944500000006,0.4664401130000001,0.0008621560000000001,0.056313302,0.040850119,0.6105121339999999,0.001882817,0.38982030799999995,0.000183683,0.046758354000000016,0.035052096000000005,0.012152404,0.039804117
ElectricDevices,52.804280757904046,1.579894781112671,1.3011970520019531,1.2684130668640137,0.8445944786071777,1.2051382064819336,0.0023422910000000003,0.16201305700000002,0.5443207830000001,0.00775359,15.544264304,11.906320429,10.207772058,18.487060997,1.066034909,4.351374921000001,17.517870442,0.015781398999999998,1.7664482380000002,1.2081616240000002,21.967376456999997,0.045780719000000004,13.572148792999997,0.00334941,1.210509322,1.218299469,0.5880744070000001,1.188035472
FaceAll,5.790451526641847,0.21236538887023929,0.2656493186950684,0.25288891792297363,0.1295614242553711,0.23805737495422366,0.00045798,0.054763916,0.220009428,0.0013473810000000001,5.833736106,5.36091751,3.8900599660000004,7.026218672000001,0.409949003,1.667056157,6.335839949999999,0.00217141,0.741369665,0.5022381979999999,7.583296537000001,0.013246918,5.450816187,0.00047357,0.5124966670000001,0.479132369,0.17477945600000006,0.463587367
FacesUCR,5.808412313461304,0.21623659133911133,0.2591683864593506,0.25115966796875,0.12985706329345706,0.23615813255310056,0.00044854,0.055018776,0.20672325800000002,0.001645059,5.737207205,5.4146865889999996,3.762024488,6.486949575999999,0.39474275600000003,1.66237135,6.344353783,0.002189763,0.7145190950000001,0.4887018520000001,7.502576328,0.012186964,4.989921125,0.000478089,0.491595956,0.46246224,0.18035921800000002,0.470126297
