dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,11255.037961702637,230446.0208958058,748.9030355159929,1362.6320274530553,1320.4058044792923,463.1182309924169,1228.2233028342353,1.0,420.42855340622367,2129.8805018222597,4.34587888982338,77981.11597981496,66842.58870199046,40486.471054107096,75683.19697224558,3659.1840061676476,16131.777768432854,79849.03537987104,5.016666666666667,6746.435688253434,4773.006097560975,73258.95604149144,42.56307821698906,59539.07987104008,3.4328847771236335,4914.626478833754,4568.045430333613,1557.1869638351554,4304.85731707317
CBF,18087.663652515468,285409.6666687346,894.3036494458346,463.3762123045423,436.02680548742205,447.46186939955135,435.57233006080327,1.0,40.20110495452563,167.24090916433772,5.853125050482206,4787.952215563058,4021.9354473935027,3057.12598743195,4936.857195935577,322.488183125212,1440.9966399043662,6978.516469314895,7.807731450818214,571.2029950083194,403.8470994943701,6944.139670129072,16.359368689724242,4323.061547905593,8.860830654410933,399.1360677188504,457.71125793580273,184.78875014135016,418.04713826470436
ChlorineConcentration,25839.971560425296,344498.5406485881,880.8863824372039,464.83247625327726,442.0005581537022,439.10107851351063,430.2999163512771,1.0,33.65009364005412,215.89509932340997,6.661590257104194,2006.0085109607576,1874.828932070365,1935.0333510148848,2962.0126484438433,423.9659063599458,1412.8151902571042,2896.8762089309876,8.27918592692828,382.16952638700945,326.3592746955345,6047.330611096076,29.86864627875507,1930.0316535859265,10.895222733423545,322.2435875507443,282.64202652232746,222.87298728010822,273.0036611637347
CinCECGtorso,21885.38747110073,1288320.6950277833,3049.6344713355834,947.1335419085088,811.3752597183889,1260.1714333350922,820.990301204906,1.0,173.79228769769594,1420.7582376592168,25.241043803301345,44146.37138179077,28932.280056854772,29170.67702721804,51290.062909330765,2827.5025796673526,15250.553478035525,34273.92537418919,5.605715317805594,4798.521905577107,3851.614192489516,60171.0260911561,183.91940600901506,37896.19101317711,30.07834414411584,4731.138650248935,3177.5715592655993,1478.5046724568485,3170.834076738232
Computers,8207.852723168546,852681.0159169539,1684.6757303635466,496.0446502899956,478.7914088514985,794.5145600294342,483.70495333883747,1.0,67.33629976580796,457.85761124121785,17.97570257611241,13906.77324355972,7409.545550351288,8810.639110070259,8836.703395784545,928.1846604215457,5251.8023419203755,10551.843676814988,7.230913348946136,2706.1296252927405,1408.0802693208432,18600.36323185012,58.937704918032786,10776.56844262295,26.26861826697892,1440.5212529274004,910.152400468384,460.4855386416862,1389.871604215457
DistalPhalanxOutlineAgeGroup,6727.213408594844,226140.3803114721,843.4795182831557,497.6031093295708,456.85092478181,422.5592583622767,419.87002790988635,1.0,76.57284922912635,112.37676032837214,3.751985583661483,3115.591537075352,1682.9489421344188,2626.705866648868,2692.9073616765663,217.13395181205362,878.5528932790496,2988.1603817660016,8.13728892745111,392.4173396516051,243.83094173396512,4557.498431555763,11.835613695521591,3255.2562904625242,7.369819128345457,244.74137355669754,244.20389775078422,126.8466929186411,244.3470600013348
DistalPhalanxOutlineCorrect,20117.020598566967,260855.98281686404,891.0409803312967,279.6877901138624,265.13427000831234,479.22850750747523,271.0020301956387,1.0,29.603128313891837,88.38960321668434,4.957626369741958,2993.9471765641565,1653.783912159774,2137.2994653587843,2318.756517320608,167.10416666666669,743.0317470837753,3953.843871509367,9.111656062212797,305.11536762106755,188.8663617886179,5606.234336337927,12.63390332272888,2188.872017497349,6.884057971014492,209.02821226581833,209.3370227995758,88.21478437610463,207.6897534464475
DistalPhalanxTW,6207.844403416896,216906.6869381877,731.5108411092978,755.776609684349,547.6551751620411,524.4335982983122,520.3503411585153,1.0,67.17198326578637,217.34161328278205,3.8796574715649097,7234.083671068113,3761.375016342005,3985.957837625833,7453.789972545429,424.74689501895676,1699.1204732644787,6056.587135573276,7.959275722316641,748.2009412995163,475.9433259249575,8835.255719701923,12.613478886128904,5307.5190220943905,5.564779709765983,476.8565825598117,470.41286442672236,246.55092168910963,481.7501634200548
ECG5000,22520.895733909838,277804.68815017666,862.4947576696934,551.960611833168,546.3073560568911,438.81448669559063,514.7265688988521,1.0,64.10710171962121,268.86175923943887,5.035726056627559,7674.356124005722,5579.996899517176,5003.261755501871,9169.042451980742,524.867416558787,2301.5475435681547,9710.439694334866,7.218231518574016,957.3922051313418,644.1390086609651,9668.720767968362,25.03610321125076,6634.138364779875,8.734411791688329,652.222262995695,602.2405821772355,287.22290178010195,642.4219867554169
ECGFiveDays,16405.956181727877,256511.45483441555,634.9443389137156,184.99371575569444,179.33357959514856,325.9001939219016,177.18393591835618,1.0,27.037585132859423,103.6796620020566,5.49444866693492,3230.9855143738546,2523.3721256017056,2196.0687471125616,2693.0314749407607,202.3441975529426,916.6541333214111,4865.220190459158,6.77675444479218,370.956140743059,252.88918197940424,8573.653313661496,14.971878213439444,2747.5725697083503,7.9579439948734,251.98558888839216,253.50131890731885,102.62158537130595,255.34449561109378
Earthquakes,6658.087369497137,732186.2701728157,2955.0960549775496,568.6827103609555,488.0218220732515,970.1347651207758,1183.9799108137588,1.0,30.018292682926838,321.9089299763966,12.762588512981907,3929.71075924469,3701.122639653815,3416.2351494885925,7080.860837922895,661.1566679779704,2272.306648308419,19744.161782061376,9.48259244689221,557.6610936270653,551.6805664830844,13463.018095987414,43.25806451612904,3137.184598741149,21.439024390243905,554.2487214791503,543.1643391030688,315.3908339889851,546.4954760031472
ElectricDevices,27296.996340073856,248643.80228489073,971.2808646046794,782.0975767031453,770.8518611566451,517.10867584945,734.3075871234369,1.0,85.09764036214342,291.78718662293045,4.498888175988435,8941.985706408548,6097.987470555269,5556.952805551453,9570.949152657044,571.417053531056,2277.312454684151,8589.538727784662,8.090950248694508,967.7611343085659,669.0935882935981,11839.349515860407,22.879416709609835,7515.018957388724,5.519175017562534,695.3460405646621,657.7727143052059,316.2575225719444,646.1584574738592
FaceAll,19671.574982358878,263823.4361301922,885.9565148954642,1020.0229568928885,997.0962803149167,526.3867446000811,947.6790963027133,1.0,182.28325494122691,704.9145077284239,4.84033252837682,21978.687463713854,18602.639111630917,13513.473937078763,23286.39534443444,1350.2736164985233,5831.673079673866,23829.902454416188,7.36513752976516,2417.6759867729097,1786.7144521948385,24979.64589766675,40.0448097133289,18224.989797807262,4.2020034161569075,1803.6385226383502,1588.0147458497058,688.9010197985646,1599.239854602977
