dataset,keras_parallel_3_Dilated_Conv_pooling,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,2.1755414009094243,1.9471185207366943,25.50277709960937,0.08034276962280272,0.2247614860534668,0.22480201721191406,0.04297065734863281,0.2056872844696045,9.518e-05,0.031015728000000006,0.006073326999999999,0.000437338,5.028027766999999,4.407126104999999,2.110271475,1.8969217970000003,0.26094701200000003,1.1986251509999999,5.121393188000001,0.00015186099999999996,0.60979267,0.30788346899999997,6.780698601999999,0.005714922999999999,3.664267066,0.000121922,0.305591517,0.311160215,0.011560831,0.34459655200000006
CBF,2.622751474380493,2.1750705242156982,24.83263325691223,0.06744623184204103,0.0370173454284668,0.035531282424926765,0.028013229370117188,0.03381967544555664,0.000113805,0.00398821,0.001894208,0.000430336,0.401805166,0.32410561400000004,0.21196977,0.468212406,0.020142056,0.115342023,0.50168239,0.00015597,0.053119042000000005,0.029078692000000007,0.6547498650000001,0.001813251,0.33085984899999993,0.00012181200000000002,0.035247522999999996,0.03616395,0.0019902540000000003,0.035854706
ChlorineConcentration,12.003190279006958,10.890831470489502,166.36804294586182,0.35159945487976074,0.19022607803344727,0.18069171905517575,0.1445906162261963,0.1730947494506836,0.0005160470000000001,0.017806185999999998,0.011395165,0.0028272540000000004,1.259861585,1.086335256,1.084782547,2.484329874,0.12278485800000001,0.467302784,1.3938372250000002,0.000784797,0.18807804500000005,0.148819943,2.887089455,0.015466502,1.085916138,0.000630367,0.162144621,0.15175463700000005,0.012245598,0.154497568
CinCECGtorso,5.7794716358184814,5.22316575050354,395.9547834396362,1.0650246143341064,0.2773821353912353,0.23569488525390625,0.26587677001953125,0.21901345252990725,0.000484949,0.041977279000000006,0.057552547,0.006404551999999999,10.621103963,9.416225465,5.638358502000001,8.271657541,0.5209961009999999,2.7893896989999996,10.364787905,0.000647126,1.2551966220000002,0.725082497,16.680953474000003,0.07929908799999999,8.548468524,0.000622677,0.733774727,0.728574295,0.050320064000000005,0.7379123170000002
DistalPhalanxOutlineCorrect,2.5947265625,2.4602749347686768,16.87453055381775,0.05629754066467285,0.015245437622070312,0.014467954635620115,0.02528047561645508,0.01390361785888672,9.829600000000001e-05,0.00206029,0.001331055,0.000328526,0.17393214,0.19044871600000002,0.106005277,0.20710954400000006,0.008446628000000001,0.052452491,0.322299188,0.00013651600000000002,0.027797061,0.01456092,0.451290872,0.0011304960000000001,0.183014108,0.0005030049999999999,0.018504516,0.014678141,0.000914797,0.014865086999999999
ECG5000,13.896250247955322,13.69352912902832,171.36510181427005,0.397711992263794,0.28495240211486816,0.2696363925933838,0.1675868034362793,0.255018949508667,0.0006040139999999999,0.029060432,0.012775622,0.002290802,3.2577437290000004,2.449966227,1.4884452329999998,4.015960829,0.184573705,0.8624784459999999,3.700788705,0.000903324,0.432673555,0.240450457,5.4385495200000005,0.016650641,2.625207583,0.000725055,0.245021113,0.222238059,0.017037026,0.230625935
ECGFiveDays,2.3163537979125977,2.4058187007904053,24.808852434158325,0.06300663948059082,0.01634049415588379,0.01558041572570801,0.026219844818115238,0.01496005058288574,9.5885e-05,0.0029537570000000004,0.0025315730000000005,0.000397053,0.328097968,0.280557553,0.178556235,0.34847662300000004,0.01394217,0.094468207,0.3149119240000001,0.000143786,0.042258741,0.026841152000000004,0.486819135,0.001838671,0.26120888,0.000112458,0.031856280000000015,0.022817617999999998,0.001476238,0.026054114
ElectricDevices,52.804280757904046,54.19038152694702,447.2326378822327,1.318995475769043,1.1819055080413818,1.1447346210479736,0.5854992866516113,1.0791234970092771,0.0015609410000000002,0.088101333,0.027587302,0.005595158,10.064513576,10.116421957,4.5992920979999985,12.769214754999998,0.548461889,2.660447424,14.165588284000002,0.0024766830000000004,1.227226657,0.664403325,16.406711817999998,0.044975372,8.011873525999999,0.002138766,0.6641775440000001,0.670707298,0.058916747,0.650803238
FaceAll,5.790451526641847,5.992988586425781,69.83779287338257,0.17605018615722656,0.24845528602600095,0.23581910133361814,0.08371329307556152,0.22078967094421387,0.00028637300000000003,0.029685486,0.008012098,0.000988203,3.835978853,3.410642435,1.834845893,4.816026199,0.20907670700000006,1.024531186,4.303520926999998,0.00035908699999999996,0.537997792,0.301677538,5.7122731589999995,0.013084178,3.307014812,0.000290543,0.30894486600000004,0.26764164,0.016503036000000002,0.25982329800000004
FacesUCR,5.808412313461304,5.99959135055542,69.95616507530211,0.17931365966796875,0.2422630786895752,0.2339522838592529,0.08344435691833496,0.21844720840454104,0.00027517599999999997,0.030074099,0.0067794019999999995,0.001185523,3.776843808,3.4217419180000004,1.7894231799999998,4.451810891999999,0.20110535100000002,1.023540773,4.349151812,0.000366504,0.5302925680000001,0.27425938699999997,5.642545647,0.012032207,3.007789692,0.00029352,0.276110338,0.257815908,0.016945218999999997,0.262532487
