dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,11808.748272039442,442867.6387936946,948.8489944286486,2535.8580945118442,2451.7338563496032,495.13343913288173,2274.98791715669,1.0,414.191850410722,63.24156939040208,6.008727842628621,93010.82884781668,78932.67739407696,32565.0028102032,98083.43239299611,3547.6443201469947,18191.548989407693,93889.49094790315,1.6626134889753565,8913.698092304365,4734.685635538262,99922.25537721574,80.8053934284479,64788.81328361435,4.004404453091223,4898.343331171638,4513.476167315174,249.25256701253787,4248.631917423259
CBF,17051.019898234514,446533.44365882635,1166.3231408490278,619.9608284257664,578.7497690875268,467.6751159745327,574.5555360356514,1.0,38.03059569074779,23.144613434727503,6.998377693282638,4908.128060836502,3938.0253992395446,2257.752192648923,5635.047579214196,265.3354879594424,1424.4965019011408,7459.473662864387,2.0063371356147024,635.8643346007605,356.80544993662863,8290.302686945503,25.12902408111534,4060.15918884664,11.093079847908745,351.2172116603295,407.60585551330803,30.534093789607102,369.0542205323194
ChlorineConcentration,26854.757229806808,524941.6086094726,1119.9888487930345,607.6095973993545,570.431626148454,458.0040528767699,553.0798028844558,1.0,46.01124814736396,28.99131246030065,7.582343055261487,3042.4948688598347,2862.398584718399,2934.002243012915,4522.869911867458,347.5568891594325,1487.6284339932245,4421.482866424941,2.224661893923354,582.4281144135084,497.56735986131696,9179.422996506459,45.00557444950243,2925.853125661655,13.56250992483591,491.16999920601313,431.21647059601946,36.52712457654033,416.45509011750994
CinCECGtorso,17522.579233247106,2025490.347034647,4044.9294259228063,1077.923669378965,918.9936694739764,1102.7290341503087,940.6158362946247,1.0,144.16087080144885,168.71484466751554,29.64556625582574,44458.848277311445,45544.46168918669,20877.73124327799,54594.75692598681,2356.1410292863234,15099.769751888343,53954.41977475862,2.127078414162268,5276.207025503455,3360.945630539862,69882.15624729574,288.8051822823305,34773.17428391292,36.088019680805026,4146.153601760393,2777.07379683772,231.41441569519478,2769.5793598793434
Computers,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DistalPhalanxOutlineAgeGroup,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DistalPhalanxOutlineCorrect,17756.155123108892,381027.47998901154,1106.0258354608463,301.43554875361326,284.03983710168654,494.58819966676964,287.0369668179155,1.0,24.673578486959343,15.749748906528431,5.484237809816944,2841.6893244775633,1852.8393973756683,1490.2740968734815,2645.4098493439174,130.52379718127332,700.0684594200552,4915.212765268103,1.8671958529078245,319.7888870889357,158.0848857929694,7733.075133646525,18.02109185161186,1939.8823910578326,8.016782763648147,177.63359792645392,176.91219828284466,14.956714725417141,175.4961283006642
DistalPhalanxTW,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ECG5000,24278.001496458586,434484.6230196219,1129.5212162543382,763.6297388896689,751.5646668828667,471.840749645127,700.3529085237496,1.0,61.712442246510804,23.522794975779505,5.710715637006998,7820.7693057857405,5640.6360717502175,3542.542677630282,9887.660766529356,428.2732412830201,2221.1890903858757,11139.886789838583,1.8820949528646262,1044.3566914111839,555.7950557151307,11785.122722500813,38.64376155735914,6130.7790286222835,11.092871873850926,562.9532216721467,516.6827887940912,43.65678040617955,555.5656831032076
ECGFiveDays,16062.380719443287,407760.0047805505,855.4156231413235,213.9714943362996,205.95847211606738,356.38681358428795,200.2178840615446,1.0,24.29756132344552,20.67928788743107,6.618582430119795,3509.1848735501044,2521.232482411105,1729.348188819167,3138.9748764023575,174.000499144324,946.4420992584141,5636.555476326297,1.8265116942384485,426.8514926792166,234.000071306332,12284.841818786843,23.42336946187488,2671.0702605057995,10.203080433542498,232.96327723901885,233.6927410154022,18.498930405019966,235.82247100209165
Earthquakes,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ElectricDevices,30570.952421808397,388830.8756458931,1280.6494404485452,1114.9275525612952,1093.5022384078982,572.2483356366915,1034.4612372930087,1.0,71.7270214774375,19.200019639951908,5.1869864970907225,9080.89720608414,8156.818802865311,3917.540986014055,10320.13912340348,458.27183551274874,2173.437758603759,9345.49491971064,1.7693482278482136,1053.180580510975,572.8529507258378,13781.416662464428,35.26659376882715,6967.972559802327,6.4850324988123145,594.5887402917152,561.1182050853322,48.25219467615755,552.7195291011892
FaceAll,20475.68954535724,427063.75431077153,1194.967036917767,1542.9433270223485,1502.9935756283464,555.1017386253533,1422.3759445900364,1.0,156.04890992541593,25.747179192962324,5.707653744228614,23425.917349670795,18727.079317269072,10291.581646313143,25615.98780837636,1108.174548534273,5839.662992104472,26530.217181651784,2.042892659071661,2848.944587875311,1759.1782299265087,30005.99312214846,64.1246550829167,17739.831707783513,4.236824850422096,1776.078285932847,1415.9415826571592,100.80906619675983,1427.7731401797669
FacesUCR,22453.03497443449,418960.2786934589,1108.2567175192064,1445.828145491111,1412.081880329638,516.250991503918,1332.8127096901032,1.0,156.3628727087303,24.2399224390113,5.847749657819167,23768.846119266793,17721.862027320793,9654.908483400875,22655.394259413326,1178.5142575346877,5369.625701135235,26332.478556667826,2.102137623788948,3174.723108612222,1876.5494082284424,29003.728201068152,62.22766431389388,16767.776294248677,4.344052762942486,1906.9400713883151,1456.1283781970424,101.44476127854861,1364.6612745229595
FiftyWords,22188.359979270735,636333.0526187399,6742.005141248798,7585.841983256718,8041.829093615359,1540.2344156663073,6582.405419869352,1.0,768.2082376039099,83.02721500480386,11.484105434646391,150621.65794310535,136539.15932160907,71997.68904298425,197730.95966832366,7903.554116713314,38784.14524416224,174018.33514348968,2.7504072851831736,19486.44423325953,10180.718471949538,227532.46305192358,100.40916496094238,127594.76845315173,5.141985880780316,9476.901687622707,9639.15211579431,255.63010150799948,9470.268118969045
FordA,27911.95438567059,915854.3503366257,2897.970950090357,586.7399614599447,493.10573100746234,827.1631789965995,485.58915025802685,1.0,58.49976021522145,61.34804858078603,15.397652838427947,7918.967983858391,7676.056209061136,6184.15556378665,11167.155092014971,511.24067763568314,2761.4603302401742,18306.975058484095,2.0838681378665003,1487.604947754211,987.7830181690581,24505.79017272302,84.40751715533375,7469.3746315502185,18.345270586400495,1263.0429682626325,711.1113498128509,48.70924438552713,739.5001696038678
