dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,3.2871440887502246,47.26078182698669,3.956039688205212,3.096031060334514,2.9240293347603745,10.66410698559666,6.536065571817307,1.0,25.653480903225116,28.65774308409445,1.9475935355401057,27.810935505981366,24.957940606755855,27.810935505981366,1.6863299463831627,28.65774308409445,28.65774308409445,24.957940606755855,1.832726068394271,27.433595818255096,28.65774308409445,28.23442765644244,1.0,27.810935505981366,1.832726068394271,28.65774308409445,28.65774308409445,3.7941330880581985,28.65774308409445
CBF,3.0565619386930796,3.1334193955654395,2.8140516494789622,2.4585290642128834,2.518787129512219,2.464554870742817,2.7477677776496927,1.0,2.537688529905209,2.8329340020027907,1.115469859388654,2.8228181139648516,2.9326699728893044,2.8228181139648516,1.845351435935523,2.8329340020027907,2.8329340020027907,2.8588587912569148,1.0075662292461869,2.8420882923979804,2.8329340020027907,2.8379179603512337,1.0,2.8228181139648516,1.0075662292461869,2.8329340020027907,2.8329340020027907,2.0975537254783667,2.8329340020027907
ChlorineConcentration,2.3689533083130074,3.902466427380002,2.306747147836712,1.8533092249633618,1.9110166855548387,2.0608699299939954,1.9271499541072947,2.2265837967852264,2.208982690820162,1.9461554600044204,1.967976268538089,2.2008357186285683,2.159638793577916,2.2008357186285683,1.8545310081996567,1.9461554600044204,2.193462329844083,2.159638793577916,1.0,2.229158604600892,2.2214341811538945,2.250145169972101,2.2454703001981295,2.2008357186285683,1.0,2.2214341811538945,2.2214341811538945,1.7276844500450974,2.2214341811538945
CinCECGtorso,3.152847990099428,3.7152479018468942,4.302789603828494,1.7641437375696825,1.82868558162711,1.7555381583620262,1.9878887969687642,1.0,4.158342825558709,1.7010656202512247,1.209282002397925,1.6851433133349163,1.3977050602923968,1.6851433133349163,1.059887210654924,1.7010656202512247,1.7804236447162904,1.3977050602923968,1.0956332040388685,1.695565463358205,1.7010656202512247,1.6402499291890673,1.0337047183832913,1.6851433133349163,1.0956332040388685,1.7010656202512247,1.7010656202512247,1.6169951402144627,1.7010656202512247
Computers,1.0,1.3961813842482103,1.1694510739856803,1.1933174224343674,1.2410501193317425,1.360381861575179,1.2410501193317423,1.0743026453556883,1.2633171764840347,1.0982840731519434,1.1277351846977999,1.0695507913584041,1.096535758684697,1.0695507913584041,1.0719046178392087,1.0982840731519434,1.0791332984567057,1.096535758684697,1.0982840731519434,1.0168932806971829,1.0839209921305153,1.067870155695549,1.0743026453556883,1.0695507913584041,1.0982840731519434,1.0839209921305153,1.0839209921305153,1.04434537091992,1.0839209921305153
DistalPhalanxOutlineAgeGroup,8.762728841238838,9.589401373431182,7.903554653934659,7.359505209671322,7.0132919269582885,8.536630370895631,7.6364758358417495,6.8548973809674845,8.809249133032493,9.195551772552433,6.629859750257642,9.181443280845379,8.922124739248884,9.181443280845379,7.070514380134941,9.195551772552433,9.220357923291497,8.922124739248884,1.0,9.148313373238883,9.17074562181337,9.20624943158444,6.8548973809674845,9.181443280845379,1.0,9.17074562181337,9.17074562181337,7.323115757425916,9.17074562181337
DistalPhalanxOutlineCorrect,1.4029102967886644,1.4745749706123792,1.2417473436735826,1.0673743124343138,1.0898314452454314,1.327612851480798,1.085868421808175,1.1279876752949416,1.3256542169768837,1.3910103615604388,1.0,1.3802603473884738,1.4185593710198026,1.3802603473884738,1.3504046520789843,1.3910103615604388,1.3910103615604388,1.4018537249384484,1.1279876752949416,1.3661249539096962,1.3910103615604388,1.3578136718502791,1.1279876752949416,1.3802603473884738,1.1279876752949416,1.3910103615604388,1.3910103615604388,1.208902053051039,1.3910103615604388
DistalPhalanxTW,2.595393324069429,2.581661084259537,2.501380297678635,2.0675823631713044,2.0901173208080492,2.3774380306765406,2.2478620242652596,1.5414966960222118,2.2454060677614027,2.4001245328832446,1.0,2.331400581477202,2.3456324059394684,2.331400581477202,1.7667988422016692,2.4001245328832446,2.4001245328832446,2.3257672052108567,1.5414966960222118,2.4305074408953806,2.4001245328832446,2.383154582136396,1.5414966960222118,2.331400581477202,1.5414966960222118,2.4001245328832446,2.4001245328832446,1.9772644881453925,2.4001245328832446
ECG5000,1.5999349409538166,1.5926145264499334,1.6050154995406187,1.5424969268712878,1.5488232110104463,1.3936431824205,1.5562658982329858,1.0,1.5205105661605223,1.499423395989748,1.3316659080795672,1.5241555668234013,1.5605874843827243,1.519301619011448,1.5434427094768957,1.5100752866082465,1.499423395989748,1.5605686402217123,1.0,1.4974729477525097,1.499423395989748,1.5218901316305404,1.2669916394287457,1.519301619011448,1.0,1.499423395989748,1.499423395989748,1.520194738546132,1.499423395989748
ECGFiveDays,1.996998481839847,2.125784506382988,2.0480328874868654,1.9304318657785187,1.965934061011227,1.7418264536047554,2.0191873538602896,1.0,1.5411264340492736,1.7864950687201007,1.0674716709574976,1.773606191130337,1.956774996918286,1.773606191130337,1.9631758411867475,1.7864950687201007,1.7864950687201007,1.923676178583168,1.074503105435281,1.7993078611703532,1.7864950687201007,1.7988405358010062,1.0,1.773606191130337,1.074503105435281,1.7864950687201007,1.7864950687201007,1.5704504245357391,1.7864950687201007
