dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,131.48114526517207,1.0
ArrowHead,13.898651751374622,1.0
Beef,inf,
BeetleFly,inf,
BirdChicken,inf,
CBF,77.97257785095245,1.0
Car,inf,
ChlorineConcentration,135.99828198577868,1.0
CinCECGtorso,inf,
Coffee,inf,
Computers,inf,
DiatomSizeReduction,7.787179644453141,1.0
DistalPhalanxOutlineAgeGroup,6.619857707045033,1.0
DistalPhalanxOutlineCorrect,30.66356426473676,1.0
DistalPhalanxTW,23.451407177967095,1.0
ECG200,4.022712837380938,1.0
ECG5000,242.42850062352483,1.0
ECGFiveDays,16.26061772432689,1.0
Earthquakes,inf,
ElectricDevices,77.305380205164,1.0
FaceAll,105.33814430092721,1.0
FaceFour,inf,
FacesUCR,68.18668407980984,1.0
FiftyWords,137.68622334223664,1.0
Fish,8.812507430292525,1.0
FordA,467.81960308584564,1.0
FordB,211.45961202660953,1.0
GunPoint,1.8769430846074555,1.0
Ham,inf,
HandOutlines,inf,
Haptics,inf,
Herring,inf,
InlineSkate,inf,
InsectWingbeatSound,102.59604292335167,1.0
ItalyPowerDemand,8.660085513785024,1.0
LargeKitchenAppliances,inf,
Lightning2,inf,
Lightning7,inf,
Mallat,220.6176237079043,1.0
Meat,inf,
MedicalImages,21.048136671146136,1.0
MiddlePhalanxOutlineAgeGroup,16.266625332428656,1.0
MiddlePhalanxOutlineCorrect,28.38374765085686,1.0
MiddlePhalanxTW,19.18091755939952,1.0
MoteStrain,78.81521571190467,1.0
NonInvasiveFetalECGThorax1,inf,
NonInvasiveFetalECGThorax2,178.00263770580696,1.0
OSULeaf,inf,
OliveOil,inf,
PhalangesOutlinesCorrect,86.65140506164472,1.0
Phoneme,192.98908123654678,1.0
Plane,4.1356893438055895,1.0
ProximalPhalanxOutlineAgeGroup,28.829332170243838,1.0
ProximalPhalanxOutlineCorrect,30.54098393665273,1.0
ProximalPhalanxTW,16.58682061173451,1.0
RefrigerationDevices,93.8128501910803,1.0
ScreenType,inf,
ShapeletSim,inf,
ShapesAll,inf,
SmallKitchenAppliances,inf,
SonyAIBORobotSurface1,32.16585883123555,1.0
SonyAIBORobotSurface2,13.262530839087127,1.0
StarlightCurves,99.69148918033082,1.0
Strawberry,164.92403039371004,1.0
SwedishLeaf,52.885964947508015,1.0
Symbols,39.80065513965727,1.0
SyntheticControl,21.23572563403487,1.0
ToeSegmentation1,21.470767818090174,1.0
ToeSegmentation2,inf,
Trace,inf,
TwoLeadECG,15.710499933148483,1.0
TwoPatterns,120.925405409093,1.0
UWaveGestureLibraryAll,131.0219658293103,1.0
UWaveGestureLibraryX,inf,
UWaveGestureLibraryY,421.17265377959296,1.0
UWaveGestureLibraryZ,426.4062031201041,1.0
Wafer,269.826798378644,1.0
Wine,inf,
WordSynonyms,144.03956367681596,1.0
Worms,inf,
Yoga,inf,
airlinesnorm,11.002731240211803,1.0
bankmarketingnorm,46.61310601172551,1.0
breast,13.43240903025326,1.0
carnorm,11.236684488393196,1.0
electricity,48.76566539502798,1.0
higgs200k,7.371376273268629,1.0
ozone,93.64271093652054,1.0
pendigits,51.2194760349899,1.0
spambase,51.350069406875264,1.0
susy100k,24.538133591248283,1.0
mean,inf,1.0
