dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,1.6240389347076418,25.547412633895874,0.09667801856994629,0.19959092140197754,0.19333672523498535,0.06544017791748047,0.18068933486938477,0.00014749400000000002,0.058962876,0.29132161700000003,0.000650603,10.06047024,8.108411041,5.383162069999999,9.14254823,0.49036831299999994,2.21403851,9.356571154000001,0.000747345,0.919077211,0.6644375870000001,10.703036838,0.007413699999999999,7.844969751000001,0.000525311,0.7205779649999999,0.615037546,0.156935021,0.594106628
ArrowHead,1.2395291328430176,4.010352611541748,0.028419017791748047,0.012904405593872069,0.01169157028198242,0.011794805526733398,0.011318445205688478,3.548100000000001e-05,0.002914691000000001,0.008048902,0.000257393,0.511598043,0.27675385,0.291731643,0.38206598,0.015801456000000002,0.10534545,0.6663997680000001,0.000289686,0.041135991,0.030969802,0.48628206500000004,0.0008666529999999999,0.395729051,0.00040590600000000004,0.030406912999999997,0.030609480999999997,0.0070596420000000005,0.031454028
Beef,0.15001916885375974,0.7159790992736816,0.01371622085571289,0.0078008174896240234,0.007315397262573242,0.007595539093017578,0.007039070129394531,1.3327000000000003e-05,0.002243236,0.006559464000000001,0.00012498400000000002,0.433360116,0.44216651199999996,0.302919993,0.38000379300000003,0.012479510999999999,0.15015260999999996,0.5052422139999999,7.0539e-05,0.04938414699999999,0.036825264,0.5152442770000001,0.000939473,0.34818101500000004,0.000207022,0.03850450000000001,0.03663120100000001,0.0007426269999999998,0.04009755100000001
BeetleFly,0.13291072845458984,0.4193282127380371,0.010246992111206055,0.0021123886108398438,0.002069473266601563,0.003353595733642578,0.0023851394653320312,8.511000000000002e-06,0.001490353,0.002269486,9.2633e-05,0.2830760270000001,0.24341533500000007,0.335900799,0.32613701000000006,0.004010899,0.076819904,0.4453193170000001,5.1117000000000005e-05,0.033996824,0.026665419000000003,0.288718492,0.0006329630000000001,0.319028385,0.00021784799999999998,0.029076611,0.026253953,0.000734665,0.026389478
BirdChicken,0.14945292472839355,0.4195332527160645,0.008466482162475586,0.0024809837341308594,0.002397775650024414,0.0032253265380859375,0.0025207996368408203,8.811000000000001e-06,0.001697462,0.002175845,9.219e-05,0.26662177700000006,0.246168684,0.24653899099999999,0.292951594,0.0040281710000000005,0.08546293899999997,0.468586093,4.631199999999999e-05,0.035987718,0.027833352,0.36211247899999993,0.00041820999999999997,0.289429737,0.00023265000000000002,0.029813716,0.027817309000000002,0.00043013100000000005,0.028536476000000005
CBF,1.7729146480560303,24.76139807701111,0.09098124504089355,0.04729008674621582,0.045058965682983405,0.04517388343811035,0.04408526420593262,0.000112698,0.0059703429999999995,0.018110697,0.000637848,0.6141321639999999,0.498318119,0.400594486,0.591717321,0.035176694999999994,0.17199595399999995,0.832104655,0.0008644270000000001,0.068890598,0.049691219,0.8311657579999999,0.0018328119999999999,0.511913959,0.0009027159999999999,0.048541665,0.058440607000000006,0.018665007,0.050160378000000005
Car,0.2517232894897461,2.7206544876098633,0.03378033638000488,0.01621079444885254,0.02625751495361328,0.025176286697387695,0.019303560256958008,2.5136e-05,0.003556277,0.013994547999999999,0.000321558,0.59728783,0.483566796,0.518533297,0.676785403,0.026349877,0.20702696000000004,0.8550011589999998,0.00015287999999999999,0.08018244499999999,0.062275076,0.910186606,0.001304049,0.5672386620000001,0.000546455,0.062936089,0.063111827,0.004526077,0.088348665
ChlorineConcentration,5.674669504165649,167.779899597168,0.44877147674560547,0.23622941970825195,0.22522902488708496,0.22309112548828125,0.21883344650268555,0.0005112280000000001,0.018055143,0.110020482,0.003398403,1.1666688139999999,1.0974551190000001,1.1154561550000002,1.6061436079999998,0.215127195,0.753718424,1.6599595600000001,0.004228949000000001,0.201661919,0.179649177,3.206193122,0.014852771,1.1304042580000002,0.00553965,0.177314741,0.15898226399999998,0.111684411,0.15319023899999998
CinCECGtorso,4.777707815170288,397.11468839645386,1.1298818588256836,0.33319950103759766,0.2974426746368408,0.45079731941223145,0.288571834564209,0.00035015100000000004,0.065436089,0.49857852799999997,0.009006061999999999,16.040222587000002,10.469695608,10.817633121,18.808548947000002,0.98673864,5.551647783,12.388640914,0.0019864949999999996,1.801113548,1.504257527,21.930388369000003,0.06472672399999999,14.045557879,0.010819771999999998,1.739807507,1.289406891,0.494258498,1.29246394
Coffee,0.8350749015808105,0.5727555751800537,0.015000104904174803,0.0024352073669433594,0.0027589797973632812,0.004370212554931641,0.002465963363647461,1.0557e-05,0.0010834210000000002,0.001898186,8.3125e-05,0.183579515,0.18196535199999997,0.23593129399999999,0.24410791699999995,0.0031842730000000005,0.052698034000000005,0.178226649,6.3008e-05,0.018100786999999997,0.014785311999999998,0.251741936,0.000492082,0.159460017,0.00014537099999999993,0.015327925000000003,0.014957986,0.0007606290000000001,0.014889425000000001
Computers,1.6114752292633057,45.903865098953254,0.24249982833862307,0.05335211753845215,0.04573702812194824,0.07598185539245605,0.04665660858154297,8.763e-05,0.007238985,0.038777995999999995,0.001532551,1.46202393,1.0038413510000002,1.14488111,1.309482211,0.08193298600000001,0.584426859,1.928652083,0.000784706,0.22452382900000004,0.154790484,1.952747221,0.005332717000000001,1.211393637,0.002494735,0.156062069,0.123948865,0.03665794599999999,0.168901606
DiatomSizeReduction,2.513624668121338,11.135236501693726,0.15985441207885742,0.03976631164550782,0.05016303062438965,0.044359445571899414,0.0395045280456543,5.5999000000000004e-05,0.005331555,0.02192683,0.0005250750000000001,0.7904928440000001,0.652453049,0.578387401,0.901665869,0.04252575,0.262920954,1.294472513,0.000344244,0.095935955,0.070797567,1.138023664,0.0018039179999999998,0.693079272,0.000798774,0.07532031,0.06913296499999999,0.016169972,0.064804605
DistalPhalanxOutlineAgeGroup,2.3450796604156494,8.546724796295166,0.047644615173339844,0.026625394821166992,0.02568483352661133,0.02377152442932129,0.023616552352905277,5.785e-05,0.0035294540000000004,0.006496453,0.000227417,0.24594343799999996,0.133018417,0.183282001,0.22670300100000002,0.012521985999999999,0.062880368,0.215610892,0.00047138499999999995,0.024749171,0.018177504,0.327857065,0.000712302,0.23873106,0.00036384400000000005,0.018219465,0.018334559,0.006568004,0.018263546999999998
