dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,2295.1434588325556,359867.63179239316,951.6004018345938,2570.7701052656003,2484.706050401827,490.1884082406551,2318.442699094128,1.0,421.45027521889176,67.28952171805037,6.252616718478168,87399.86482902206,77070.89155234864,31269.77953968571,85721.61641901718,3463.4480078715455,18045.58212360608,88417.77874112314,1.7769300972535151,8689.376180018824,4808.979051992128,103816.46161195563,95.27191056099022,61909.78473034253,4.170179391381228,5165.096768673531,4418.416707070131,190.6774092348059,4266.298149046003
ArrowHead,8830.781610805801,223400.79278308095,1105.8463914036997,518.7711070831631,454.5046875285666,355.3520415947785,429.35312785366966,1.0,46.114669294248046,34.651989161226744,9.06398571252617,9737.816664613865,6144.17539105801,3501.028451779774,9035.501909102102,397.069343515211,2241.434228353244,11454.658517058746,2.667754649587387,999.2319866978687,547.0150264810935,13970.608757236107,36.366486020445855,7427.536580859708,15.210370735312226,559.144229584924,552.2465820913903,37.86137455351643,563.5177977583444
CBF,16297.277736595242,359546.74232513923,1057.2807171276077,564.0796815715923,533.4057211797192,423.54346997579427,518.1089771585868,1.0,50.279588512393055,22.40793625170597,6.681419955094434,5090.2816430154235,3923.292355781225,2258.6953025255716,5469.862230896791,255.78041765111604,1388.3927035792378,7391.742644145402,2.0547671807815915,622.540921297859,351.36416066213695,8133.710990123709,24.277856859838867,3853.7595497703364,9.86598770233186,345.20547965308253,403.8790778216398,29.355473049322747,357.4168586648666
Car,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ChlorineConcentration,4316.501091383788,508486.3573733302,1122.575697949522,607.0554777197852,572.8881966604931,456.69898074025,553.3043342135295,1.0,46.213352119705306,29.23487326806794,7.616128080046987,3130.651629454029,3040.1307367158947,2981.101154266343,4564.372405335249,346.85648814541383,1510.30526738627,4603.994960545576,2.2240822623985492,580.056097405107,498.88614058738864,9199.923705216263,43.99741636666291,3026.456405371767,13.559227283654945,491.28619292954806,437.9741636666291,36.447793260642655,420.48232995645253
CinCECGtorso,3668.44762006435,1862087.5461187006,4402.645766183863,1088.5569433882356,939.8450993396118,1131.313340408745,952.5797562386159,1.0,148.16754965638816,169.65481386513827,30.494706775139285,45064.80489069468,44318.68941543566,21196.136492613994,55941.47695114019,2378.5377218865187,15430.79343696679,52015.91855126839,2.2286833397750736,5459.146956513542,3639.2390199756787,71351.33488720671,294.0777015243356,35423.1128922784,35.15623261908578,4249.267399768097,3044.8554520687408,227.65702448175418,3083.894512580247
Computers,32785.28997365714,915503.7407806932,3474.898821231425,518.4657989986359,509.6516332895177,802.7093176885055,485.30728555856126,1.0,59.31018433835336,88.42777879397597,21.33662581549905,14550.026380505251,9347.759059406946,7693.259760583704,14432.425075706764,838.5472837022132,6328.433530475783,23592.619535394184,2.7050586346360994,2550.00810926163,1343.3793467877974,23722.63672946772,93.38501717374956,10223.177773712987,35.36717273336991,1372.3307521899071,986.680507286141,80.48903522142959,1334.8030201410481
DiatomSizeReduction,3088.486675107191,349391.94588837755,3845.5913591617905,914.3744646937955,1024.024647854112,860.0068027445919,931.3501865536718,1.0,67.0100685448165,41.058902627004684,10.956806926634089,11642.266012921846,9268.946639992131,5355.6457315273365,13172.152536814143,626.8699288314585,3704.7747532058647,19666.70856974189,1.9359155160539179,1599.8336886294317,885.4834213374439,18838.124922108163,46.11154111049162,8932.478764225509,17.94929651372536,834.8464792889705,856.7532714571513,57.29024958184383,779.1454527565511
DistalPhalanxOutlineAgeGroup,28855.018086997305,246935.59243312746,1060.129512695745,613.1737747574867,578.5675746295632,437.3936834535007,536.269545379342,1.0,55.09248009436747,15.385756414037164,4.412208787968153,3749.1239162488955,2199.438779121204,1878.246623414923,3826.1732822176364,176.76649955765265,909.2580949572401,3607.844677086407,1.788941315246241,424.6412857564142,229.70725449719856,5930.037363609557,17.84680035387792,3064.351784134475,7.652521380123861,230.24104983780612,230.52536125036872,21.997286936007086,229.45499852550878
DistalPhalanxOutlineCorrect,4469.824300657429,312395.50183184555,1115.419422239686,305.1581287869476,283.0042876561777,479.9263392372961,283.31761887535794,1.0,24.76407218880147,15.791189264229525,5.358722813512263,2884.0738917167982,1687.5879315131886,1433.1886163813049,2761.6715964831096,132.23659416936604,704.3978898658029,3587.27281813975,1.8825543729754743,314.18500694123094,167.48392410920871,6426.9979639056,17.900286904211015,1900.0039055992597,7.961221656640444,179.71370661730683,178.85465987968533,14.872966219342896,184.856677464137
DistalPhalanxTW,6681.631714661374,248308.5754814498,1052.104005026161,951.444101239263,841.8919292865572,483.22043430607204,802.5129057130575,1.0,60.78035617916892,17.105234754452237,5.010943215206572,7335.348863704504,4568.437069017209,2906.220153504827,8298.220243449063,350.84082868621454,1750.9950830485104,7596.457576302693,1.8036817173352517,825.2681837260899,453.2576902320561,10964.472686934103,19.862775079450742,5387.6358457756205,6.3376806380044375,443.648407987048,434.4570066558734,29.61854650116928,446.83342327756793
ECG200,8532.56838855476,118777.23436051894,859.7635544734492,231.07727288175911,214.96503765198008,351.0110334410736,218.09475240884362,1.0,21.566485698079575,15.99910866218297,6.657645247548822,2151.615833400859,1735.8064176322825,1580.4619560813553,3111.5530346001137,130.1948788590876,741.2443886232883,2420.7486427355975,1.5622721011263268,307.3796288793453,182.29989466007615,4820.812170812738,17.401669232639172,2178.8009075439595,7.633741187910218,203.81776193177217,182.94708694595255,11.182562191070417,196.90130459444129
ECG5000,1793.3887755478759,420547.8487412184,1118.3367248220427,759.2370857102675,744.4199689626196,468.3818310313162,694.4715384065713,1.0,61.024914263156596,23.45874515802719,5.769726875724755,7697.328625003084,5687.807877920604,3539.8130813451435,9835.188060990355,424.9510226740026,2216.1514840492464,10928.81014285362,1.8759961510942245,1033.8791665638648,551.4541017986234,11813.986558436756,37.603397399521356,6051.773010781871,11.040504798795983,558.2648614640647,514.9769509757963,42.0440724383805,554.4945720559572
ECGFiveDays,2545.063410276869,345889.9436071133,863.3211040208382,216.65451973896788,209.68827666667494,359.4407017676901,203.03395492597718,1.0,25.179433073081523,21.164662024337062,6.6497995357670385,3669.526651192235,2832.063684321587,1711.7478792994305,3197.227727368643,174.5474291341352,981.8884996834776,5065.499739748189,1.8734754167545897,427.6148976577337,244.8935640430471,9640.644299078567,24.0167827249068,2851.652402053879,10.410184989800943,242.41440528944221,243.55940071745093,18.702482942955616,245.42831821059292
Earthquakes,33647.86359979725,669755.7405128465,3044.8021382708685,487.13466474345864,461.84964475317383,903.6493750423332,611.4333403883356,1.0,54.407619521912345,62.87400398406374,18.43485150307859,7941.713011590003,6462.273180007243,4560.17914704817,9949.328255161174,562.4407823252444,2857.8632062658453,35189.513016117344,2.8771052155016292,771.1187296269467,943.1987730894601,32202.880342267286,66.56831763853675,6326.695830315102,27.063926113726904,960.2777978993118,933.7792919232162,57.73979083665338,933.7883239768196
