dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,0.05715811965811965,0.5115384615384614,0.06794871794871796,0.048717948717948725,0.05897435897435897,0.15641025641025638,0.07564102564102565,0.02334318392933557,0.3206200688149687,0.3330328689740999,0.03728565914321524,0.3137894633436897,0.2652998548093751,0.3137894633436897,0.03009499778752605,0.3330328689740999,0.3330328689740999,0.2652998548093751,0.03198784855665312,0.31623790130496165,0.3330328689740999,0.3200343840189808,0.02334318392933557,0.3137894633436897,0.03198784855665312,0.3330328689740999,0.3330328689740999,0.04821341332836738,0.3330328689740999
ArrowHead,0.36666666666666653,0.7666666666666667,0.6666666666666667,0.523809523809524,0.4904761904761905,0.5904761904761904,0.5952380952380951,0.3876298032137273,0.5236452298507855,0.5701688664277776,0.3628986538950976,0.6061406036541587,0.5577497032459683,0.6061406036541587,0.4354206779626562,0.5701688664277776,0.5749442712974221,0.5577497032459683,0.3522058171598542,0.5517415742764059,0.5701688664277776,0.5497186736319651,0.3876298032137273,0.6061406036541587,0.3522058171598542,0.5701688664277776,0.5701688664277776,0.3796381375666091,0.5701688664277776
Beef,0.16,0.31,0.18,0.32,0.3,0.4,0.34,0.2789962171745787,0.4078451293738097,0.3855923836808941,0.17951639016772347,0.3184423343373791,0.3903513936522542,0.3184423343373791,0.2261585356738075,0.3855923836808941,0.3855923836808941,0.3903513936522542,0.2827976282292442,0.3756844197168656,0.3855923836808941,0.3683595520332073,0.2789962171745787,0.3184423343373791,0.2827976282292442,0.3855923836808941,0.3855923836808941,0.2827976282292442,0.3855923836808941
BeetleFly,0.4666666666666667,0.6333333333333333,0.5,0.6666666666666666,0.6333333333333333,0.7666666666666666,0.7333333333333334,0.5146219132992206,0.4613674808655352,0.4250440531221423,0.45969113925352,0.5453138564301033,0.5060271961435399,0.5453138564301033,0.3217468614927837,0.4250440531221423,0.5201884043344616,0.5060271961435399,0.4409145107273701,0.4333251897479615,0.4384341106706984,0.5417492054830995,0.5146219132992206,0.5453138564301033,0.4409145107273701,0.4384341106706984,0.4384341106706984,0.4409145107273701,0.4384341106706984
BirdChicken,0.4666666666666667,0.6999999999999998,0.6666666666666666,0.6,0.6666666666666666,0.6333333333333334,0.5333333333333333,0.4654514989747113,0.4187182686358277,0.5732697088991638,0.42815089586601707,0.5120983319952249,0.6094738931793847,0.5120983319952249,0.5148668480605091,0.5732697088991638,0.561648493105154,0.6094738931793847,0.5687238890167682,0.4837031830715467,0.5732697088991638,0.5458188847508127,0.4654514989747113,0.5120983319952249,0.5687238890167682,0.5732697088991638,0.5732697088991638,0.5687238890167682,0.5732697088991638
CBF,0.8239130434782609,0.9809782608695652,0.8293478260869565,0.7641304347826087,0.7782608695652177,0.8076086956521741,0.833695652173913,0.3285150469423147,0.8046350761827579,0.8743537245941568,0.3571082014271696,0.8684769561397423,0.8758153142753152,0.8684769561397423,0.5568244244305733,0.8743537245941568,0.8743537245941568,0.8618406937426903,0.2984575798501913,0.8768874982593906,0.8743537245941568,0.8756901446288827,0.3285150469423147,0.8684769561397423,0.2984575798501913,0.8743537245941568,0.8743537245941568,0.5600343179306951,0.8743537245941568
Car,0.24545454545454545,0.5454545454545454,0.2909090909090909,0.3818181818181818,0.4727272727272727,0.5272727272727272,0.4545454545454545,0.27360786573203033,0.521421738825714,0.4960824841310881,0.245348537351242,0.44337208182153903,0.4572965608621564,0.44337208182153903,0.2645748326217077,0.4960824841310881,0.4678904539412682,0.4572965608621564,0.29946110653127445,0.4858960676729536,0.4960824841310881,0.4559962219672269,0.27360786573203033,0.44337208182153903,0.29946110653127445,0.4960824841310881,0.4960824841310881,0.30122075523326197,0.4960824841310881
ChlorineConcentration,0.5508637873754153,0.8896511627906978,0.5393687707641196,0.4266777408637874,0.44578073089701004,0.4795016611295681,0.44667774086378736,0.5198498547005003,0.5159732146831609,0.4621048713804373,0.4626472430564831,0.5125962238177961,0.4989493829146887,0.5125962238177961,0.4267340328500346,0.4621048713804373,0.5153748517530398,0.4989493829146887,0.2400452345406097,0.5223167529554521,0.5217690021881234,0.5269197203916087,0.5238953195323798,0.5125962238177961,0.2400452345406097,0.5217690021881234,0.5217690021881234,0.4044504912455897,0.5217690021881234
CinCECGtorso,0.8106382978723405,0.8812056737588653,0.9609929078014184,0.3957446808510638,0.40709219858156026,0.4021276595744681,0.4354609929078014,0.2411381034079513,0.9220827025901024,0.3948298802131043,0.2749867897703264,0.3953333548790564,0.34556985154937,0.3953333548790564,0.2378183184897681,0.3948298802131043,0.4033354150946799,0.34556985154937,0.2615524276328817,0.3921674484657808,0.3948298802131043,0.3781521816001567,0.2467090763067214,0.3953333548790564,0.2615524276328817,0.3948298802131043,0.3948298802131043,0.3579461635033758,0.3948298802131043
Coffee,0.4833333333333333,0.4833333333333333,0.4400000000000001,0.7866666666666666,0.8800000000000001,0.46,0.56,0.6190225427398203,0.8803027020139369,0.8361175354676323,0.6009639473041539,0.8130239575827353,0.7710854455760782,0.8130239575827353,0.8050459761721801,0.8361175354676323,0.8361175354676323,0.7710854455760782,0.622481720508811,0.8399839861682022,0.8361175354676323,0.8361175354676323,0.6190225427398203,0.8130239575827353,0.622481720508811,0.8361175354676323,0.8361175354676323,0.622481720508811,0.8361175354676323
Computers,0.5081632653061224,0.5744897959183674,0.5469387755102041,0.5183673469387755,0.536734693877551,0.6387755102040816,0.5326530612244899,0.5075008710950574,0.6101659877284659,0.5333359267043972,0.5455755422174029,0.5151750157085678,0.5098258640961372,0.5151750157085678,0.5078468151730559,0.5333359267043972,0.5131005436931977,0.5098258640961372,0.5333359267043972,0.4727961888202958,0.5139747445426112,0.5082088102563544,0.5075008710950574,0.5151750157085678,0.5333359267043972,0.5139747445426112,0.5139747445426112,0.4946930552195243,0.5139747445426112
DiatomSizeReduction,0.30208333333333337,0.853125,0.675,0.51875,0.490625,0.865625,0.55625,0.32659144837060583,0.9046903312723452,0.8576691852501044,0.33668218073672,0.8637244673506382,0.8317793992302429,0.8637244673506382,0.5562636830919303,0.8576691852501044,0.8576691852501044,0.8306780279550746,0.3307303220494245,0.8576498658250746,0.8576691852501044,0.8576498658250746,0.32659144837060583,0.8637244673506382,0.3307303220494245,0.8576691852501044,0.8576691852501044,0.4374760253562092,0.8576691852501044
DistalPhalanxOutlineAgeGroup,0.7245283018867925,0.7933962264150941,0.6882599580712789,0.6333333333333334,0.6090146750524109,0.7450733752620546,0.6807127882599582,0.5960283596128744,0.7425205977982422,0.7600967135953586,0.5955570078509027,0.7628693530829423,0.6840491232870197,0.7628693530829423,0.5584631832835861,0.7600967135953586,0.7682931117266283,0.6840491232870197,0.09265766175005556,0.7486796169391874,0.7545059179060462,0.7662116857398815,0.5960283596128744,0.7628693530829423,0.09265766175005556,0.7545059179060462,0.7545059179060462,0.4661590855405599,0.7545059179060462
DistalPhalanxOutlineCorrect,0.6337164750957855,0.7609195402298851,0.6003831417624522,0.5452107279693487,0.5701149425287355,0.7045977011494252,0.5701149425287357,0.5985789693034934,0.7033969277399641,0.7277361383378913,0.5387420716939487,0.7141699252703987,0.7497046694824557,0.7141699252703987,0.6959025609229685,0.7277361383378913,0.7277361383378913,0.7448311621451238,0.5985789693034934,0.712249323803011,0.7277361383378913,0.7068085869782148,0.5985789693034934,0.7141699252703987,0.5985789693034934,0.7277361383378913,0.7277361383378913,0.6217826861763217,0.7277361383378913
DistalPhalanxTW,0.6624338624338623,0.7305031446540879,0.6106918238993709,0.5746331236897275,0.570649895178197,0.6750524109014676,0.6144654088050315,0.4712177597393404,0.6672769554637414,0.6983624107187703,0.2794925896968128,0.667360054921166,0.6668677927961705,0.667360054921166,0.5082416336983079,0.6983624107187703,0.6983624107187703,0.6637644762021017,0.4712177597393404,0.7008431177187285,0.6983624107187703,0.6865615616292626,0.4712177597393404,0.667360054921166,0.4712177597393404,0.6983624107187703,0.6983624107187703,0.5231285974214473,0.6983624107187703
